Sample	Method	NoiseLevel	Average_AE	Total_AE
TSP27_random_rep3_seed7_50_1000.h5ad	QP	100	1.095369875	87.62959000000001
TSP27_random_rep4_seed7_50_1000.h5ad	QP	100	1.7926884999999992	143.41507999999993
TSP27_random_rep5_seed7_50_1000.h5ad	QP	100	1.6776145	134.20916
TSP21_random_rep1_seed3_20_400.h5ad	QP	100	1.7913789999999998	143.31032
TSP21_random_rep2_seed3_20_400.h5ad	QP	100	1.9477052499999998	155.81642
TSP21_random_rep3_seed3_20_400.h5ad	QP	100	1.622706625	129.81653
TSP21_random_rep4_seed3_20_400.h5ad	QP	100	2.0574758749999997	164.59806999999998
TSP21_random_rep5_seed3_20_400.h5ad	QP	100	1.7348497500000004	138.78798000000003
TSP21_random_rep1_seed8_10_200.h5ad	QP	100	2.2336577500000008	178.69262000000006
TSP21_random_rep2_seed8_10_200.h5ad	QP	100	2.408613375	192.68907
TSP21_random_rep3_seed8_10_200.h5ad	QP	100	1.829845	146.3876
TSP21_random_rep4_seed8_10_200.h5ad	QP	100	2.1861127500000004	174.88902000000004
TSP21_random_rep5_seed8_10_200.h5ad	QP	100	2.267139249999999	181.37113999999994
TSP27_random_rep1_seed3_10_200.h5ad	QP	100	2.1885491250000007	175.08393000000007
TSP27_random_rep2_seed3_10_200.h5ad	QP	100	1.8578773749999997	148.63018999999997
TSP27_random_rep3_seed3_10_200.h5ad	QP	100	1.2864144999999998	102.91315999999998
TSP27_random_rep4_seed3_10_200.h5ad	QP	100	1.5677712500000003	125.42170000000003
TSP27_random_rep5_seed3_10_200.h5ad	QP	100	1.6108642500000006	128.86914000000004
TSP21_random_rep1_seed13_30_600.h5ad	QP	100	2.075	166.0
TSP21_random_rep2_seed13_30_600.h5ad	QP	100	2.098278	167.86224
TSP21_random_rep3_seed13_30_600.h5ad	QP	100	2.16356225	173.08498
TSP21_random_rep4_seed13_30_600.h5ad	QP	100	1.85498325	148.39866
TSP21_random_rep5_seed13_30_600.h5ad	QP	100	2.1095222500000004	168.76178000000002
TSP25_random_rep1_seed8_10_200.h5ad	QP	100	1.7023526250000003	136.18821000000003
TSP25_random_rep2_seed8_10_200.h5ad	QP	100	1.7098468749999995	136.78774999999996
TSP25_random_rep3_seed8_10_200.h5ad	QP	100	1.7916551249999995	143.33240999999995
TSP25_random_rep4_seed8_10_200.h5ad	QP	100	1.6564337500000001	132.5147
TSP25_random_rep5_seed8_10_200.h5ad	QP	100	1.2884923750000004	103.07939000000003
TSP21_random_rep1_seed8_20_400.h5ad	QP	100	2.0041603749999997	160.33282999999997
TSP21_random_rep2_seed8_20_400.h5ad	QP	100	1.6093307500000003	128.74646
TSP21_random_rep3_seed8_20_400.h5ad	QP	100	2.074614	165.96912
TSP21_random_rep4_seed8_20_400.h5ad	QP	100	1.9249997500000002	153.99998000000002
TSP21_random_rep5_seed8_20_400.h5ad	QP	100	1.59111025	127.28882
TSP25_random_rep1_seed5_30_600.h5ad	QP	100	1.550010875	124.00086999999999
TSP25_random_rep2_seed5_30_600.h5ad	QP	100	1.34596	107.6768
TSP25_random_rep3_seed5_30_600.h5ad	QP	100	1.9151130000000003	153.20904000000002
TSP25_random_rep4_seed5_30_600.h5ad	QP	100	1.6544847500000004	132.35878000000002
TSP25_random_rep5_seed5_30_600.h5ad	QP	100	1.474398	117.95184
TSP27_random_rep1_seed13_40_800.h5ad	QP	100	2.1077716250000003	168.62173
TSP27_random_rep2_seed13_40_800.h5ad	QP	100	1.124894125	89.99153
TSP27_random_rep3_seed13_40_800.h5ad	QP	100	1.4705883749999997	117.64706999999999
TSP27_random_rep4_seed13_40_800.h5ad	QP	100	1.531275125	122.50201
TSP27_random_rep5_seed13_40_800.h5ad	QP	100	0.9360958750000001	74.88767000000001
TSP21_random_rep1_seed10_20_400.h5ad	QP	100	1.9327306250000003	154.61845000000002
TSP21_random_rep2_seed10_20_400.h5ad	QP	100	1.9587450000000004	156.69960000000003
TSP21_random_rep3_seed10_20_400.h5ad	QP	100	2.186262000000001	174.90096000000008
TSP21_random_rep4_seed10_20_400.h5ad	QP	100	1.650474875	132.03799
TSP21_random_rep5_seed10_20_400.h5ad	QP	100	1.6406424999999996	131.25139999999996
TSP27_random_rep1_seed4_40_800.h5ad	QP	100	2.1838607499999996	174.70885999999996
TSP27_random_rep2_seed4_40_800.h5ad	QP	100	0.988267625	79.06141
TSP27_random_rep3_seed4_40_800.h5ad	QP	100	1.845206	147.61648
TSP27_random_rep4_seed4_40_800.h5ad	QP	100	1.5593246249999997	124.74596999999997
TSP27_random_rep5_seed4_40_800.h5ad	QP	100	1.211975	96.958
TSP25_random_rep1_seed4_10_200.h5ad	QP	100	2.121743625	169.73949000000002
TSP25_random_rep2_seed4_10_200.h5ad	QP	100	1.3883026250000001	111.06421
TSP25_random_rep3_seed4_10_200.h5ad	QP	100	0.950344375	76.02755
TSP25_random_rep4_seed4_10_200.h5ad	QP	100	1.8443336250000002	147.54669
TSP25_random_rep5_seed4_10_200.h5ad	QP	100	1.69618675	135.69494
TSP25_random_rep1_seed12_10_200.h5ad	QP	100	2.2984947500000006	183.87958000000006
TSP25_random_rep2_seed12_10_200.h5ad	QP	100	2.2403378750000003	179.22703
TSP25_random_rep3_seed12_10_200.h5ad	QP	100	1.6886711250000002	135.09369
