	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
SRR13990800	0.0	0.68	0.0	0.0	15.01	0.0	0.0	0.0	0.0	0.26	1.27	0.0	0.0	1.0	17.0	0.53	0.0	0.0	0.06	0.0	0.02	0.0	0.0	0.31	0.0	0.0	0.09	1.71	0.0	62.05	NNLS
SRR13991057	0.0	1.3	2.02	1.98	18.14	0.0	0.0	0.0	3.14	0.0	0.28	0.0	1.77	0.02	13.13	1.75	0.0	0.0	0.18	0.0	0.0	0.0	0.12	0.02	0.0	1.64	0.06	2.7	0.0	51.74	NNLS
SRR13990991	0.0	0.65	2.05	0.73	11.71	0.0	0.0	0.0	2.43	0.0	0.96	0.0	0.91	0.0	5.3	1.95	0.0	0.0	0.38	1.51	0.0	0.0	0.0	0.33	0.0	0.0	0.06	1.97	0.0	69.07	NNLS
SRR13990635	0.0	0.28	0.29	0.0	24.84	0.0	0.0	0.0	1.59	0.13	1.4	0.0	0.26	0.79	14.73	2.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.31	0.0	0.0	0.09	0.91	0.0	52.36	NNLS
SRR13990636	0.0	0.05	3.67	2.03	0.0	0.0	0.0	0.0	1.51	0.0	0.0	0.0	0.15	0.0	0.0	4.69	0.0	0.0	0.21	1.87	0.0	0.0	0.0	0.22	0.0	0.0	0.0	2.94	0.13	82.54	NNLS
SRR13990992	0.0	0.57	1.69	0.16	14.63	0.0	0.0	0.0	1.13	0.32	1.22	0.0	0.5	0.09	8.01	1.5	0.0	0.0	0.13	0.6	0.0	0.0	0.0	0.25	0.0	0.0	0.07	1.68	0.0	67.45	NNLS
SRR13991093	0.0	0.82	0.0	0.0	23.64	0.0	0.0	0.0	0.0	0.0	1.54	0.0	0.0	1.19	22.72	0.21	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.12	1.74	0.0	47.96	NNLS
SRR13990903	0.0	0.55	0.0	0.0	14.93	0.0	0.0	0.0	0.0	0.43	0.13	0.0	0.0	0.84	14.33	0.73	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.2	0.0	0.0	0.06	1.52	0.0	66.24	NNLS
SRR13990867	0.43	0.65	3.95	0.99	10.93	0.0	0.0	0.0	3.68	0.0	0.0	0.0	0.0	0.0	0.0	4.09	0.0	0.0	0.46	2.45	0.0	0.0	0.0	0.34	0.0	0.0	0.0	1.79	0.01	70.22	NNLS
SRR13990861	0.0	0.81	1.93	1.75	40.8	0.0	0.0	0.0	2.52	0.0	0.57	0.0	0.27	0.25	12.69	2.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.15	0.1	1.96	0.0	33.56	NNLS
SRR13991044	0.0	0.0	2.4	0.0	0.4	0.0	0.12	0.0	2.19	0.72	0.0	0.0	1.01	0.0	0.0	2.36	0.0	0.0	0.52	1.62	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.82	0.0	87.82	NNLS
SRR13990950	0.0	0.84	3.84	1.78	7.63	0.0	0.31	0.0	4.37	0.0	0.81	0.0	0.0	0.0	2.65	4.98	0.0	0.0	0.35	2.63	0.0	0.0	0.0	0.64	0.0	0.0	0.06	1.88	0.0	67.24	NNLS
SRR13991092	0.0	0.99	1.52	0.0	19.01	0.0	0.0	0.0	0.94	0.1	1.96	0.0	0.0	0.59	15.19	0.43	0.0	0.0	0.04	0.0	0.01	0.0	0.51	0.21	0.0	0.0	0.11	2.18	0.0	56.19	NNLS
SRR13990917	0.0	0.0	1.85	0.0	8.69	0.0	0.0	0.0	2.25	0.16	0.74	0.0	0.02	0.63	4.71	19.82	0.0	0.0	0.55	1.51	0.0	0.0	0.2	0.34	0.0	0.0	0.05	1.16	0.0	57.3	NNLS
SRR13991075	0.0	0.0	2.5	0.0	2.94	0.0	0.92	0.0	8.32	0.5	0.94	0.0	0.58	0.0	0.0	11.49	0.0	0.0	0.6	5.06	0.0	0.0	0.0	0.7	0.0	0.0	0.07	0.36	0.0	65.02	NNLS
SRR13990860	0.0	0.74	5.39	3.59	15.02	0.0	0.0	0.0	4.81	0.0	0.0	0.0	0.45	0.0	0.0	3.85	0.04	0.0	0.45	2.63	0.0	0.0	0.0	0.24	0.0	0.0	0.0	2.25	0.04	60.49	NNLS
SRR13990870	0.0	0.3	2.21	0.76	8.68	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	5.25	0.0	0.0	0.4	1.49	0.0	0.0	0.0	0.43	0.0	0.0	0.0	1.31	0.0	79.01	NNLS
SRR13990874	0.0	1.15	1.26	0.2	16.96	0.0	0.0	0.0	3.27	0.0	0.6	0.0	1.56	0.57	16.34	1.07	0.0	0.0	0.11	0.0	0.0	0.0	0.87	0.0	0.0	1.48	0.08	2.11	0.0	52.38	NNLS
SRR13990709	0.0	0.73	0.22	0.0	14.36	0.0	0.0	0.0	0.0	0.41	0.16	0.0	0.0	0.78	12.88	0.23	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.14	0.0	0.0	0.06	1.81	0.0	68.19	NNLS
SRR13991076	0.0	0.0	3.56	0.5	0.0	0.0	0.67	0.0	7.92	0.53	0.0	0.0	0.47	0.0	0.0	13.74	0.0	0.0	0.6	3.63	0.0	0.0	0.0	0.41	0.0	0.0	0.01	0.3	0.0	67.65	NNLS
SRR13990854	0.0	0.93	0.0	0.0	35.04	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.22	1.79	33.74	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.16	1.73	0.0	26.11	NNLS
