ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	serous cell of epithelium of bronchus	pancreatic stellate cell/smooth muscle cell	bladder urothelial cell	microglia	neurons	luminal cell of prostate epithelium	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	common myeloid progenitor/erythroid progenitor cell	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	erythrocyte/platelet	large intestine goblet cell	capillary endothelial cell/endothelial cell of artery	pancreatic acinar cell	mural cell/pericyte	regular atrial cardiac myocyte/ventricular cardiac muscle cell	cd4-positive, alpha-beta thymocyte	luminal epithelial cell of mammary gland	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	oligodendrocyte	langerhans cell	intrahepatic cholangiocyte	serous cell of epithelium of trachea	oligodendrocyte precursor cell	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	type ii pneumocyte	mature nk t cell/natural killer cell	ciliated epithelial cell/epithelial cell of uterus	melanocyte/progenitor cell of mammary luminal epithelium	salivary gland cell	cd8-positive, alpha-beta thymocyte/thymocyte	OPC/astrocytes/oligodendrocytes	acinar cell of salivary gland	leukocyte	cardiac endothelial cell	endothelial cell of arteriole/endothelial cell of venule	kidney epithelial cell	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	mesothelial cell	pulmonary ionocyte	schwann cell	myo-medullary thymic epithelial cell	intestinal tuft cell/tuft cell of colon	epithelial cell of uterus	mesothelial cell/schwann cell	pancreatic a cell	myoepithelial cell	stratified squamous epithelial cell	central nervous system macrophage	melanocyte	enterocyte of epithelium proper of duodenum	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	pancreatic a cell/pancreatic d cell/type b pancreatic cell	colon endothelial cell	basal cell of prostate epithelium	enteroendocrine cell of small intestine	myometrial cell	basal cell/medullary thymic epithelial cell	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	medullary thymic epithelial cell	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	sebum secreting cell	club cell	mesenchymal stem cell/tendon cell	erythroid progenitor cell	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	pulmonary ionocyte/respiratory goblet cell	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	type i pneumocyte	duct epithelial cell/ionocyte	club cell/type i pneumocyte	taste receptor cell	hepatocyte	enteroglial cell	gamma-delta t cell	pancreatic d cell/type b pancreatic cell	basal cell	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	tracheal goblet cell	hematopoietic stem cell	common myeloid progenitor/hematopoietic stem cell	plasma cell	choroid plexus epithelial cell	myeloid dendritic cell	neuron	pancreatic stellate cell	neuro-medullary thymic epithelial cell	duct epithelial cell/ionocyte/mucus secreting cell	b cell	tissue-resident macrophage	smooth muscle cell	mucus secreting cell/respiratory goblet cell	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	Bergmann glial cell/astrocyte/ependymal cell	pancreatic ductal cell	macrophage	fast muscle cell/slow muscle cell	progenitor cell of mammary luminal epithelium	cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	basophil/mast cell	neutrophil	innate lymphoid cell	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	Method	Sample
0.0	0.0		0.0	1.43429	0.60691	0.0			21.42987	1.30032		0.0	0.01064	0.70684	0.0	0.0	0.12501			0.98844	0.25328	0.38891			0.0	6.99169			0.57084	8.86976	0.2439	0.0	0.0	1.96594	0.17814	0.10498	0.0	0.20845	0.0	0.40109	0.1337		0.16153			0.08216	0.0		0.09936	0.19727	0.0	0.0	0.09309	2.20548	0.0	0.0			0.0		0.0	0.0	0.33944	1.40823			22.09895	0.0	0.07214		1.23001	0.0	0.0	0.0		0.0		0.0		2.46729	0.0		2.04485		0.0	0.44784		9.22972	0.0	0.91071	0.07355	0.0	0.02622	0.967		0.0	0.0	0.00274	1.1935	4.14344	0.64378	2.90611	0.0	0.04257	CIBERSORTx	133247_1
0.21303	0.00482		0.0126	1.79317	0.9284	0.0			20.20561	0.7027		0.0	0.0049	1.48264	0.21347	0.0	0.77458			0.49077	0.16219	0.0			0.01694	4.78514			0.71862	7.51038	0.23982	0.00726	0.0	3.58055	0.53177	1.51021	0.0	0.56622	0.42745	0.65783	0.0		0.31477			0.60439	0.0		0.0	0.0	0.0	0.01185	0.0	1.91341	0.0	0.0			0.0		0.02102	0.0	1.134	0.66892			13.63948	0.0	0.0		1.4289	0.0	0.0	0.0		0.0		0.0		7.48742	0.0		3.92653		0.0	0.0		8.75495	0.0	0.23715	0.06457	0.0	0.28546	1.23053		0.0	0.0	0.01409	3.1404	1.83235	2.21871	3.53003	0.0	0.0	CIBERSORTx	260786_1
0.26628	0.0		0.0	1.09707	1.73319	0.0			20.96075	0.96963		0.0	0.00559	1.08965	0.15346	0.0	0.52537			1.93368	0.10425	0.8223			0.0	5.60384			1.51685	13.60891	0.01434	0.0	0.0	4.17355	0.71548	1.49712	0.0	0.94102	0.33831	0.5839	0.0		0.55648			1.63098	0.0		1.34437	0.47986	0.0	0.00985	0.0	2.74319	0.0	0.0			0.0		0.0	0.0	0.94149	0.0			9.32239	0.0	0.0		2.6176	0.0	0.0	0.06621		0.0		0.0		11.82879	0.0		0.0		0.0	0.0376		2.55186	0.0	0.85231	0.09745	0.0	0.60315	0.66972		0.0	0.19237	0.0	2.46321	0.0	2.33658	0.0	0.0	0.0	CIBERSORTx	331344_2
0.43209	0.0		0.0	1.93124	0.89976	0.0			16.09584	1.70255		0.0	0.00487	1.45386	0.14231	0.0	0.46481			0.92137	0.52223	0.0			0.0	3.03096			0.50297	8.08472	0.42799	0.0	0.0	3.44695	0.0	1.55482	0.0	0.30059	0.32637	0.821	0.05266		0.0			0.32517	0.0		0.36572	0.0	0.0	0.00459	0.0	2.1583	0.0	0.0			0.0		0.0	0.0	0.96984	3.44132			13.63681	0.0	0.0		1.74281	0.0	0.0	0.0		0.0		0.0		5.49811	0.0		6.22468		0.0	0.28631		10.85813	0.0	0.7393	0.06503	0.0	0.02906	2.77665		0.0	0.49708	0.01193	3.1569	0.0	1.5829	2.26772	0.0	0.24169	CIBERSORTx	349246_2
0.21227	0.0		0.15375	1.26783	1.87325	0.0			16.96542	0.34033		0.0	0.01562	1.45089	0.86729	0.0	0.0			0.8564	0.0	1.31593			0.0	6.29023			1.89487	13.41035	0.13037	0.0	0.0	4.93247	0.05637	1.89456	0.0	1.27392	0.43673	0.57133	0.0		0.0			1.67236	0.0		0.86543	0.40322	0.0	0.00541	0.0	0.46772	0.0	0.0			0.0		0.0	0.0	1.19337	0.07738			14.51152	0.0	0.27948		3.10716	0.0	0.0	0.0		0.0		0.03285		8.70704	0.0		0.0		0.0	0.13332		2.01886	0.0	1.35874	0.11711	0.0	0.34445	0.65327		0.0	0.0	0.01259	1.51953	0.0	3.79262	2.5164	0.0	0.0	CIBERSORTx	301419_1
0.86054	0.0		0.44098	1.5108	0.78745	0.09417			20.14566	1.15245		0.0	0.05798	1.02933	1.1625	0.0	0.0			0.35191	0.0	0.0			0.78277	6.27545			0.74575	10.74943	0.22485	0.0	0.0	2.69313	0.34684	0.60206	0.0	0.57922	0.45716	0.74072	0.0		0.0			0.68447	0.07175		0.0	0.43786	0.0	0.76018	0.30336	0.0	0.31683	0.0			0.0		0.56182	0.17348	0.11968	0.11072			16.84854	0.0	0.0		0.0	0.0	0.0	0.0		0.0		0.28795		5.90012	0.0		3.04668		0.0	0.9722		5.04368	0.0	1.29089	0.0	0.0	0.57456	0.0		0.0	0.0	0.0	1.11843	0.87009	1.15928	7.55631	0.0	0.0	CIBERSORTx	267586_2
0.32886	0.0		0.24322	1.33019	1.19652	0.38403			15.08434	2.72825		0.0	0.02204	1.37371	0.14401	0.0	0.47149			0.49114	0.0921	0.40563			0.04017	7.12365			0.76629	10.11259	0.21642	0.0	0.0	3.24389	0.11225	1.34483	0.0	0.37806	0.32532	0.6242	0.05363		0.02211			0.6179	0.0		0.15958	0.35545	0.0	0.00579	0.0	0.81343	0.0	0.0			0.0		0.0	0.0	1.26181	1.48047			13.88407	0.0	0.0		1.95535	0.0	0.0	0.06687		0.0		0.0		8.11015	0.0		3.21682		0.0	0.06651		3.52494	0.0	0.77806	0.06713	0.0	0.31554	1.84605		0.0	0.0	0.01383	2.24638	3.81828	2.87689	3.85976	0.0	0.0	CIBERSORTx	475571_1
0.0	0.0		0.0	7.14311	2.16465	0.0			7.21117	22.97617	0.0	0.0	0.0	0.0	0.0	0.0	1.6814			12.77779	0.0	0.0			0.0	5.4246			0.0	0.0	0.0	0.0	0.0	16.60454	0.0	0.0	0.0	0.0	0.0	5.72825	0.0	0.0	0.0		0.15395	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	2.53289			0.0		0.0	0.0	0.0	0.0			0.87984	5.92671	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0		0.0		0.0	0.0		0.0	0.0	1.85076	0.0	0.0		0.0		0.0	0.82951	0.0	0.0	0.0	0.0	6.11464	0.0	0.0	NNLS	631489_3
0.0	0.0		0.0	4.94577	0.77484	0.0			9.47546	37.25026	0.0	0.0	0.0	0.0	0.0	0.0	0.0			8.09958	0.0	0.0			0.0	0.0			0.0	7.13129	0.0	0.0	0.0	9.25118	0.0	0.0	0.0	0.0	0.0	4.68512	0.0	0.0	0.0		0.0	2.17926	0.0		0.0	0.0	0.0		0.0	0.0	0.0	2.32814			0.0		0.0	0.0	0.0	0.0			0.0	5.75715	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0		1.41748		0.0	0.0		0.0	0.0	4.33422	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	2.37026	0.0	0.0	NNLS	674547_3
0.0	0.0		0.0	7.02031	2.26258	0.0			11.83563	28.22124	0.0	0.0	0.0	0.0	0.0	0.0	1.80108			6.02777	0.0	0.0			0.0	0.0			0.0	4.90428	0.0	0.0	0.0	9.63752	0.0	0.0	0.0	0.0	0.0	2.09882	0.0	0.0	0.0		0.0	2.16605	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.29215			0.0		0.0	0.0	0.0	0.0			0.0	6.17254	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0		3.77504		0.0	0.82069		0.0	0.0	7.22275	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	5.74157	0.0	0.0	NNLS	546738_3
