	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
SRR13990957	0.0	0.0	0.0	0.0	4.15	0.0	0.0	0.0	0.0	0.0	1.57	0.0	0.0	0.0	11.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	82.61	QP
SRR13990720	0.0	0.0	0.0	0.0	29.96	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	32.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	37.24	QP
SRR13990961	0.0	0.0	0.0	0.0	7.54	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	10.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.23	QP
SRR13990786	0.0	0.0	0.0	0.0	12.48	4.27	0.0	0.0	7.54	0.0	7.44	0.0	0.0	0.0	4.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.37	0.0	0.0	0.0	0.0	0.08	0.0	60.12	QP
SRR13991094	0.0	0.0	0.0	0.0	6.17	0.0	0.0	0.0	0.0	0.0	3.37	0.0	0.0	0.0	10.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	79.98	QP
SRR13990893	0.0	0.0	0.0	0.0	25.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.14	QP
SRR13991063	0.0	0.0	0.0	0.0	10.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.4	QP
SRR13990908	0.0	0.0	0.0	0.0	2.37	0.0	0.0	0.0	1.04	0.0	1.87	0.0	0.0	0.0	7.03	2.14	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.6	0.0	0.0	0.0	0.0	84.19	QP
SRR13990699	0.0	0.0	0.0	0.0	6.48	2.81	0.0	0.0	7.64	0.0	2.47	0.0	0.0	0.0	6.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27	0.0	0.46	0.0	0.0	0.0	0.0	70.89	QP
SRR13990628	0.0	0.0	1.51	0.0	0.0	0.0	0.08	0.0	4.09	0.0	0.0	0.0	1.01	0.0	0.0	2.18	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	1.43	0.0	0.0	0.0	89.15	QP
SRR13990989	0.0	0.0	3.57	0.0	0.0	0.0	0.72	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	3.46	0.0	0.0	0.0	2.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.19	QP
SRR13990864	0.0	0.0	0.0	0.0	20.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.48	QP
SRR13990784	0.0	0.0	0.0	0.0	9.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.08	QP
SRR13991012	0.0	0.0	0.0	0.0	2.35	0.86	0.0	0.0	5.64	0.0	5.19	0.0	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0	0.0	79.9	QP
SRR13990829	0.0	0.0	8.1	0.0	0.0	0.0	2.39	0.0	11.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.41	QP
SRR13990987	0.0	0.0	0.0	0.0	10.94	0.0	0.0	0.0	0.0	0.0	2.73	0.0	0.0	0.0	7.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	78.85	QP
SRR13990988	0.0	0.0	0.32	0.23	1.95	1.26	0.0	0.0	1.39	0.0	1.78	0.0	0.0	0.0	0.0	2.26	0.0	0.0	0.0	0.56	0.0	0.0	1.21	0.0	0.0	0.0	0.0	0.01	0.0	89.04	QP
SRR13990939	0.0	0.0	0.0	0.0	39.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.09	QP
SRR13990865	0.0	0.0	0.0	0.0	12.11	0.12	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.0	2.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.53	QP
SRR13990777	0.0	0.0	0.72	1.06	0.0	0.07	0.6	0.0	2.23	0.0	0.0	0.0	0.0	0.0	0.0	1.95	0.0	0.0	0.0	2.58	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	90.6	QP
SRR13991010	0.0	0.0	6.31	0.0	0.0	0.0	1.68	0.0	13.03	0.0	0.0	0.0	4.83	0.0	0.0	0.0	0.5	0.0	0.0	7.89	0.0	0.0	0.0	0.0	0.0	4.94	0.0	0.0	0.0	60.81	QP
SRR13990766	0.0	0.0	0.0	0.0	7.33	2.74	0.0	0.0	4.86	0.0	1.48	0.0	0.0	0.0	3.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.0	1.43	0.0	0.0	0.0	0.0	77.26	QP
SRR13990902	0.0	0.0	0.0	0.0	18.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.97	QP
SRR13990650	0.0	0.0	0.0	0.0	2.93	0.0	0.0	0.0	0.0	0.0	1.37	0.0	0.0	0.0	3.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.0	0.0	0.0	0.0	91.25	QP
SRR13990716	0.0	0.0	0.0	0.0	57.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.25	QP
SRR13990674	0.0	0.0	0.0	0.0	22.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.2	QP
SRR13990787	0.0	0.0	0.0	0.16	7.79	5.01	0.0	0.0	7.42	0.0	7.69	0.0	0.0	0.0	2.42	0.0	0.03	0.0	0.0	0.0	0.0	0.0	3.16	0.0	0.0	0.01	0.0	0.21	0.0	66.1	QP
