basal cell of prostate epithelium	endothelial cell of arteriole/endothelial cell of venule	pancreatic ductal cell	duct epithelial cell/ionocyte	innate lymphoid cell	pancreatic stellate cell	capillary endothelial cell/endothelial cell of artery	erythrocyte/platelet	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	enteroglial cell	tracheal goblet cell	enterocyte of epithelium proper of duodenum	hepatocyte	intrahepatic cholangiocyte	myoepithelial cell	ciliated epithelial cell/epithelial cell of uterus	central nervous system macrophage	mural cell/pericyte	taste receptor cell	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	myo-medullary thymic epithelial cell	macrophage	gamma-delta t cell	myometrial cell	microglia	epithelial cell of uterus	mature nk t cell/natural killer cell	kidney epithelial cell	luminal epithelial cell of mammary gland	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	fast muscle cell/slow muscle cell	leukocyte	club cell/type i pneumocyte	pulmonary ionocyte	langerhans cell	stratified squamous epithelial cell	pancreatic stellate cell/smooth muscle cell	club cell	mesenchymal stem cell/tendon cell	cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	b cell	melanocyte/progenitor cell of mammary luminal epithelium	regular atrial cardiac myocyte/ventricular cardiac muscle cell	neuron	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	common myeloid progenitor/hematopoietic stem cell	type ii pneumocyte	pancreatic acinar cell	plasma cell	cd4-positive, alpha-beta thymocyte	cd8-positive, alpha-beta thymocyte/thymocyte	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	intestinal tuft cell/tuft cell of colon	pancreatic a cell	neurons	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	bladder urothelial cell	neuro-medullary thymic epithelial cell	pancreatic d cell/type b pancreatic cell	mesothelial cell/schwann cell	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	mucus secreting cell/respiratory goblet cell	choroid plexus epithelial cell	acinar cell of salivary gland	pulmonary ionocyte/respiratory goblet cell	hematopoietic stem cell	serous cell of epithelium of bronchus	cardiac endothelial cell	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	large intestine goblet cell	pancreatic a cell/pancreatic d cell/type b pancreatic cell	type i pneumocyte	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	sebum secreting cell	melanocyte	duct epithelial cell/ionocyte/mucus secreting cell	schwann cell	ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	common myeloid progenitor/erythroid progenitor cell	neutrophil	erythroid progenitor cell	mesothelial cell	Bergmann glial cell/astrocyte/ependymal cell	myeloid dendritic cell	oligodendrocyte precursor cell	serous cell of epithelium of trachea	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	basal cell/medullary thymic epithelial cell	OPC/astrocytes/oligodendrocytes	medullary thymic epithelial cell	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	basophil/mast cell	luminal cell of prostate epithelium	basal cell	colon endothelial cell	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	salivary gland cell	smooth muscle cell	progenitor cell of mammary luminal epithelium	oligodendrocyte	enteroendocrine cell of small intestine	tissue-resident macrophage	Method	Sample
0.60174	0.0	0.0052	0.04629	0.0	0.0	0.08598	10.45033		0.0	0.12595	0.33729	0.65202	0.83462	0.12856			1.43342	0.0		0.0009	4.04545	2.45811	0.0	0.31143	0.00639	7.48859	2.50625	0.0	0.45663	0.00399	1.36925		0.0	0.0	1.07716		0.00092	0.0	0.0	4.38246		0.14561		1.16746	0.0	0.00079	0.00126	0.0	5.43476	0.10838	0.0			0.11274		2.8265	0.00136	2.54097			0.13179	0.00018		0.0			0.0	3.87179			0.00154	0.0	0.08129	0.0	0.01249		0.23029	0.00587		7.87923	20.69214	0.16419		0.00914		0.0	0.0			0.0308	0.0	14.2996		0.00497	0.0	0.24598	0.0		0.0	0.00427	1.1854		0.00029	0.0	CIBERSORTx	SRR13990858
2.14661	0.0	0.04094	0.16832	0.0	0.0	0.46599	7.31586		0.0	0.0	0.02583	0.0	0.10287	0.13933			0.84015	0.7442		0.0	1.49809	0.0	0.0	1.50269	0.5945	7.43109	0.0	0.0	0.318	0.00701	0.0		0.0	2.284	0.0		0.0	0.25053	0.25983	5.19296		0.40981		0.06077	0.0	0.0	0.00895	0.0	4.72341	0.0	0.02767			0.22206		7.22092	0.16114	1.04345			0.0	0.07641		0.0			0.0	2.16477			0.0	0.28538	1.5701	0.04707	0.0		0.0	0.0		8.73556	4.53984	0.55753		0.0		0.0	0.0			0.0	0.0	31.7404		0.0325	0.0	0.0	3.30527		0.0	0.94877	0.78942		0.0	0.0	CIBERSORTx	SRR13990904
3.07573	0.0	0.07173	0.0	0.0	0.0	0.26541	3.92188		0.21186	0.0	0.0	0.0	0.17526	0.61939			0.99436	0.78472		0.0	4.1241	0.0	0.0	1.28015	0.20198	5.49515	0.0	0.0	0.56648	0.01124	0.0		0.0	1.61419	0.0		0.0	0.0	0.90962	2.07597		0.0		0.0544	0.0	0.0	0.0	0.0	4.25127	0.0	0.18177			0.1342		3.21247	0.0	0.98875			0.21033	0.07623		0.03749			0.02888	2.18857			0.0	0.80161	0.47112	0.31393	0.0		0.0	0.0		15.51709	6.47777	0.80904		0.0		0.0	0.0			0.0	0.0	31.94406		0.85942	0.0	0.0	3.10151		0.0	0.32367	1.61716		0.0	0.0	CIBERSORTx	SRR13991080
2.36137	0.0	0.0	0.0	0.0	0.0	0.98641	9.06907		0.0	0.0774	0.43835	0.0	0.7462	0.94802			0.87358	0.22361		0.0	6.20149	0.0	0.0	0.59311	0.39504	5.92103	1.09145	0.58297	0.36718	0.01096	0.0		0.0	1.53463	0.0		0.0	0.02527	2.20264	5.37907		0.0		0.0	0.0	0.0	0.0	0.0	6.26903	0.0	0.0			0.0		3.62605	0.10212	0.29835			0.26515	0.08265		0.0			0.0	2.79253			0.00196	0.30516	2.45838	0.14924	0.0		0.02854	0.0		3.62299	15.00879	1.21097		0.0		0.0	0.0			0.0	0.0	21.38518		0.00544	0.0	0.0	0.60423		0.0	0.0	1.75436		0.0	0.0	CIBERSORTx	SRR13990868
0.15865	0.08224	0.0135	0.1053	0.0	0.0	0.13334	9.67585		0.0	0.09186	0.06057	0.00812	0.10444	0.42881			0.49384	0.03855		0.06228	4.62923	0.03291	0.0	0.35981	0.17034	5.15073	0.04203	0.0	0.37134	0.00216	0.0		0.12905	1.08455	0.01462		0.00277	0.03486	0.04476	4.85853		0.0		0.01561	0.0	0.00306	0.00283	0.0	5.75803	0.49793	0.20365			0.40541		8.84033	0.00281	0.77296			0.092	0.0		0.0			0.0	6.01858			0.00213	0.27876	3.71993	0.0	0.08249		0.1948	0.0		2.93721	21.0495	0.21162		0.0		0.30946	0.0			0.0	0.0	17.54465		0.03747	0.0	0.0	1.75436		0.04283	0.0	0.77838		0.05816	0.0	CIBERSORTx	SRR13990814
0.95208	0.0	0.0	0.36051	0.0	0.0	0.81998	6.38909		0.15929	0.0	0.02216	0.0	0.26321	0.0			0.80444	0.05699		0.12817	0.7657	0.63772	0.0	0.98157	0.20848	8.51253	0.0	0.02988	0.90235	0.00024	0.46186		0.0	0.07111	0.0		0.0	0.0	0.0	2.69843		0.0		0.39016	0.0	0.0	0.01743	0.0	12.31121	0.0	0.0			0.19055		6.46496	0.0	0.14139			0.0	0.0		0.0			0.14595	2.27664			0.0	0.0	2.60064	0.05044	0.0		0.0	0.11238		16.14447	12.72093	0.00357		0.0		0.0	0.0			0.0	0.0	19.37295		0.00471	0.0	0.0	0.4052		0.0	0.0	1.42061		0.0	0.0	CIBERSORTx	SRR13990762
0.23019	0.0	0.27145	0.06527	0.0	0.0	0.6978	9.7553		0.0	0.37518	0.0	0.0	0.12494	0.33055			0.89752	0.0		0.12199	1.42529	1.31074	0.0	0.34327	0.0	9.24953	0.34311	0.3956	0.12136	0.04042	0.23219		0.0	0.37933	0.26204		0.14138	0.0	0.0	5.9521		0.0		0.08643	0.0	0.0	0.09035	0.22559	12.99606	0.06721	0.0			0.07141		13.06102	0.16549	0.39227			0.12437	0.16236		0.15921			0.0	3.02573			0.05005	0.03494	2.28103	0.0	0.42068		0.0	0.0		0.90752	13.94354	0.45492		0.02483		0.0	0.0			0.27499	0.0	15.57706		0.41214	0.25918	0.0	0.0		0.0	0.20807	1.37786		0.07916	0.0	CIBERSORTx	SRR13990629
3.14309	0.0	0.0	0.0	0.0	0.0	0.0	10.0195		0.0	0.50859	0.0	0.0	1.13573	1.04532			1.97002	0.30212		0.27274	6.36793	0.0	0.0	0.91632	0.22149	8.64521	0.05199	0.73886	0.51516	0.0	0.0		0.0	1.71655	0.0		0.0	0.0	1.20042	2.19578		0.62627		0.0	0.0	0.0	0.0	0.01847	2.56009	0.0	0.07738			0.23868		7.1064	0.0	0.85465			0.28141	0.0		0.0			0.21606	3.65069			0.0	0.61494	2.13474	0.11932	0.0		0.42852	0.0		6.4983	10.25424	0.7511		0.0		0.0	0.0			0.0	0.0	19.16404		0.04731	0.0	0.0	2.26187		0.0	0.0	1.1287		0.0	0.0	CIBERSORTx	SRR13990728
0.86576	0.0	0.05095	0.0	0.0	0.0	0.78319	10.10596		0.31134	0.45824	0.0	0.0	0.38027	0.0			0.19596	0.0		0.0	0.0	0.60605	0.0	1.12889	0.0	1.86041	0.4549	0.0	0.44429	0.12285	0.51909		0.0	0.0	0.49754		0.17033	0.02806	0.0	3.20111		0.23424		0.1579	0.0	0.24009	0.1132	0.07044	10.07471	0.0	0.17019			0.29947		2.09568	0.0	0.3113			0.57649	0.13645		0.12257			0.12055	2.20787			0.13218	0.20398	2.25139	0.02676	0.0		0.0	0.2428		10.03998	19.0593	0.63676		0.96986		0.0	0.0			0.12005	0.0	24.88739		0.0	0.05089	0.58085	0.0		0.0	0.51814	1.03792		0.1254	0.0	CIBERSORTx	SRR13990932
2.04453	0.0	0.07996	0.0	0.0	0.0	1.35486	7.00039		0.0	0.12702	0.23716	0.0	0.13462	0.53501			0.64866	0.0		0.69209	2.61705	0.0	0.0	1.11408	0.21843	6.28861	0.21732	0.0	0.83587	0.00665	0.0		0.0	0.81908	0.0		0.0	0.0	3.89475	3.54054		0.0		0.07289	0.0	0.0	0.0	0.0	9.20561	0.0	0.07732			0.10095		4.81243	0.14246	0.12851			0.11622	0.06034		0.0			0.0	1.71891			0.0	0.08297	1.06528	0.24178	0.0		0.18132	0.0		11.62136	8.78402	0.51458		0.52274		0.0	0.0			0.0	0.0	24.21672		0.0	0.0	0.0	1.37371		0.0	0.74983	1.80333		0.0	0.0	CIBERSORTx	SRR13990879
