large intestine goblet cell	bladder urothelial cell	microglia	innate lymphoid cell	mesenchymal stem cell/tendon cell	myo-medullary thymic epithelial cell	colon endothelial cell	pancreatic ductal cell	taste receptor cell	acinar cell of salivary gland	erythrocyte/platelet	serous cell of epithelium of trachea	stratified squamous epithelial cell	tissue-resident macrophage	luminal cell of prostate epithelium	schwann cell	OPC/astrocytes/oligodendrocytes	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	choroid plexus epithelial cell	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	club cell	oligodendrocyte precursor cell	pancreatic stellate cell	pancreatic a cell	basophil/mast cell	neutrophil	cd4-positive, alpha-beta thymocyte	ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	basal cell	myometrial cell	basal cell/medullary thymic epithelial cell	type i pneumocyte	central nervous system macrophage	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	leukocyte	endothelial cell of arteriole/endothelial cell of venule	intestinal tuft cell/tuft cell of colon	Bergmann glial cell/astrocyte/ependymal cell	kidney epithelial cell	smooth muscle cell	pulmonary ionocyte/respiratory goblet cell	cardiac endothelial cell	hepatocyte	duct epithelial cell/ionocyte	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	neuro-medullary thymic epithelial cell	epithelial cell of uterus	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	capillary endothelial cell/endothelial cell of artery	ciliated epithelial cell/epithelial cell of uterus	neuron	serous cell of epithelium of bronchus	hematopoietic stem cell	pancreatic a cell/pancreatic d cell/type b pancreatic cell	erythroid progenitor cell	regular atrial cardiac myocyte/ventricular cardiac muscle cell	cd8-positive, alpha-beta thymocyte/thymocyte	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	mature nk t cell/natural killer cell	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	pancreatic d cell/type b pancreatic cell	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	melanocyte	myeloid dendritic cell	mesothelial cell	enterocyte of epithelium proper of duodenum	pulmonary ionocyte	club cell/type i pneumocyte	mucus secreting cell/respiratory goblet cell	tracheal goblet cell	sebum secreting cell	myoepithelial cell	enteroglial cell	intrahepatic cholangiocyte	common myeloid progenitor/hematopoietic stem cell	fast muscle cell/slow muscle cell	cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	medullary thymic epithelial cell	mural cell/pericyte	macrophage	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	gamma-delta t cell	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	langerhans cell	melanocyte/progenitor cell of mammary luminal epithelium	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	oligodendrocyte	basal cell of prostate epithelium	common myeloid progenitor/erythroid progenitor cell	type ii pneumocyte	plasma cell	pancreatic acinar cell	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	b cell	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	mesothelial cell/schwann cell	neurons	pancreatic stellate cell/smooth muscle cell	progenitor cell of mammary luminal epithelium	salivary gland cell	luminal epithelial cell of mammary gland	enteroendocrine cell of small intestine	duct epithelial cell/ionocyte/mucus secreting cell	Method	Sample
	0.0	0.42411	0.0	0.23689	0.15162	0.0	0.0	1.01504	0.0	4.21209	0.12767	0.0	0.0	0.0	0.86392	0.0			18.7462	0.0		0.0		2.19097	0.4806	0.0	0.0	0.0	0.0		0.12088		1.14789	0.02429	0.0			0.0	0.34455		8.96697	0.0	0.35679	0.0316	4.80966	0.0	15.01352	1.81059			0.0		0.00166	2.13153	0.0	5.04901		6.4301	0.0			0.0		0.0	8.05488	1.29903	0.66531	0.06519		0.12512	0.0	0.27939	0.90482	0.0	0.7664	0.0	0.00354	0.0	0.0	0.90563	0.0	0.04536	2.24801		0.40103				2.95025		0.0	0.41809	0.0039		3.78286	0.0		0.6089		1.1126	0.67156	0.0	0.0		CIBERSORTx	SRR10192364
	0.0	1.38639	0.0	0.20265	0.06896	0.0	0.0	1.21704	0.0	0.88686	0.06446	0.0	0.0	0.0	0.39504	0.03524			18.67742	0.0		0.0		0.05476	2.32886	0.0	0.0	0.0	0.0		0.24923		6.02235	0.0	0.50717			0.1528	1.40478		8.86398	0.0	0.33747	0.02919	3.2295	0.23077	14.20848	0.0			0.0		0.0	3.47012	0.0	5.32298		13.05852	0.0			0.08479		0.0	0.19944	0.73623	1.33012	0.0		0.06179	0.0	0.15205	0.3145	0.0	1.22138	0.0	0.0	0.0	0.0	1.29133	0.0	0.05095	0.0		0.0				2.57546		0.0	0.34943	0.00856		5.22373	0.0		0.78995		1.12897	2.07633	0.0	0.0		CIBERSORTx	SRR10192176
	0.0	0.94671	0.0	0.13577	0.0	0.0	0.0	0.89981	0.0	2.14116	0.0	0.0	0.0	0.0	0.74605	0.0			20.04519	0.0		0.0		0.53256	1.34229	0.0	0.0	0.0	0.0		0.02937		2.85296	0.0	0.0			0.24357	0.0		5.97343	0.0	0.15812	0.03007	2.01736	0.24945	19.49751	1.43823			0.0		0.0	5.42535	0.0	4.90949		11.11732	0.0			0.0		0.0	3.12586	0.76823	0.72951	0.0		0.0989	0.0	0.09254	0.1077	0.0	1.07645	0.0	0.01123	0.0	0.0	1.26079	0.0	0.04966	0.00927		0.24961				2.12911		0.0	0.36591	0.01051		5.49187	0.0		0.58795		1.91704	0.6952	0.49088	0.0		CIBERSORTx	SRR10192213
	0.0	1.99441	0.0	0.0	0.02206	2.73015	0.0	0.12219	0.0	4.15251	0.00428	0.0	0.0	0.0	0.46653	0.71297			19.68692	0.0		0.0		0.0	9.15182	0.0	0.01962	0.14336	0.00234		0.0408		0.0	0.0	0.0			0.01484	1.05952		1.62746	0.00327	0.14829	0.03503	0.41895	0.0	20.65043	0.0			0.0		0.00297	0.0	0.0	11.07		15.04692	0.0			0.35129		0.0	2.09881	0.3194	0.35174	0.00174		0.01024	0.0	0.0001	0.0	0.0	0.04634	0.50703	0.0	0.0	0.0	0.03395	0.0	0.0	0.02465		0.93752				1.50561		0.00048	0.07636	0.0027		2.08173	0.0		1.02472		0.02623	1.2717	0.0	0.0		CIBERSORTx	SRR10192383
	0.1827	1.45614	0.0	0.18082	0.01297	0.08364	0.0	2.23694	0.0	1.45414	0.10231	0.0	0.0	0.0	0.32121	0.54577			11.67979	0.0		0.0		1.08234	4.54858	0.0	0.4496	0.0	0.0		0.29144		0.0	0.0	1.05453			0.15334	0.84133		5.17444	0.0	0.09987	0.31218	0.52583	0.0	20.02304	0.0			0.06762		0.0085	0.0	0.0	12.9282		9.05526	0.0			0.0		0.0	4.80607	0.90644	1.15441	0.54623		0.0	0.0	0.20214	0.74178	0.0	0.74833	6.303	0.01458	0.99151	0.0	1.51495	0.0	0.0	0.0		0.61532				2.60586		0.0	0.05439	0.01198		0.0	0.0		1.28215		1.1798	1.2119	0.0	0.23659		CIBERSORTx	SRR10192474
	0.0	2.39112	0.0	0.0	0.0	2.0203	0.03899	0.56177	0.0	2.09261	0.0	0.0	0.0	0.0	0.28464	0.04526			12.95198	0.0		0.0		0.08555	26.64944	0.0	0.0	0.0	0.0		0.30682		0.36082	0.33625	0.0			0.0	1.16578		1.22905	0.0	0.0	0.0	0.22247	0.32509	21.80418	0.93403			0.05825		0.0	0.0	0.00151	3.61347		7.44558	0.0			0.44974		0.0	8.12943	0.04377	0.70816	0.32271		0.0	0.0	0.19646	0.0	0.15722	0.47899	0.0	0.00494	0.0	0.0	0.49702	0.0	0.01274	0.0		0.47892				2.46002		0.0	0.02988	0.0		0.0	0.0		0.30448		0.80056	0.0	0.0	0.0		CIBERSORTx	SRR10192391
	0.0	1.85517	0.0	0.7121	0.09169	0.0	0.0	0.82335	0.0	1.42442	0.0	0.0	0.0	0.0	0.67311	0.24947			18.13693	0.0		0.0		0.0319	3.03572	0.0	0.0	0.0	0.0		0.3849		1.79202	0.70102	0.0			0.35469	0.94575		5.72737	0.0	0.09347	0.0	0.46502	0.0	18.61704	0.0			0.016		0.0	4.09218	0.0	7.35929		17.04209	0.0			0.0		0.0	2.60681	0.58969	0.98372	0.14667		0.0	0.0	0.2029	0.0	0.0	0.73079	0.0	0.0	0.0	0.0	1.3649	0.0	0.04695	0.0		0.0				1.65116		0.0	0.12444	0.00833		3.24648	0.0		1.13632		1.51442	1.02172	0.0	0.0		CIBERSORTx	SRR10192178
	0.0	1.83205	0.0	0.35402	0.08779	0.0	0.0	1.02441	0.0	1.08497	0.0	0.0	0.0	0.0	0.75405	0.35532			17.21817	0.0		0.0		0.18424	1.29771	0.0	0.0	0.0	0.0		0.22303		3.77274	0.0	0.83057			0.19993	0.6345		7.90748	0.0	0.16838	0.03097	0.30434	0.12415	18.32848	0.0			0.0		0.0	1.33666	0.0	9.06712		13.17171	0.0			0.0		0.0	1.65294	0.90753	1.12992	0.0		0.0862	0.0	0.20927	0.02388	0.0	0.79641	0.34684	0.0	0.0	0.0	2.38505	0.0	0.05832	0.17938		0.0				2.46934		0.0	0.11539	0.00754		6.22925	0.0		0.89651		1.23785	0.97561	0.0	0.0		CIBERSORTx	SRR10192211
	0.25604	1.15563	0.0	0.02041	0.0	0.0	0.0	0.41091	0.0	3.33074	0.0	0.0	0.0	0.0	0.0	0.0			16.34231	0.0		0.0		0.0	0.86384	0.0	0.0	0.0	1.13289		0.00018		4.62983	0.0	0.0			0.21919	0.0		3.46159	0.0	0.1816	0.06067	1.94592	0.10243	20.38487	2.12138			0.0		0.0	11.14984	0.0	2.53174		13.11071	0.0			0.19647		0.10167	0.0	1.08316	0.20191	0.0		0.01373	0.54842	0.0	0.49091	0.0	0.0	0.0	0.0	0.0	0.0	1.35945	0.0	0.0	1.15424		0.0				1.12183		0.0	0.08661	0.01315		10.00061	0.0		0.21512		0.0	0.0	0.0	0.0		CIBERSORTx	SRR10192216
	0.0	1.10359	0.0	0.0	0.0	0.0	0.0	1.31694	0.0	1.12993	2.42309	0.0	0.0	0.0	0.61257	0.03413			13.37663	0.0		0.0		2.00491	2.04744	0.0	0.0	0.0	0.0		0.0		1.60268	0.0	1.0825			0.21438	0.81099		8.32567	0.0	0.0	0.82015	0.68488	4.62042	15.53918	0.32879			0.0		0.0	0.0	0.0	9.36404		11.73326	0.0			0.20922		0.0	4.02071	0.57397	0.79239	0.05698		0.08844	0.0	0.34406	0.2447	0.0	0.25485	4.42101	0.00518	0.0	0.0	2.97616	0.0	0.0	0.0		0.0				1.83729		0.0	0.01766	0.00791		1.47779	0.0		0.9095		0.58326	1.75394	0.0	0.24884		CIBERSORTx	SRR10192256
