NAME	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood
A1BG	4.328	2.7575	5.63825	3.05825	6.6850000000000005	6.20875	5.750500000000001	9.806999999999999	7.6975	2.703	3.1315	2.7585	2.6705	4.289000000000001	3.395	557.2645000000001	5.328499999999999	4.380000000000001	1.554	8.06775	3.13075	17.648250000000004	5.641500000000001	3.39925	4.496500000000001	8.2455	2.67275	2.7239999999999998	5.315	3.608
A1CF	1.024	1.0805	1.0459999999999998	1.05525	1.0305	1.04075	1.0365	1.0385	1.051	1.08725	18.521500000000003	1.0354999999999999	1.031	1.0325	14.1985	184.7065000000001	1.0514999999999999	1.109	1.0605	1.034	22.56374999999999	1.13675	1.057	1.04775	27.468749999999993	1.04725	2.18525	1.17925	1.05725	1.032
A2M	1425.9075000000003	397.06750000000005	2426.9085000000005	1687.7627500000003	146.3695	1117.0325	606.9375000000001	17.142	4.326499999999999	596.0659999999998	560.1989999999998	965.494	361.0255	558.9900000000004	808.7572500000003	1009.1595	6471.263000000001	490.69350000000014	150.81274999999997	840.8795	154.9265	511.7422500000002	920.4144999999996	215.52425000000005	635.9152500000001	673.2797500000001	471.87999999999977	140.25250000000003	867.8794999999997	4.923
A2ML1	1.28575	1.41	1.34275	2.077	4.589	1.422	4.064499999999999	1.488	1.1665	1.325	1.347	1.596	1799.9025	1.36625	1.20725	1.329	1.309	5.0945	1.16475	9.028249999999998	1.333	4.125499999999999	2.43525	227.581	1.34475	1.3925	1.4224999999999999	23.324499999999997	1.3544999999999998	1.1785
AADAC	4.449999999999999	212.23950000000005	1.0467499999999998	1.33725	1.0	3.52875	1.1075	1.0452499999999996	1.0145	1.03375	1.1115	1.038	1.7287499999999996	1.10325	1.015	105.656	2.0665	1.294	1.0	1.02725	20.17575	1.0474999999999999	1.0575	5.715000000000001	12.465499999999995	1.0394999999999999	9.273	1.36975	1.22525	1.0082499999999999
AADACL2	1.5964999999999998	1.0085	1.021	1.479	1.0	1.0585	1.077	1.008	1.0095	1.1495	1.3719999999999999	1.256	1.21875	1.0255	1.0	1.0	1.0525	1.055	1.0	1.03325	1.0	1.072	1.0	47.74974999999999	1.2515	1.0	1.0775	1.09475	1.017	1.0
AARD	1.2462499999999999	2.3665	1.0535	7.2189999999999985	1.6555	3.195	1.1365	1.108	1.322	7.31725	2.5035	16.648	2.98025	1.044	1.5027499999999998	1.0	2.271	4.3485	1.043	1.1764999999999999	1.05775	1.133	1.5467499999999998	2.8245000000000005	1.46525	1.18075	1.982	47.09674999999999	1.0745	1.01825
AATK	9.604249999999997	12.7525	7.290999999999999	12.994	175.37499999999994	10.182	7.0725	1.436	1.4165	29.888749999999995	22.016	36.66900000000001	6.583	10.61375	5.21975	3.2565	46.13249999999999	10.976	2.03175	1039.7805000000003	43.024	109.4035	21.22824999999999	7.09825	71.67425	62.251249999999985	25.10975	6.941000000000001	20.24975	121.71949999999995
ABAT	11.90525	36.20700000000001	18.65775	25.58224999999999	255.87799999999993	17.121249999999996	22.3205	14.635500000000002	6.828999999999999	17.2655	22.835	18.776	24.389749999999992	16.3545	67.74400000000001	414.39000000000016	15.588	21.4445	3.69825	45.38425	97.98975000000003	237.60600000000008	40.68249999999999	10.527999999999999	29.35849999999999	17.857000000000006	19.599499999999992	59.36524999999997	67.5985	15.27475
C13orf46	2.931	1.1989999999999998	1.857	3.03775	1.3279999999999998	3.2292499999999995	1.6829999999999998	2.42125	1.2425	1.84425	1.985	2.4875	1.23775	1.35	1.2725	1.295	8.002	3.4185000000000003	1.4569999999999999	3.612	16.966500000000003	2.49925	4.9185	1.94175	1.83275	2.0195	19.427000000000003	51.99124999999998	8.526	1.7952499999999996
ABCA1	131.94475	294.7720000000001	48.54375	117.28175	19.3165	106.52749999999997	57.78150000000001	71.5915	2.22	125.54800000000004	76.9975	75.4	33.13975	20.917500000000004	16.6665	109.92299999999996	92.20399999999998	47.19200000000001	36.7205	133.56899999999996	19.72975	19.3705	33.86099999999999	72.53724999999999	70.87175000000002	63.21199999999997	38.16624999999999	27.87599999999999	47.40549999999999	28.8885
ABCA10	47.59925	8.683500000000002	11.2615	20.18724999999999	4.2725	49.991249999999994	56.55800000000001	2.917	6.481000000000002	13.438750000000002	13.193	18.934	10.402	19.023	6.833499999999999	8.634	16.791999999999998	27.678500000000003	15.98275	149.0097499999999	10.0075	13.138249999999996	9.0375	16.995999999999995	14.89825	4.91825	10.26675	24.060250000000003	33.52024999999999	1.324
ABCA12	1.0425	1.032	1.068	1.07675	1.178	1.30125	1.2475	1.36175	2.8235	1.553	1.2385	1.0495	8.74125	1.0415	1.3325	1.0179999999999996	1.089	1.108	1.03225	1.0875	1.04175	3.831	1.2985	130.7215	1.03975	1.043	1.1355	4.9955	1.0745	1.013
ABCA13	1.113	1.1025	1.032	1.34175	1.145	1.2315	1.1975	1.1492499999999999	1.1005	1.11075	1.318	1.0375	5.472	1.0775	1.225	1.7475	4.559000000000001	5.514999999999999	1.031	8.438	1.35575	3.28675	1.0699999999999998	2.23925	1.678	2.18175	1.0425	11.537750000000003	13.59175	6.137500000000001
ABCA2	73.607	66.535	76.41174999999998	76.17675	517.3705000000001	79.26474999999998	52.075500000000005	65.04625	3.867	85.58199999999998	85.56149999999998	79.067	31.504	61.65725	83.25400000000003	65.071	77.99799999999999	67.97749999999999	34.604000000000006	922.6215	50.631249999999994	410.20725	112.98950000000004	66.23500000000001	88.15174999999998	146.01	113.95124999999997	66.56424999999997	208.287	163.89774999999997
ABCA3	29.14775	45.03699999999999	37.54774999999999	23.03	112.234	31.291	17.580499999999997	1.488	9.370499999999998	40.83075000000001	21.450999999999997	41.191	9.6725	17.379500000000007	24.86	3.7845	277.8125	32.013	15.981249999999996	70.41425	39.83800000000001	67.84199999999997	27.607749999999996	21.9915	21.2575	19.7915	19.333499999999997	65.89699999999999	123.94825000000004	5.00775
ABCA6	97.77174999999994	12.659999999999998	25.7195	45.83175	2.7539999999999996	77.2395	59.027	40.26474999999999	21.751999999999995	32.67274999999999	23.308499999999995	50.63549999999999	14.144999999999996	40.8955	8.40825	70.47449999999999	43.2525	38.609	12.671000000000001	138.58075	7.1185	8.674999999999997	13.160750000000004	26.4915	22.101750000000006	8.870249999999999	16.79875	6.494249999999999	42.12525	1.2635
ABCA7	26.097999999999992	20.445999999999994	9.469	19.004999999999995	23.042999999999992	28.41124999999999	12.512499999999996	7.694499999999999	42.73	11.574249999999996	29.687	15.767499999999998	42.1765	10.3805	28.368749999999988	13.082999999999998	74.88950000000001	71.20849999999997	18.07425	12.96725	29.648000000000003	289.48025000000007	38.690500000000014	43.89724999999999	66.54225	200.47950000000003	23.812	16.59725	59.02	309.66025
ABCA8	133.84975000000003	145.05350000000004	47.031749999999995	64.52024999999999	18.0945	99.12849999999997	114.38049999999996	63.35724999999998	1.15	69.73425000000002	53.37799999999999	94.98599999999996	20.854	103.2175	17.535499999999995	50.478	74.11199999999998	66.72649999999999	21.2885	452.90874999999977	8.709749999999998	32.37675	44.54075	25.97075	34.59724999999999	50.20125	44.48850000000001	79.88649999999998	87.90125	1.21475
ABCA9	154.95399999999995	16.627000000000002	30.52575	49.94500000000001	11.715	112.85399999999996	87.09149999999998	26.531749999999995	2.9185	55.56024999999998	32.910500000000006	83.03749999999998	17.131749999999997	58.66775	9.776999999999997	29.08	39.44800000000001	41.053	28.48875	229.21799999999996	9.986249999999998	23.937	15.056250000000002	34.214749999999995	25.39975	7.2425000000000015	18.42075	21.09725	59.78024999999998	1.2165
