Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	Colon	Esophagus	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	Average	Method	Matrix	Sample
2.132	0.08255	9.18901	0.0		0.0	16.57257		24.05878	4.61237	0.0			15.04872	0.0	0.41096	2.30658	0.0	0.03449		0.0213	0.02667	1.80775	0.0	0.0	0.04521	0.08811	0.0	3.3233508695652176	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_626380_5
0.60922	0.02672	1.63607	0.0		0.87362	6.80411	0.0	2.86597	13.11538	0.01876			4.608	0.0	0.03847	1.54931	0.0	0.00842		0.00771	0.0	1.88876	0.90884	0.0	0.0	0.01241	1.09854	1.5029295833333336	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_714328_4
1.53234	0.14664	6.85012	0.0		0.50336	9.19125		15.46042	8.34439	0.0			6.55182	0.0	0.11866	1.49485	0.0	0.03923		0.03672	0.06002	6.23009	0.0	0.0	0.0761	0.11028	0.0	2.4672300000000003	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_806934_5
0.0	0.04465	5.39017	0.0		7.64985	11.28003		22.55578	8.334	0.0			15.09486	0.0	0.22139	4.94676	0.0	0.02236		0.00663	0.008	2.74009	0.0	0.0	0.0	0.06952	0.0	3.407134347826087	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_525902_5
4.08005	0.07499	2.28562	0.0		0.0	6.74217		5.33678	14.85416	0.0	0.0		5.06212	0.0	0.18849	0.88697	0.0	0.02582		0.02545	0.04104	2.17831	1.17012	0.0	0.05368	0.03436	0.57562	1.817322916666667	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_161263_4
0.0	0.0	9.601	0.0	0.0	1.4025	12.52546		20.2884	7.37201	0.0			12.40406	0.0	0.02827	0.71018	0.0	0.0		0.0341	0.08668	6.02317	0.0	0.02293	0.07177	0.12013	0.0	2.945444166666667	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_629038_4
2.34707	0.0348	2.22678	0.0		0.0	7.61811		8.03237	7.43494	0.0			6.97926	0.0	0.32068	1.87456	0.0	0.0099		0.00949	0.01712	3.97213	0.43363	0.0	0.01975	0.03578	0.0	1.7985378260869567	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_252083_5
0.0	0.02829	1.53734	0.0		7.0744	5.57329		15.05487	7.45708	0.0			8.53816	0.0	0.19954	3.02535	0.0	0.00683		0.00549	8.4801	1.62231	0.0	0.0	0.01298	0.03254	0.0	2.5499378260869565	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_856662_5
4.00952	0.04672	3.68629	0.0		0.0	10.7631		8.37501	11.74701	0.0			5.81755	0.0	0.32492	1.20918	0.0	0.01679		0.01517	0.02448	3.63429	0.66421	0.0	0.03233	0.03101	0.0	2.1911991304347826	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_993842_5
0.0	0.04347	3.80518	0.0	0.0	10.99176	6.32209		14.00434	10.31384	0.0			10.97909	0.0	0.16526	1.86055	0.0	0.01873		0.00939	1.95679	3.69076	0.0	0.00109	0.02146	0.04744	0.12463	2.681494583333333	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_975036_4
2.89264	0.0	0.0	0.0		0.0	5.83648		8.37695	3.95258	0.0			5.98246	0.0	0.33825	2.29688	0.0	0.0053		0.00478	0.01207	3.74794	0.21167	0.0	0.00952	0.03015	0.0	1.4651160869565218	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_419373_5
0.29498	0.0	6.93847	0.0		1.50575	17.45159		28.14119	4.69308	0.0		0.0	12.20732	0.0	0.26441	1.55583	0.0	0.02441		0.01719	0.10278	1.41833	0.0	0.0	0.0	0.1013	0.0	3.1131929166666663	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_260947_4
0.53465	0.02712	2.26674	0.0		1.97556	8.15154		6.00427	15.09089	0.0			6.00797	0.0	0.19769	1.67592	0.0	0.01104	0.03693	0.00843	0.01282	1.8612	1.05636	0.01768	0.00259	0.01664	0.94006	1.9123374999999998	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_618024_4
0.0	0.0	2.27608	0.0		7.8773	5.45955		15.85699	4.69655	0.0		0.0	6.08862	0.0	0.10946	1.96718	0.0	0.0068		0.00441	14.32983	0.63536	0.0	0.0	0.01374	0.02997	0.0	2.472993333333333	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_71674_4
1.73631	0.0432	1.99614	0.0	0.0	0.0	5.42344		3.9129	14.68122	0.0			5.05344	0.0	0.09222	1.11307	0.0	0.0		0.01425	0.01968	2.57567	1.12979	0.02598	0.0	0.02402	0.98415	1.6177283333333332	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_293004_4
0.0	0.01356	1.81402	0.0		9.29448	4.16185		13.50475	7.52141	0.0			7.78651	0.0	0.14962	1.77415	0.0	0.0		0.00083	10.13766	2.84524	0.0	0.0	0.00556	0.02159	0.0	2.566575217391305	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_255801_5
4.2951	0.07588	2.96828	0.0		0.0	6.31739		9.82127	11.97919	0.0			6.92234	0.0	0.31712	1.98617	0.0	0.02252		0.02241	0.03801	2.99703	0.14047	0.0	0.04743	0.04951	0.04242	2.0888060869565215	nuSVR	2Median_1000_1500	T00_v2_FFPE-2_372507_5
