pancreatic stellate cell	tissue-resident macrophage	hepatocyte	intrahepatic cholangiocyte	endothelial cell of arteriole/endothelial cell of venule	colon endothelial cell	myeloid dendritic cell	cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	Bergmann glial cell/astrocyte/ependymal cell	mesenchymal stem cell/tendon cell	pancreatic a cell/pancreatic d cell/type b pancreatic cell	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	serous cell of epithelium of trachea	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	duct epithelial cell/ionocyte	OPC/astrocytes/oligodendrocytes	capillary endothelial cell/endothelial cell of artery	neuron	ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	oligodendrocyte precursor cell	acinar cell of salivary gland	neutrophil	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	salivary gland cell	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	progenitor cell of mammary luminal epithelium	pulmonary ionocyte	fast muscle cell/slow muscle cell	duct epithelial cell/ionocyte/mucus secreting cell	bladder urothelial cell	neurons	luminal epithelial cell of mammary gland	enteroendocrine cell of small intestine	erythrocyte/platelet	pancreatic stellate cell/smooth muscle cell	central nervous system macrophage	enterocyte of epithelium proper of duodenum	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	basal cell/medullary thymic epithelial cell	intestinal tuft cell/tuft cell of colon	cd8-positive, alpha-beta thymocyte/thymocyte	type ii pneumocyte	myometrial cell	cd4-positive, alpha-beta thymocyte	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	mesothelial cell	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	plasma cell	club cell/type i pneumocyte	melanocyte/progenitor cell of mammary luminal epithelium	gamma-delta t cell	pancreatic d cell/type b pancreatic cell	epithelial cell of uterus	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	tracheal goblet cell	medullary thymic epithelial cell	melanocyte	basal cell	large intestine goblet cell	mural cell/pericyte	macrophage	sebum secreting cell	pancreatic a cell	pulmonary ionocyte/respiratory goblet cell	pancreatic ductal cell	myoepithelial cell	mucus secreting cell/respiratory goblet cell	basophil/mast cell	neuro-medullary thymic epithelial cell	regular atrial cardiac myocyte/ventricular cardiac muscle cell	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	common myeloid progenitor/erythroid progenitor cell	oligodendrocyte	pancreatic acinar cell	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	kidney epithelial cell	erythroid progenitor cell	serous cell of epithelium of bronchus	choroid plexus epithelial cell	langerhans cell	common myeloid progenitor/hematopoietic stem cell	enteroglial cell	mesothelial cell/schwann cell	innate lymphoid cell	schwann cell	type i pneumocyte	stratified squamous epithelial cell	mature nk t cell/natural killer cell	microglia	myo-medullary thymic epithelial cell	smooth muscle cell	basal cell of prostate epithelium	leukocyte	club cell	ciliated epithelial cell/epithelial cell of uterus	cardiac endothelial cell	luminal cell of prostate epithelium	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	b cell	taste receptor cell	hematopoietic stem cell	Method	Sample
0.0	0.0	0.0	0.29553	0.67373	0.0	2.06105	0.0			0.12462	0.0	24.38073	0.0		0.0	0.39359	0.0		0.0609	1.73279		0.0	24.54957		0.93141	0.08687	2.22697	0.0829	0.00905		0.0	1.28631	1.22756	0.0	0.46715			0.60656	0.0			4.36951	0.0	0.0	0.0		0.39796		0.09301	0.06992			0.43392		0.12885		0.0	0.0	0.22537	0.0		2.49304	0.0	0.0			0.02617	1.03825	0.0	2.1358	0.1472	0.0		0.0			0.01795	0.0	0.06005	1.93187	0.09434		0.19029	0.0	0.0		1.17097	0.9444	0.0	0.0	2.22433	1.52835	0.18619	0.0	4.06922	0.0	0.0		2.39827	0.0	10.55394	0.55397	1.31959		CIBERSORTx	prevail_cu_cfrna_219
0.0	0.0	0.0	0.48727	0.0	0.0	0.00152	0.81704			0.18127	0.00282	11.2204	0.12324		0.01512	1.11008	0.0		0.0	5.59045		0.0	6.32073		1.48957	0.08923	1.59244	0.20848	0.0		0.0	2.06264	1.112	0.0	0.26284			3.19077	0.0			11.56164	0.0	0.0	0.0		1.56481		0.0	0.0			0.0		0.30542		0.0	0.0	0.12287	0.0		2.69912	2.56237	0.0			0.1755	1.98821	0.06446	2.09528	0.19585	0.0		0.0			0.0	0.0	0.27082	1.09346	0.0		1.53656	1.49621	0.0		0.0	1.18595	0.14316	0.0	3.01149	1.02281	0.19566	0.0	2.95527	0.0	0.0		3.86646	0.0	13.0368	8.38376	2.58815		CIBERSORTx	prevail_cu_cfrna_220
0.0	0.0	0.0	0.72637	0.0	0.67358	3.3435	0.60419			0.55137	0.0	14.70932	0.0		0.10275	0.63576	0.0		0.0	5.80554		0.0	8.44532		1.24656	0.09828	3.49457	0.37992	0.00517		0.0	1.27566	0.41982	0.0	0.11155			0.95877	0.0			8.44353	0.0	0.0	0.0		0.67293		0.0	0.0			0.0		1.37169		0.0	0.0	0.35273	0.0		1.59632	0.0	0.0			0.0	0.3555	0.0	2.1302	0.37698	0.0		0.0			0.00999	0.0	0.66507	2.19061	0.08498		0.52694	1.4615	0.0		0.0	1.05343	0.0	0.0	4.95753	1.68782	0.0	0.24998	2.75155	0.04902	0.0		4.67059	0.0	15.16916	4.43102	1.15293		CIBERSORTx	prevail_cu_cfrna_205
0.0	0.0	0.0	0.17631	5.31396	8.01736	0.0	0.0			0.0	0.0	17.43881	0.26935		0.06153	0.0	0.0		0.05457	6.92617		0.0374	17.38198		0.07497	0.0	4.83942	0.0	0.0		0.0	1.35169	0.0	0.0	1.16412			0.00877	0.0			6.83009	0.0	0.0	0.0		0.55188		0.0	0.02422			0.0		0.03777		0.0	0.0	0.0	0.24844		0.135	0.0	0.00755			0.0	0.3079	0.0819	0.0014	0.07478	0.414		0.0			0.0	0.56473	0.00782	0.25116	0.0		0.84466	0.0	0.0		0.0	0.19373	0.0	0.0212	8.45362	3.54652	0.3322	0.5961	1.43658	0.09218	0.0		3.2693	0.0	7.93583	0.62303	0.0		CIBERSORTx	prevail_cu_cfrna_225
0.0	0.0	0.0	1.66476	1.2356	0.0	0.0	0.3224			0.44862	0.0027	14.54325	0.11942		0.03361	1.02861	0.0		0.94222	4.82328		0.0	25.70596		2.18864	0.39381	1.85284	0.25143	0.0		0.0	2.62583	0.8966	0.0	0.17628			0.91757	0.0			4.41943	0.00811	0.0	0.0		0.95375		0.0	0.0			0.0		0.0		0.0	0.0	0.0	0.0		2.27887	0.16102	0.05565			0.44544	1.20001	0.07588	1.52765	0.0	0.0		1.80791			0.0	0.0087	0.24373	0.0	0.0		0.61218	2.42784	0.0		0.0	0.89449	0.0	0.0	4.00357	1.55725	1.45029	0.0	3.65868	0.0	0.0		2.29875	0.0	6.77449	0.0	2.96288		CIBERSORTx	prevail_cu_cfrna_212
0.0	0.0	0.0	0.10083	0.0	0.0	1.13644	0.44868			0.7969	0.06142	22.83689	0.0		0.13372	0.93504	0.0		0.09526	3.5901		0.0	11.63091		0.7757	0.3732	2.24745	0.08716	0.06445		0.0	2.12214	0.67725	0.02766	0.32004			1.31702	0.0			6.07895	0.0	0.0	0.0		0.79263		0.0	0.37966			0.0		0.59608		0.0	0.0	0.17721	0.0		1.59679	0.18624	0.0			0.11283	1.88627	0.0	1.90619	0.68758	0.01616		0.0			0.03671	0.0	0.47351	2.56828	0.13684		1.40851	4.41133	0.0		0.0	0.75171	0.11194	0.0	4.80419	1.9547	0.21931	0.00571	2.92333	0.0	0.0		3.50313	0.0	8.5313	1.71823	2.24645		CIBERSORTx	prevail_cu_cfrna_203
0.0	0.0	0.0	1.07601	2.54511	0.93439	0.0	0.0699			0.0	0.0015	21.15752	0.30839		0.0	0.67577	0.0		0.0	5.59022		0.23578	10.62128		0.24563	0.0	0.0	0.06756	0.0		0.0	2.42572	0.0	0.03788	0.0			0.38873	0.0			11.75809	0.0	0.0	0.0		0.49957		0.00071	0.0			0.0		0.13007		0.0	0.0	0.0	0.80624		2.43188	1.79761	0.23494			0.0	0.0	0.0	1.38137	0.233	0.0		0.0			0.01479	0.0	0.02311	7.71316	0.0		1.99759	0.0	0.0		0.0	1.20999	0.0	0.0	1.55291	1.81084	0.39731	0.0	0.90865	0.0	0.0		4.38518	0.0	9.21366	5.11795	0.0		CIBERSORTx	prevail_cu_cfrna_221
0.0	0.0	0.0	1.07844	0.0	0.04448	0.0	0.0			1.06622	0.0	20.69647	0.0		0.05665	0.13864	0.0		0.0	3.38623		0.0	16.25605		0.40049	0.2051	3.58789	0.42819	0.0		0.0	1.83498	0.32884	0.0	0.0			0.64067	0.0			7.15488	0.0	0.0	0.0		0.80916		0.0	0.16891			0.0		0.88863		0.0	0.0	0.0	0.0		1.56514	0.0	0.02984			0.0	0.40829	0.08105	0.18595	0.22666	0.16964		0.0			0.00603	0.0	1.24659	7.13494	0.03573		0.0	2.53019	0.0		0.0	0.84863	0.08805	0.28618	1.75968	1.27252	0.26027	0.78853	2.2067	0.84712	0.0		4.19797	0.0	10.09383	4.10257	0.457		CIBERSORTx	prevail_cu_cfrna_209
0.0	0.0	0.0	0.0725	0.0	1.63806	0.0	0.0			0.0	0.00395	16.62168	0.0		0.0	0.34679	0.3037		0.06809	0.0		0.00391	39.21282		0.18892	0.20624	1.1946	0.54727	0.0		0.0	0.38797	0.55332	0.0	2.66618			0.08514	0.0			3.55185	0.01507	0.0	0.0		0.0		0.02236	0.0			0.0		0.0		0.0	0.40204	0.06525	0.0		1.68229	0.0	0.0			0.27148	0.45193	0.0	0.09301	0.00119	0.20659		0.0			0.0	1.41114	0.0	5.55034	0.06834		0.767	0.0	0.19126		0.0	0.23481	0.0	0.0	3.73	1.86671	0.2605	0.0	2.33516	0.0	0.0		2.92431	0.0	7.18938	1.85599	0.75085		CIBERSORTx	prevail_cu_cfrna_252
0.0	0.0	0.0	1.07273	0.0	0.0	0.12086	0.0			1.10939	0.00315	23.22245	0.0		0.0	0.47383	0.0		0.05029	4.50896		0.0	14.43152		0.11562	0.16893	3.23559	0.32438	0.04357		0.0	1.03057	0.48508	0.0	0.0			0.44139	0.0			7.2508	0.0	0.0	0.0		0.39617		0.0	0.04974			1.43671		0.46511		0.0	0.0	0.0	0.0		1.98409	0.0	0.01349			0.0	0.62492	0.09781	0.07165	0.0379	0.18421		0.0			0.0	0.0	1.79563	8.05534	0.05736		0.0	3.5645	0.0		0.0	1.0515	0.00682	0.26798	0.0	1.62068	0.21223	0.63643	1.94299	0.0	0.0		3.28136	0.0	9.42306	4.58956	0.04363		CIBERSORTx	prevail_cu_cfrna_320
