	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
X472330_1	0.0	0.0	0.37	0.0	72.97	0.0	0.0	0.0	4.24	0.03	0.0	2.32	0.0	8.72	8.66	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.0	1.08	MuSiC
X147354_2	0.0	0.0	0.05	0.0	55.64	0.0	0.0	0.0	16.23	2.62	0.0	0.0	0.02	6.07	16.99	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.25	0.0	2.05	MuSiC
X261268_2	0.0	0.0	0.06	0.0	45.71	0.0	0.0	0.0	14.84	0.0	0.0	14.44	0.0	0.0	0.28	0.0	6.58	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.52	10.86	0.0	3.96	0.0	2.43	MuSiC
X265479_2	0.0	0.0	0.0	0.0	51.93	0.08	0.07	0.0	20.73	0.7	0.0	0.0	1.35	0.22	19.62	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.02	0.05	0.0	5.01	MuSiC
X209564_1	0.23	0.0	7.65	0.0	55.47	0.0	0.0	0.0	18.14	0.0	0.0	0.02	0.04	0.0	13.68	0.0	0.16	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3	0.0	2.28	MuSiC
X133247_1	0.0	0.0	0.0	0.0	23.23	1.51	2.72	0.0	35.43	0.0	0.0	0.0	0.01	0.0	0.0	0.0	3.74	0.0	0.14	0.01	0.0	0.0	0.12	0.22	0.95	20.92	0.0	4.41	0.02	6.6	MuSiC
X260786_1	0.0	0.0	0.06	0.0	54.06	0.01	0.0	0.0	19.73	0.0	0.0	0.0	0.6	3.25	19.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.03	0.08	0.03	0.0	2.45	MuSiC
X331344_2	0.0	0.0	0.06	0.0	61.44	0.0	0.0	0.0	8.69	0.58	0.0	0.0	0.0	14.37	13.34	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	1.23	MuSiC
X349246_2	0.04	0.0	0.0	0.0	57.58	0.0	0.0	0.0	17.99	0.03	0.0	0.0	1.37	6.68	12.99	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.13	0.0	3.14	MuSiC
X301419_1	0.0	0.0	4.96	0.0	66.81	0.0	0.0	0.0	12.65	0.0	0.0	2.05	0.01	0.11	7.89	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74	0.0	3.64	MuSiC
X267586_2	1.74	0.0	1.06	0.0	39.3	0.0	0.0	0.0	29.01	3.38	0.0	2.15	0.02	0.03	16.23	0.0	0.07	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.74	0.0	6.19	MuSiC
X475571_1	0.0	0.02	0.08	0.0	53.84	0.0	0.0	0.0	19.78	5.66	0.0	0.0	0.03	0.15	14.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	4.61	MuSiC
631489_3	0.0	0.0	0.0	7.79	16.42	2.26	0.0	0.15	25.9	0.0	2.11	0.54	0.0	0.25	29.87	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.28	0.0	4.39	0.05	1.3	0.0	8.64	CIBERSORTx
674547_3	0.0	0.03	0.0	5.06	18.61	3.06	0.0	0.16	17.95	0.0	2.47	1.31	0.0	0.25	32.65	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.07	1.49	0.0	16.65	CIBERSORTx
546738_3	0.0	0.07	0.0	8.37	20.07	2.72	0.0	0.04	22.95	0.0	1.47	0.01	0.08	0.29	30.29	0.0	0.0	0.0	0.09	0.0	0.01	0.0	0.0	0.34	0.0	1.56	0.06	1.51	0.0	10.07	CIBERSORTx
813805_3	0.0	0.1	0.0	5.44	22.21	1.89	0.0	0.06	20.14	0.0	1.92	4.54	0.08	0.3	34.19	0.0	0.0	0.0	0.09	0.0	0.03	0.0	0.0	0.19	0.0	2.32	0.06	1.47	0.0	4.96	CIBERSORTx
361175_1	0.0	0.0	0.0	7.56	17.95	3.39	0.0	0.07	30.42	0.0	2.59	0.46	0.06	0.26	28.69	0.0	0.0	0.0	0.07	0.0	0.04	0.0	0.0	0.12	0.0	2.21	0.05	2.0	0.0	4.06	CIBERSORTx
472330_1	0.0	0.18	0.0	7.58	22.24	3.58	0.0	0.0	20.73	0.0	3.89	1.58	0.07	0.27	32.13	0.0	0.0	0.0	0.08	0.0	0.02	0.0	0.0	0.12	0.0	2.13	0.06	2.95	0.0	2.38	CIBERSORTx
147354_2	0.0	0.0	0.0	9.93	18.64	4.21	0.0	0.02	26.2	0.0	2.24	0.49	0.06	0.26	29.05	0.0	0.0	0.0	0.07	0.0	0.02	0.0	0.0	0.14	0.0	4.71	0.05	2.4	0.0	1.49	CIBERSORTx
261268_2	0.0	0.0	0.0	8.7	19.83	2.6	0.0	0.05	25.83	0.0	1.19	1.28	0.06	0.25	26.28	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.13	0.0	11.37	0.05	1.9	0.0	0.42	CIBERSORTx
265479_2	0.26	0.18	0.0	6.65	15.15	0.96	0.0	0.04	31.26	0.0	1.97	0.0	0.07	0.24	29.66	0.0	0.0	0.0	0.06	0.0	0.03	0.0	0.0	0.46	0.0	2.19	0.05	1.79	0.0	8.98	CIBERSORTx
209564_1	0.0	0.07	0.0	9.59	20.22	3.97	0.0	0.04	25.07	0.0	3.16	0.0	0.06	0.26	30.41	0.0	0.0	0.0	0.07	0.0	0.03	0.0	0.0	0.15	0.0	3.14	0.05	2.52	0.0	1.19	CIBERSORTx
133247_1	0.0	0.0	0.0	6.16	12.65	1.99	0.0	0.08	30.44	0.0	0.0	0.37	0.05	0.11	22.31	0.01	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.16	0.59	18.93	0.05	0.72	0.0	5.32	CIBERSORTx
260786_1	0.0	0.0	0.0	6.83	15.48	1.96	0.0	0.07	31.74	0.0	2.0	0.73	0.06	0.23	28.84	0.06	0.0	0.0	0.07	0.0	0.02	0.0	0.0	0.21	0.0	7.67	0.05	1.68	0.0	2.3	CIBERSORTx
331344_2	0.0	0.11	0.0	6.66	19.5	4.59	0.0	0.04	25.91	0.0	3.02	1.37	0.06	0.27	30.73	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.09	0.0	1.56	0.06	2.79	0.0	3.2	CIBERSORTx
349246_2	0.09	0.17	0.0	5.41	16.21	0.86	0.0	0.08	31.57	0.0	1.7	1.4	0.06	0.25	26.91	0.02	0.0	0.0	0.07	0.0	0.01	0.0	0.0	0.31	0.0	6.33	0.05	1.63	0.0	6.87	CIBERSORTx
301419_1	0.0	0.1	0.0	8.11	23.81	4.71	0.0	0.03	20.34	0.0	2.23	1.32	0.07	0.26	30.95	0.0	0.0	0.0	0.08	0.0	0.01	0.0	0.0	0.1	0.0	4.13	0.05	2.84	0.0	0.84	CIBERSORTx
267586_2	0.0	0.0	0.0	7.53	16.96	2.05	0.0	0.06	29.57	0.0	1.41	0.17	0.06	0.23	28.22	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.17	0.0	7.85	0.05	1.91	0.0	3.7	CIBERSORTx
475571_1	0.0	0.0	0.0	6.9	17.29	3.26	0.0	0.06	26.92	0.0	2.9	0.0	0.03	0.24	29.03	0.0	0.0	0.0	0.07	0.0	0.02	0.0	0.0	0.24	0.0	1.74	0.05	2.11	0.0	9.13	CIBERSORTx
631489_3	0.0	0.41	0.0	0.0	62.82	0.0	0.0	0.0	0.96	0.39	2.82	0.0	0.01	0.9	26.66	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.04	0.0	0.0	0.17	1.14	0.0	3.61	NNLS
674547_3	0.0	0.5	0.0	0.0	55.77	0.0	0.0	0.0	0.0	0.14	2.91	0.0	0.0	1.25	33.81	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.18	1.28	0.0	4.07	NNLS
546738_3	0.0	0.4	0.66	2.15	58.6	0.0	0.0	0.0	1.57	0.0	2.75	0.0	0.13	0.35	26.16	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.16	1.28	0.0	5.73	NNLS
813805_3	0.0	0.6	2.98	5.39	56.38	0.0	0.0	0.0	2.58	0.0	2.35	0.0	0.0	0.0	25.18	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.02	0.15	1.78	0.0	2.51	NNLS
