	Adipose	Adrenal_gland	Arteries	Bladder	Brain	Breast	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole_blood
cfrna_kd_32	0.024710312	0.00080781424	0.008970973	0.012157215	0.013485954	0.004196963	0.01746105	0.0006096359	0.00027098285	0.0054397164	0.11122513	0.0041300175	0.0004272797	1.8523333e-05	0.005961731	0.04657353	0.23227552	0.0069763856	0.063542336	0.005087834	0.0048795664	0.0037122334	0.00017058125	0.0137449065	0.068427324	0.19202182	0.00973476	0.012086166	0.007381512	0.123512164
cfrna_kd_1	0.017366808	0.00065271836	0.0065193153	0.02841764	0.025281163	0.076251395	0.04493325	0.0029652875	1.2140484e-05	0.010223836	0.07469217	0.008824743	0.0006355665	7.573683e-05	0.004854279	0.034517094	0.31360734	0.0077707176	0.014983393	0.006584338	0.0013526689	0.004226071	0.00050197536	0.015722034	0.03005132	0.14930382	0.00578387	0.014492193	0.0013675947	0.098029554
cfrna_kd_101	0.016041543	0.0012660053	0.0018373531	0.018370945	0.011877273	0.057351142	0.029622763	0.01726398	4.3038262e-06	0.010541253	0.1712901	0.0121707255	9.588603e-05	8.59471e-05	0.0023488114	0.025614457	0.34827518	0.006071368	0.0065283477	0.015331421	0.0030541397	0.0045683696	0.0004159062	0.017710967	0.0062057967	0.10058723	0.0044227685	0.018194696	0.0010877176	0.0917636
cfrna_kd_34	0.05406812	0.0005682671	0.006331566	0.0012554872	0.00885605	0.008153771	0.06718385	0.0015930652	0.0005605504	0.009310326	0.015684934	0.0052807424	0.00013091162	8.598997e-05	0.0043294546	0.06627422	0.3182767	0.006548364	0.052900255	0.00929579	0.001290709	0.003915294	0.00021270016	0.0061641606	0.031424373	0.1860539	0.0053615463	0.018240843	0.0009844137	0.10966373
cfrna_kd_8	0.10026575	0.0025232707	0.003095771	0.045184992	0.064147756	0.0003293912	0.05102443	0.006782525	0.0012291137	0.004166258	0.00027682446	0.0039244504	0.00022973696	0.00015037142	0.0023005663	0.11413186	0.19868904	0.007344987	0.028616752	0.014700962	0.0011305128	0.00048704428	0.0008784321	0.0051126587	0.0057612523	0.12993786	0.0042535355	0.0035854818	0.0020248806	0.19771352
cfrna_kd_6	0.11466028	0.0017817945	0.00906611	0.04370236	0.06352663	0.0033338421	0.054494236	0.0108549185	0.00023966857	0.009384827	0.0006604496	0.008860539	0.00020113445	0.00030354614	0.0018185849	0.103712566	0.24447209	0.007664488	0.01228712	0.016612729	0.0010059783	0.0006426259	0.001964988	0.0040204055	0.0019550568	0.10353841	0.003382508	0.0041480726	0.0005899491	0.17111415
cfrna_kd_25	0.028075987	0.00043140035	0.0048259217	0.009580508	0.011703006	0.051238455	0.037845306	0.00079755316	0.00013019441	0.0082610855	0.03365061	0.0065285224	5.3761676e-05	3.663166e-05	0.0029636454	0.04705433	0.34378675	0.004827855	0.035012778	0.010800295	0.0012140676	0.008625847	0.0003981446	0.009814877	0.05400675	0.18626164	0.0026278899	0.029357892	0.0030053316	0.06708296
cfrna_kd_30	0.012615632	0.00046711916	0.003907096	0.008850631	0.009686041	0.10821735	0.029971017	0.000746497	1.4838108e-05	0.0055599916	0.14300588	0.00727371	0.00019240736	8.660709e-05	0.0048335656	0.03371295	0.30656475	0.0052312794	0.023311969	0.009801172	0.0012294692	0.0037971342	0.00042023626	0.015516414	0.031004114	0.13928072	0.0033363942	0.016795823	0.001083601	0.07348556
cfrna_kd_17	0.018622408	0.0011966797	0.00471791	0.006193044	0.019104015	0.00014035097	0.0185106	0.00054350577	0.00995685	0.0054967212	0.0032980687	0.0023989053	0.0005331073	4.4735523e-05	0.0063489536	0.08679069	0.24480107	0.0065221973	0.07009598	0.0049763005	0.003089188	0.003346701	0.00015992526	0.009384996	0.08580422	0.22049196	0.008139397	0.015016774	0.0120437285	0.13223097
cfrna_kd_14	0.04959634	0.0011969252	0.0076996344	0.0039486345	0.02211935	0.027517721	0.06344913	0.023601856	0.00010946599	0.015512048	0.009150726	0.011837423	6.59375e-05	9.940905e-05	0.0016011372	0.084668554	0.28811514	0.008519888	0.043242823	0.014948586	0.0026948054	0.0044564777	0.0010688753	0.008063886	0.004205224	0.11876457	0.0038049538	0.039670445	0.0012952613	0.13897479
