	Adipose	Adrenal_gland	Arteries	Bladder	Brain	Breast	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole_blood
T00_v2_FFPE-2_398887_5	0.0058047823	0.0072995774	0.0256314	0.14235188	0.22730467	0.0029455808	0.028577944	0.0008371035	0.0102615515	0.001871434	0.04575288	0.011167453	2.3727941e-06	5.374096e-06	0.03174152	0.022178948	0.004049515	0.0012111196	0.040675633	0.017679218	0.12383851	0.034285612	0.0061277663	0.059302684	0.027522732	0.038720455	0.0005341973	0.01791611	0.058243692	0.006158205
T00_v2_FFPE-2_884794_5	0.00092433026	0.012544434	0.016405806	0.11364988	0.028318346	0.036822654	0.009818111	0.0011752847	0.0040733707	0.0016026662	0.115144625	0.014817462	1.19918e-07	0.046327367	0.03647639	0.067571834	0.009927974	0.00022172272	0.02725388	0.013230045	0.093599856	0.06430404	0.007273389	0.05851068	0.03968022	0.0050368914	0.00065597956	0.032570075	0.13903108	0.0030315355
T00_v2_FFPE-2_281746_5	0.0037974552	0.007858707	0.022401938	0.13996348	0.25959003	0.0029848584	0.03760824	0.0012331671	0.010185367	0.0011885593	0.042397924	0.01023846	3.874549e-06	6.311708e-06	0.0075040255	0.018820442	0.0037405374	0.0013163069	0.04017811	0.017606227	0.129631	0.03637264	0.008459595	0.06343954	0.01938955	0.0321883	0.0006320834	0.017643932	0.05885539	0.004763988
T00_v2_FFPE-2_688277_4	0.011626142	0.0048449263	0.024181439	0.114025325	0.16686375	0.0016599032	0.01733073	0.00065566506	0.004899653	0.008719085	0.1007526	0.012339574	3.545298e-06	2.404331e-06	0.121086605	0.031836018	0.0059915227	0.001797237	0.06453256	0.013213205	0.08154701	0.01792188	0.002950517	0.033604775	0.041035272	0.03435541	0.00068574527	0.017329194	0.052643657	0.011564653
T00_v2_FFPE-2_278746_4	0.029891575	0.008111126	0.024334947	0.055705182	0.053490512	0.004120549	0.0025373113	0.00022031102	0.0015501592	0.023957554	0.14605446	0.0106860455	7.7477205e-07	0.0001415995	0.25508377	0.07114806	0.020454992	0.0012579338	0.04273824	0.0067216125	0.03461485	0.005609558	0.0020091494	0.025176205	0.06638856	0.014049877	0.0010176348	0.0223781	0.06191359	0.008635771
T00_v2_FFPE-2_942435_5	0.0009091174	0.010298121	0.013365671	0.12715201	0.020556679	0.036066797	0.0065160454	0.0010735875	0.0020768428	0.0022818956	0.13498425	0.010911141	1.2678913e-07	0.019297587	0.067449234	0.08435867	0.012865223	0.00021049503	0.033396054	0.013231542	0.066453345	0.09409112	0.0041694716	0.04602039	0.04272289	0.004548161	0.0005350111	0.026268642	0.11326209	0.004927832
T00_v2_FFPE-2_96325_5	0.0024921508	0.007480118	0.020361837	0.15638919	0.2265449	0.0044982666	0.038462065	0.001404497	0.0076649	0.0011660331	0.048314743	0.010294885	4.5265137e-06	5.0294475e-06	0.004449479	0.018760512	0.003099991	0.001303572	0.041251384	0.014449308	0.119813986	0.076837756	0.008785089	0.058847006	0.019624803	0.028700678	0.00059554545	0.017420838	0.057132676	0.0038442174
T00_v2_FFPE-2_626380_5	0.001080919	0.01122374	0.020580808	0.12789954	0.15815268	0.028782053	0.026076991	0.0017667284	0.0020339398	0.0010657473	0.08295861	0.012390349	2.1963122e-07	0.005411661	0.0025834735	0.060095906	0.0070502292	0.00043014277	0.024642436	0.016399799	0.100387104	0.073490895	0.006496219	0.060965206	0.017342217	0.01034683	0.00040238013	0.028440597	0.10941617	0.0020864392
T00_v2_FFPE-2_714328_4	0.020011343	0.009317014	0.024754226	0.06311002	0.034375004	0.007741939	0.003556851	0.00015466988	0.0015852144	0.007230683	0.14370057	0.009013478	7.436104e-07	0.0005668261	0.29987904	0.08802703	0.0177087	0.0008799279	0.03250915	0.0067988266	0.030549949	0.0152868405	0.0011672742	0.014154233	0.06743405	0.014927621	0.0011475586	0.019824816	0.055833165	0.008753267
T00_v2_FFPE-2_806934_5	0.00059069577	0.00820254	0.017936228	0.2111585	0.05537008	0.014344746	0.01356208	0.0026506686	0.00093884015	0.0023216782	0.06344978	0.01454291	2.8518753e-06	1.5356487e-05	0.0037945618	0.03230371	0.001999709	0.00083332567	0.03808924	0.013031733	0.06942093	0.24586803	0.008141388	0.057327572	0.027530741	0.007831467	0.00033798744	0.02054156	0.06549547	0.0023655733
T00_v2_FFPE-2_525902_5	0.00091166794	0.013201739	0.015368734	0.11122751	0.06751967	0.04505291	0.013948354	0.0021891072	0.0024448487	0.0021091194	0.10653479	0.013796793	1.09281686e-07	0.03358068	0.007862506	0.06836518	0.008512814	0.00029017334	0.025490643	0.014635596	0.08403264	0.07596248	0.008585367	0.06291721	0.030774029	0.0049624518	0.0005477418	0.033645615	0.14336959	0.0021599182
T00_v2_FFPE-2_161263_4	0.00907363	0.004398826	0.023577558	0.120748274	0.13244136	0.0023672553	0.014742591	0.00071010314	0.0042829677	0.009051703	0.10911998	0.012396674	3.982128e-06	1.5386536e-06	0.1291268	0.032797743	0.0056929504	0.0018217644	0.065824606	0.012393652	0.07491112	0.044570323	0.0026797573	0.030486338	0.04520162	0.030642042	0.0006655113	0.016792014	0.051912963	0.011564272
T00_v2_FFPE-2_629038_4	0.00033323342	0.011174866	0.011216596	0.12690789	0.009615779	0.043526527	0.0066986657	0.003285031	0.0021275575	0.0028697646	0.12334972	0.012331777	2.5664633e-07	0.028767498	0.006309431	0.072540954	0.0057866643	0.00025078128	0.026368039	0.016804263	0.057244428	0.16601148	0.009345863	0.061708506	0.027033541	0.002469526	0.0005530848	0.026798291	0.13533735	0.0032326507
T00_v2_FFPE-2_252083_5	0.004009789	0.008071744	0.022747945	0.14337097	0.24841233	0.0030881306	0.036132056	0.0011261512	0.010697799	0.0010606458	0.040418807	0.010527335	3.797621e-06	5.543187e-06	0.010994321	0.018595865	0.0034072432	0.0013056279	0.039364126	0.018210642	0.13027695	0.040851187	0.007994273	0.062170547	0.021859452	0.03354846	0.0006107624	0.017614327	0.05844543	0.005077668
T00_v2_FFPE-2_856662_5	0.0026709954	0.004834888	0.015029872	0.13474788	0.07420973	0.008366061	0.0086214775	0.0040992266	0.0013978075	0.07127665	0.1015275	0.01708669	6.872288e-07	7.335608e-06	0.0022429086	0.05168348	0.016006293	0.0017802637	0.07788288	0.008152607	0.05143168	0.12733074	0.009090402	0.07466781	0.029672729	0.007171426	0.00030531344	0.029222364	0.06721553	0.002266772
T00_v2_FFPE-2_993842_5	0.004882965	0.006767323	0.023177866	0.14416988	0.21275455	0.004498581	0.021120934	0.00070120505	0.005863684	0.0023421042	0.06504085	0.0107118	1.0519318e-06	1.8540593e-05	0.03873086	0.029925916	0.005551405	0.0009449582	0.040887434	0.017132878	0.115744844	0.033948995	0.0046816804	0.06025499	0.026865639	0.032163206	0.00041859326	0.019042281	0.066078946	0.0055760844
T00_v2_FFPE-2_975036_4	0.0014961039	0.010228956	0.012514852	0.0889347	0.005738917	0.045954823	0.0047750184	0.0024456242	0.0030975996	0.026453288	0.14951769	0.01754516	7.482192e-08	0.018365987	0.021714108	0.09351193	0.015792746	0.00025511452	0.042309634	0.009626611	0.043162264	0.10172416	0.00894505	0.06934188	0.03889337	0.0023579581	0.0004984685	0.03481236	0.12624842	0.0037371812
T00_v2_FFPE-2_419373_5	0.0038403766	0.0081313625	0.023296144	0.13493451	0.2868174	0.0029385225	0.044869035	0.0013997972	0.009557976	0.0008850712	0.03988194	0.009225474	5.78936e-06	6.949916e-06	0.0041664517	0.017342191	0.00343603	0.001347121	0.040732145	0.018810473	0.1287436	0.026543941	0.008787378	0.05921047	0.015700832	0.030864775	0.0007572585	0.016757818	0.056081794	0.0049273376
T00_v2_FFPE-2_260947_4	0.0010516468	0.009104844	0.018706657	0.1416959	0.1349328	0.024693722	0.019022882	0.0032511163	0.0009908581	0.0058424235	0.08619272	0.0126546	4.831774e-07	0.0005024109	0.0004920407	0.051701166	0.0058817584	0.0006793556	0.032898888	0.012530348	0.070486054	0.13700862	0.009327725	0.06367664	0.018102573	0.009111692	0.00031998346	0.029898431	0.09758676	0.0016548481
T00_v2_FFPE-2_618024_4	0.008317599	0.0072090942	0.019485962	0.10206894	0.10507574	0.008096985	0.0058705136	0.000368463	0.0010746662	0.008059182	0.15390272	0.009362255	2.9052396e-07	0.00065298576	0.147119	0.07910208	0.018297972	0.0006612591	0.048751183	0.010527178	0.055169687	0.009366447	0.0020355186	0.037536092	0.03900698	0.014761453	0.00047569108	0.024518292	0.0762843	0.006841504
T00_v2_FFPE-2_71674_4	0.003238241	0.005341875	0.009511814	0.08982074	0.019512758	0.012422799	0.0056021987	0.005964697	0.0013999037	0.14212623	0.10437606	0.016821994	3.0531902e-07	4.5088727e-05	0.0006009206	0.07691265	0.028976567	0.002754876	0.09310792	0.005527119	0.027763093	0.12341405	0.009920621	0.07522515	0.02107658	0.0021922018	0.0003742803	0.042735066	0.07117054	0.0020636641
T00_v2_FFPE-2_293004_4	0.012861087	0.007429873	0.020714808	0.09431285	0.006178617	0.008315449	0.00274938	0.00043800002	0.0020430097	0.01452379	0.12752494	0.010702744	1.7326994e-06	2.6496979e-05	0.27245793	0.07563409	0.012724035	0.0012083722	0.03745242	0.0055128657	0.026493104	0.085235775	0.0015130835	0.013136536	0.07412899	0.008483292	0.0010200606	0.014631265	0.051680077	0.010865349
T00_v2_FFPE-2_255801_5	0.0032665585	0.005452037	0.009672463	0.0920901	0.016395848	0.017712377	0.0035917666	0.003399968	0.0013681554	0.11158367	0.12979242	0.016598409	1.3508364e-07	0.00017769031	0.004857329	0.10391729	0.02540626	0.0012971619	0.08041134	0.0048262672	0.035025183	0.107000016	0.00801541	0.07068039	0.031244831	0.0021060617	0.00028258908	0.036389384	0.07505579	0.0023831476
T00_v2_FFPE-2_372507_5	0.002745501	0.006178118	0.021962782	0.16552342	0.14632055	0.005192216	0.016188867	0.0008349912	0.003939184	0.0034242568	0.069658324	0.01399351	2.0900575e-06	4.3732284e-06	0.030669242	0.027217573	0.004260149	0.0010523155	0.050331514	0.016081348	0.109933704	0.09420169	0.005026803	0.057006143	0.032216653	0.02823397	0.00037244882	0.017755874	0.06440838	0.0052640177
