	Adipose	Adrenal_gland	Arteries	Bladder	Brain	Breast	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole_blood
cfrna_kd_312.trimmed	0.040694363	0.0011340429	0.0059371917	0.011474433	0.023852808	0.080718175	0.064996324	0.0022960731	2.3977493e-05	0.0066509964	0.02991323	0.006044128	0.0011917041	0.00010763156	0.0046380875	0.042368565	0.29506552	0.009694952	0.01338778	0.006387533	0.0009952076	0.002722588	0.00033143183	0.018669909	0.05479543	0.15833822	0.0044347206	0.012507642	0.00080533593	0.09982199
cfrna_kd_256.trimmed	0.03232812	0.0018591061	0.017330501	0.00059800065	0.028494574	0.0009980322	0.051874474	0.029847741	0.0005842001	0.078396305	0.025780456	0.014541578	0.0002350108	0.00011851744	0.0023108933	0.027545622	0.23633471	0.007143535	0.04712726	0.0074719223	0.017521247	0.00277746	0.0011861209	0.004779594	0.0017345771	0.061366554	0.00650577	0.04351722	0.0011045287	0.2485863
cfrna_kd_314.trimmed	0.049876656	0.0011332263	0.011687185	0.011214016	0.020979807	0.028694194	0.05916273	0.008248263	0.00011741568	0.016919358	0.061854366	0.018097702	0.00019367233	9.3165196e-05	0.00217677	0.029821908	0.26276913	0.012561066	0.038171403	0.0058744857	0.0032375234	0.0021851815	0.00094946835	0.013268599	0.012712648	0.09250075	0.0062517817	0.0246314	0.0013507368	0.20326541
cfrna_kd_292.trimmed	0.011180983	0.004582841	0.009992839	0.0004123094	0.023153983	2.8259667e-06	0.004308179	0.0035813674	0.085938215	0.038230374	0.014807195	0.01983605	0.00073209533	0.0010499946	0.0071532903	0.0888521	0.17318189	0.0065355655	0.051868055	0.006477982	0.015100148	0.001436535	0.0002144195	0.0100230025	0.03696395	0.037058037	0.00964017	0.039726168	0.004990055	0.29296944
cfrna_kd_313.trimmed	0.054188974	0.0010333323	0.015453735	0.00172153	0.014582836	0.0017195118	0.07095828	0.0028866052	0.0003907143	0.060049415	0.044640433	0.013866587	0.00042119244	7.417478e-05	0.004738998	0.031093726	0.24021116	0.009153058	0.051577467	0.0061531654	0.00418325	0.0015256589	0.00047898464	0.0034989018	0.0056687375	0.14487256	0.0075468314	0.008740117	0.00028361488	0.19828643
cfrna_kd_250.trimmed	0.011779045	0.010927904	0.012302164	0.0005276097	0.017405668	1.1945217e-05	0.026103541	0.019947452	0.013184832	0.11875383	0.014765664	0.014289341	0.027267843	0.00024273829	0.02276939	0.0154497055	0.3735529	0.0056490744	0.014989977	0.0029738692	0.020345042	0.0038065324	0.00018301384	0.004956404	0.0025755994	0.0148327	0.022577744	0.016000684	0.002993206	0.18883453
cfrna_kd_251.trimmed	0.05078087	0.0024790205	0.006039259	0.0025225673	0.02300873	3.4957506e-05	0.045263406	0.0034631907	0.011328205	0.020065093	0.0020538163	0.004741016	0.00034097573	0.00012152629	0.0054467344	0.10276433	0.23881578	0.009463911	0.04334345	0.008100992	0.002205715	0.00085874007	0.00036401572	0.0052220044	0.008983833	0.13541754	0.009050121	0.0070427465	0.0012361371	0.2494413
cfrna_kd_293.trimmed	0.0065790033	0.00035937244	0.010758503	0.04765775	0.02255307	0.0858093	0.02240929	0.0012801948	4.6171957e-05	0.006927102	0.09784968	0.018454172	0.00037855134	4.8239803e-05	0.0034593372	0.014066986	0.2648602	0.011129656	0.012196174	0.008901708	0.0011405383	0.0052827746	0.0008769936	0.01984419	0.082351476	0.13895705	0.0068031396	0.022197062	0.002576363	0.08424594
cfrna_kd_285.trimmed	0.00027260339	0.0003907165	0.00093400275	0.0012732911	0.007854547	0.102659024	0.022793809	0.001053607	3.5872392e-05	0.0040693274	0.20142591	0.024282131	0.0005284668	0.00010987111	0.0035494235	0.0012620238	0.40803328	0.011867653	0.012191404	0.0050925207	0.0065346337	0.017839413	0.00040232128	0.011816024	0.047490105	0.009302122	0.005040884	0.07221358	0.006344635	0.01333678
prevail_cu_cfrna_422.trimmed	0.04188965	0.001454835	0.015794463	0.029933363	0.040492404	0.015464493	0.034180637	0.0042619845	0.00021007113	0.023017747	0.014770076	0.0076331906	5.7929275e-05	1.4219051e-05	0.0064811213	0.05386524	0.22281733	0.0111555755	0.04696289	0.02078565	0.005017295	0.008049855	0.002322104	0.010193992	0.018281633	0.13979492	0.0031734998	0.08973435	0.005353297	0.12683617
prevail_cu_cfrna_413.trimmed	0.020118413	0.00069194316	0.0075051477	0.021102246	0.030815978	0.15187067	0.040041063	0.0016315687	9.2573855e-06	0.006794862	0.050727513	0.008612434	0.00065548206	0.00010269783	0.00440495	0.035691682	0.2699726	0.007847577	0.011311481	0.00784716	0.0009545293	0.0024635633	0.00069266546	0.01892337	0.03516571	0.14614701	0.0033150334	0.021324554	0.0011753726	0.09208347
prevail_cu_cfrna_417.trimmed	0.07220571	0.0016692126	0.0056080758	0.0033652503	0.036467563	0.053617835	0.09006664	0.006765352	6.528712e-05	0.005552477	0.002405761	0.004989721	0.0011315648	0.00014439509	0.0034253073	0.074223205	0.2058471	0.011261175	0.030852055	0.008352069	0.0014993156	0.0031446868	0.0006772727	0.013785269	0.017660096	0.14592202	0.00645858	0.011148355	0.0004945329	0.18119413
prevail_cu_cfrna_418.trimmed	0.081950694	0.0019810721	0.011226686	0.10072333	0.08744627	0.0044769924	0.036249224	0.015126394	0.0019381227	0.008568479	0.00012901713	0.015242165	0.00012816043	0.00011050302	0.001584631	0.09374506	0.16069064	0.011786386	0.012524559	0.019763814	0.0015959601	0.004743574	0.005888444	0.0043051327	0.0015009639	0.061730493	0.003158031	0.005668425	0.001665406	0.24435137
prevail_cu_cfrna_415.trimmed	0.04789868	0.0008538809	0.011457545	0.00058604917	0.008305039	0.07488609	0.050289646	0.061853	0.00028684933	0.018657569	0.025991308	0.022439074	0.00032061007	0.00033711182	0.0015638586	0.024275983	0.2614168	0.015670042	0.058328237	0.010273573	0.00702018	0.004154598	0.0009504818	0.016494352	0.0029736953	0.09559763	0.004442049	0.06794918	0.0050184135	0.09970849
prevail_cu_cfrna_410.trimmed	0.037325595	0.0011960259	0.01437535	0.019965598	0.03556418	0.038409203	0.05382176	0.0045873676	0.00016170803	0.016622307	0.010653335	0.00962064	0.00011699025	4.3714517e-05	0.0040296353	0.05993177	0.26412973	0.009544149	0.043823034	0.013753435	0.002081803	0.0088236565	0.0013956121	0.008882796	0.023716073	0.14027275	0.0044037304	0.05183675	0.002540663	0.11837064
prevail_cu_cfrna_412.trimmed	0.05098966	0.0022457081	0.0046510235	0.10891091	0.0903527	0.08993939	0.022092814	0.0053972653	0.00043401445	0.0018715761	4.2063977e-05	0.008485383	0.0058981334	0.0005856137	0.005970438	0.05014873	0.18762296	0.010154449	0.0013768704	0.009284453	0.0008204014	0.0024960581	0.0029282349	0.01286963	0.036294624	0.10880919	0.0051346663	0.0074570286	0.0011416594	0.16559434
