Tissue_ID	Tissue_type
Adipose_1	Adipose
Adipose_2	Adipose
Adipose_3	Adipose
Adipose_4	Adipose
Adipose_5	Adipose
Adrenal_gland_1	Adrenal_gland
Adrenal_gland_2	Adrenal_gland
Adrenal_gland_3	Adrenal_gland
Adrenal_gland_4	Adrenal_gland
Adrenal_gland_5	Adrenal_gland
Arteries_1	Arteries
Arteries_2	Arteries
Arteries_3	Arteries
Arteries_4	Arteries
Arteries_5	Arteries
Bladder_1	Bladder
Bladder_2	Bladder
Bladder_3	Bladder
Bladder_4	Bladder
Bladder_5	Bladder
Brain_1	Brain
Brain_2	Brain
Brain_3	Brain
Brain_4	Brain
Brain_5	Brain
Breast_1	Breast
Breast_2	Breast
Breast_3	Breast
Breast_4	Breast
Breast_5	Breast
FemaleReproductive_1	FemaleReproductive
FemaleReproductive_2	FemaleReproductive
FemaleReproductive_3	FemaleReproductive
FemaleReproductive_4	FemaleReproductive
FemaleReproductive_5	FemaleReproductive
Fibroblasts_1	Fibroblasts
Fibroblasts_2	Fibroblasts
Fibroblasts_3	Fibroblasts
Fibroblasts_4	Fibroblasts
Fibroblasts_5	Fibroblasts
Lymphocytes_1	Lymphocytes
Lymphocytes_2	Lymphocytes
Lymphocytes_3	Lymphocytes
Lymphocytes_4	Lymphocytes
Lymphocytes_5	Lymphocytes
ColonSigmoid_1	ColonSigmoid
ColonSigmoid_2	ColonSigmoid
ColonSigmoid_3	ColonSigmoid
ColonSigmoid_4	ColonSigmoid
ColonSigmoid_5	ColonSigmoid
ColonTransverse_1	ColonTransverse
ColonTransverse_2	ColonTransverse
ColonTransverse_3	ColonTransverse
ColonTransverse_4	ColonTransverse
ColonTransverse_5	ColonTransverse
Esophagus_1	Esophagus
Esophagus_2	Esophagus
Esophagus_3	Esophagus
Esophagus_4	Esophagus
Esophagus_5	Esophagus
EsophagusMucosa_1	EsophagusMucosa
EsophagusMucosa_2	EsophagusMucosa
EsophagusMucosa_3	EsophagusMucosa
EsophagusMucosa_4	EsophagusMucosa
EsophagusMucosa_5	EsophagusMucosa
Heart_1	Heart
Heart_2	Heart
Heart_3	Heart
Heart_4	Heart
Heart_5	Heart
Kidney_1	Kidney
Kidney_2	Kidney
Kidney_3	Kidney
Kidney_4	Kidney
Kidney_5	Kidney
Liver_1	Liver
Liver_2	Liver
Liver_3	Liver
Liver_4	Liver
Liver_5	Liver
Lung_1	Lung
Lung_2	Lung
Lung_3	Lung
Lung_4	Lung
Lung_5	Lung
SalivaryGland_1	SalivaryGland
SalivaryGland_2	SalivaryGland
SalivaryGland_3	SalivaryGland
SalivaryGland_4	SalivaryGland
SalivaryGland_5	SalivaryGland
MuscleSkeletal_1	MuscleSkeletal
MuscleSkeletal_2	MuscleSkeletal
MuscleSkeletal_3	MuscleSkeletal
MuscleSkeletal_4	MuscleSkeletal
MuscleSkeletal_5	MuscleSkeletal
NerveTibial_1	NerveTibial
NerveTibial_2	NerveTibial
NerveTibial_3	NerveTibial
NerveTibial_4	NerveTibial
NerveTibial_5	NerveTibial
Pancreas_1	Pancreas
Pancreas_2	Pancreas
Pancreas_3	Pancreas
Pancreas_4	Pancreas
Pancreas_5	Pancreas
Pituitary_1	Pituitary
Pituitary_2	Pituitary
Pituitary_3	Pituitary
Pituitary_4	Pituitary
Pituitary_5	Pituitary
Prostate_1	Prostate
Prostate_2	Prostate
Prostate_3	Prostate
Prostate_4	Prostate
Prostate_5	Prostate
Skin_1	Skin
Skin_2	Skin
Skin_3	Skin
Skin_4	Skin
Skin_5	Skin
SmallIntestine_1	SmallIntestine
SmallIntestine_2	SmallIntestine
SmallIntestine_3	SmallIntestine
SmallIntestine_4	SmallIntestine
SmallIntestine_5	SmallIntestine
Spleen_1	Spleen
Spleen_2	Spleen
Spleen_3	Spleen
Spleen_4	Spleen
Spleen_5	Spleen
Stomach_1	Stomach
Stomach_2	Stomach
Stomach_3	Stomach
Stomach_4	Stomach
Stomach_5	Stomach
Testis_1	Testis
Testis_2	Testis
Testis_3	Testis
Testis_4	Testis
Testis_5	Testis
Thyroid_1	Thyroid
Thyroid_2	Thyroid
Thyroid_3	Thyroid
Thyroid_4	Thyroid
Thyroid_5	Thyroid
Whole_blood_1	Whole_blood
Whole_blood_2	Whole_blood
Whole_blood_3	Whole_blood
Whole_blood_4	Whole_blood
Whole_blood_5	Whole_blood
