Tissue_ID	Tissue_type
Pituitary_1	Pituitary
Pituitary_2	Pituitary
Pituitary_3	Pituitary
Pituitary_4	Pituitary
Pituitary_5	Pituitary
Pituitary_6	Pituitary
Pituitary_7	Pituitary
Pituitary_8	Pituitary
Pituitary_9	Pituitary
Pituitary_10	Pituitary
Prostate_1	Prostate
Prostate_2	Prostate
Prostate_3	Prostate
Prostate_4	Prostate
Prostate_5	Prostate
Prostate_6	Prostate
Prostate_7	Prostate
Prostate_8	Prostate
Prostate_9	Prostate
Prostate_10	Prostate
Skin_1	Skin
Skin_2	Skin
Skin_3	Skin
Skin_4	Skin
Skin_5	Skin
Skin_6	Skin
Skin_7	Skin
Skin_8	Skin
Skin_9	Skin
Skin_10	Skin
SmallIntestine_1	SmallIntestine
SmallIntestine_2	SmallIntestine
SmallIntestine_3	SmallIntestine
SmallIntestine_4	SmallIntestine
SmallIntestine_5	SmallIntestine
SmallIntestine_6	SmallIntestine
SmallIntestine_7	SmallIntestine
SmallIntestine_8	SmallIntestine
SmallIntestine_9	SmallIntestine
SmallIntestine_10	SmallIntestine
Spleen_1	Spleen
Spleen_2	Spleen
Spleen_3	Spleen
Spleen_4	Spleen
Spleen_5	Spleen
Spleen_6	Spleen
Spleen_7	Spleen
Spleen_8	Spleen
Spleen_9	Spleen
Spleen_10	Spleen
Stomach_1	Stomach
Stomach_2	Stomach
Stomach_3	Stomach
Stomach_4	Stomach
Stomach_5	Stomach
Stomach_6	Stomach
Stomach_7	Stomach
Stomach_8	Stomach
Stomach_9	Stomach
Stomach_10	Stomach
Testis_1	Testis
Testis_2	Testis
Testis_3	Testis
Testis_4	Testis
Testis_5	Testis
Testis_6	Testis
Testis_7	Testis
Testis_8	Testis
Testis_9	Testis
Testis_10	Testis
Thyroid_1	Thyroid
Thyroid_2	Thyroid
Thyroid_3	Thyroid
Thyroid_4	Thyroid
Thyroid_5	Thyroid
Thyroid_6	Thyroid
Thyroid_7	Thyroid
Thyroid_8	Thyroid
Thyroid_9	Thyroid
Thyroid_10	Thyroid
Whole_blood_1	Whole_blood
Whole_blood_2	Whole_blood
Whole_blood_3	Whole_blood
Whole_blood_4	Whole_blood
Whole_blood_5	Whole_blood
Whole_blood_6	Whole_blood
Whole_blood_7	Whole_blood
Whole_blood_8	Whole_blood
Whole_blood_9	Whole_blood
Whole_blood_10	Whole_blood
