Sample	Method	RemovedGenes	Average_AE	Total_AE
TSP21_random_rep5_seed7_20_400.h5ad	ReDeconv	0	1.2974124637681157	89.52145999999998
TSP27_random_rep1_seed12_50_1000.h5ad	ReDeconv	0	1.4359286956521737	99.07907999999999
TSP27_random_rep2_seed12_50_1000.h5ad	ReDeconv	0	1.1465528985507245	79.11214999999999
TSP27_random_rep3_seed12_50_1000.h5ad	ReDeconv	0	1.0164304347826083	70.13369999999998
TSP27_random_rep4_seed12_50_1000.h5ad	ReDeconv	0	0.9063642028985507	62.53913
TSP27_random_rep5_seed12_50_1000.h5ad	ReDeconv	0	0.8943879710144929	61.712770000000006
TSP27_random_rep1_seed7_50_1000.h5ad	ReDeconv	0	0.8469030434782606	58.436309999999985
TSP27_random_rep2_seed7_50_1000.h5ad	ReDeconv	0	1.0131730434782606	69.90893999999999
TSP27_random_rep3_seed7_50_1000.h5ad	ReDeconv	0	0.9155450724637679	63.172609999999985
TSP27_random_rep4_seed7_50_1000.h5ad	ReDeconv	0	0.6415517391304347	44.26707
TSP27_random_rep5_seed7_50_1000.h5ad	ReDeconv	0	1.2637555072463769	87.19913
TSP21_random_rep1_seed3_20_400.h5ad	ReDeconv	0	1.061670724637681	73.25528
TSP21_random_rep2_seed3_20_400.h5ad	ReDeconv	0	0.9114155072463767	62.88766999999999
TSP21_random_rep3_seed3_20_400.h5ad	ReDeconv	0	0.9643176811594207	66.53792000000003
TSP21_random_rep4_seed3_20_400.h5ad	ReDeconv	0	1.2037930434782604	83.06171999999997
TSP21_random_rep5_seed3_20_400.h5ad	ReDeconv	0	0.9373947826086956	64.68024
TSP21_random_rep1_seed8_10_200.h5ad	ReDeconv	0	0.8709671014492754	60.09673
TSP21_random_rep2_seed8_10_200.h5ad	ReDeconv	0	1.2099133333333332	83.48401999999999
TSP21_random_rep3_seed8_10_200.h5ad	ReDeconv	0	0.9932604347826085	68.53496999999999
TSP21_random_rep4_seed8_10_200.h5ad	ReDeconv	0	0.9385984057971014	64.76329
TSP21_random_rep5_seed8_10_200.h5ad	ReDeconv	0	1.1265501449275361	77.73195999999999
TSP27_random_rep1_seed3_10_200.h5ad	ReDeconv	0	1.3479169565217388	93.00626999999997
TSP27_random_rep2_seed3_10_200.h5ad	ReDeconv	0	1.3313989855072466	91.86653000000001
TSP27_random_rep3_seed3_10_200.h5ad	ReDeconv	0	0.9306666666666665	64.216
TSP27_random_rep4_seed3_10_200.h5ad	ReDeconv	0	1.0136339130434782	69.94073999999999
TSP27_random_rep5_seed3_10_200.h5ad	ReDeconv	0	1.2200353623188405	84.18244
TSP21_random_rep1_seed13_30_600.h5ad	ReDeconv	0	1.175460579710145	81.10678
TSP21_random_rep2_seed13_30_600.h5ad	ReDeconv	0	1.0312869565217386	71.15879999999997
TSP21_random_rep3_seed13_30_600.h5ad	ReDeconv	0	1.3175260869565215	90.90929999999999
TSP21_random_rep4_seed13_30_600.h5ad	ReDeconv	0	1.0697362318840575	73.81179999999996
TSP21_random_rep5_seed13_30_600.h5ad	ReDeconv	0	1.2247376811594202	84.50689999999999
TSP25_random_rep1_seed8_10_200.h5ad	ReDeconv	0	1.2172876811594204	83.99285
TSP25_random_rep2_seed8_10_200.h5ad	ReDeconv	0	1.8797810144927534	129.70488999999998
TSP25_random_rep3_seed8_10_200.h5ad	ReDeconv	0	0.845771884057971	58.35826
