basal cell of prostate epithelium	endothelial cell of arteriole/endothelial cell of venule	pancreatic ductal cell	duct epithelial cell/ionocyte	innate lymphoid cell	pancreatic stellate cell	capillary endothelial cell/endothelial cell of artery	erythrocyte/platelet	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	enteroglial cell	tracheal goblet cell	enterocyte of epithelium proper of duodenum	hepatocyte	intrahepatic cholangiocyte	myoepithelial cell	ciliated epithelial cell/epithelial cell of uterus	central nervous system macrophage	mural cell/pericyte	taste receptor cell	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	myo-medullary thymic epithelial cell	macrophage	gamma-delta t cell	myometrial cell	microglia	epithelial cell of uterus	mature nk t cell/natural killer cell	kidney epithelial cell	luminal epithelial cell of mammary gland	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	fast muscle cell/slow muscle cell	leukocyte	club cell/type i pneumocyte	pulmonary ionocyte	langerhans cell	stratified squamous epithelial cell	pancreatic stellate cell/smooth muscle cell	club cell	mesenchymal stem cell/tendon cell	cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	b cell	melanocyte/progenitor cell of mammary luminal epithelium	regular atrial cardiac myocyte/ventricular cardiac muscle cell	neuron	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	common myeloid progenitor/hematopoietic stem cell	type ii pneumocyte	pancreatic acinar cell	plasma cell	cd4-positive, alpha-beta thymocyte	cd8-positive, alpha-beta thymocyte/thymocyte	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	intestinal tuft cell/tuft cell of colon	pancreatic a cell	neurons	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	bladder urothelial cell	neuro-medullary thymic epithelial cell	pancreatic d cell/type b pancreatic cell	mesothelial cell/schwann cell	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	mucus secreting cell/respiratory goblet cell	choroid plexus epithelial cell	acinar cell of salivary gland	pulmonary ionocyte/respiratory goblet cell	hematopoietic stem cell	serous cell of epithelium of bronchus	cardiac endothelial cell	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	large intestine goblet cell	pancreatic a cell/pancreatic d cell/type b pancreatic cell	type i pneumocyte	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	sebum secreting cell	melanocyte	duct epithelial cell/ionocyte/mucus secreting cell	schwann cell	ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	common myeloid progenitor/erythroid progenitor cell	neutrophil	erythroid progenitor cell	mesothelial cell	Bergmann glial cell/astrocyte/ependymal cell	myeloid dendritic cell	oligodendrocyte precursor cell	serous cell of epithelium of trachea	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	basal cell/medullary thymic epithelial cell	OPC/astrocytes/oligodendrocytes	medullary thymic epithelial cell	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	basophil/mast cell	luminal cell of prostate epithelium	basal cell	colon endothelial cell	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	salivary gland cell	smooth muscle cell	progenitor cell of mammary luminal epithelium	oligodendrocyte	enteroendocrine cell of small intestine	tissue-resident macrophage	Method	Sample
0.46701	0.0	0.0	0.03111	0.0	0.28992	0.0	6.85419		0.0	0.04788	0.19763	0.06678	0.03263	0.0			0.18032	0.03127		0.01007	1.68787	1.5851	0.0	0.67935	0.0	8.47922	0.23712	0.005	0.0	0.01251	0.0		0.36235	0.19576	0.0		0.00535	0.03362	0.03707	2.92065		0.02284		0.27243	2.61264	0.01484	0.00557	0.0	0.12385	1.16476	0.15717			0.64018		16.31285	0.0	0.11759			0.22324	0.00175		0.0			0.0	5.35395			0.11901	0.06913	7.53411	0.0	0.1941		0.51667	0.09253		0.0	18.93558	0.43153		0.0		0.38257	0.0			0.67238	0.0	17.06288		0.01223	0.0	0.21522	0.0		0.12651	0.47601	1.68611		0.0	0.0	CIBERSORTx	SRR13991097
2.02547	0.0	0.0153	0.0	0.0	0.0	0.0	9.82224		0.0	0.0	0.04738	0.0	0.22177	1.00835			0.84258	1.20935		0.0	7.55384	0.0	0.0	0.79737	0.08915	7.60585	0.8524	0.11933	0.25396	0.00617	0.0		0.10284	1.25706	0.0		0.0	0.0	1.88251	2.84781		0.0		0.0	0.0	0.0	0.00564	0.0	4.564	0.73421	0.16476			0.21203		4.97437	0.0	0.93603			0.147	0.09977		0.0			0.0	3.54659			0.0	0.0	2.70626	0.21904	0.0		0.11655	0.0		5.11384	8.35934	0.9058		0.0		0.0	0.0			0.0	0.0	23.73549		0.71728	0.0	0.0	2.00592		0.0	0.0	2.17535		0.0	0.0	CIBERSORTx	SRR13991099
2.47617	0.0	0.16779	0.1682	0.0	0.0	0.20975	2.6991		0.0	0.0	0.0	0.0	0.05373	0.4361			0.81754	0.83513		0.057	0.73501	0.0	0.0	1.1271	0.41219	7.81516	0.23936	0.0	0.647	0.01061	0.0		0.0	0.18953	0.0		0.0	0.0	0.0	3.87718		0.0		0.0	0.0	0.0	0.0	0.0	5.96528	0.0	0.09579			0.33782		11.60407	0.0	0.05942			0.19735	0.08135		0.0			0.0	3.99875			0.0	0.0	2.76967	0.16329	0.0		0.64956	0.0		7.26901	5.36499	1.29123		0.0		0.0	0.0			0.0	0.0	33.56736		0.04156	0.0	0.3535	1.11325		0.0	0.69039	1.41271		0.0	0.0	CIBERSORTx	SRR13990973
1.79033	0.39509	0.0	0.04144	0.0	0.0	0.28889	3.51077		0.0	0.13713	0.18193	0.0	0.25695	0.45451			1.1834	1.17908		0.0	5.5825	0.0	0.0	0.59803	0.08641	8.29431	0.33723	0.41601	0.08587	0.00711	0.07063		0.0	0.38191	0.0		0.0	0.35976	0.7446	5.88249		0.0		0.0	3.35394	0.0	0.0	0.0	12.29269	0.0	0.43643			0.23616		10.16221	0.34884	0.7416			0.33163	0.05192		0.0			0.0	2.79293			0.0	0.0	1.53372	0.1287	0.0		0.43921	0.0		4.13589	3.89214	0.66687		0.0		0.0	0.0			0.40399	0.0	22.60277		0.07046	0.0	0.0	0.52679		0.0	0.0	2.5847		0.0	0.0	CIBERSORTx	SRR13991006
0.61742	0.0	0.12439	0.00906	0.0	0.0	0.5887	8.76884		0.0	0.0	0.13465	0.0	0.15594	0.56404			0.24586	0.2515		0.05458	5.91609	0.0	0.0	1.03446	0.16447	12.36501	0.30816	0.0	0.0	0.05667	0.31376		0.04704	0.43736	0.03777		0.04989	0.0	0.0	2.35362		0.0		0.0	0.0	0.00346	0.05683	0.05784	1.09045	0.81297	0.02417			0.2792		8.93934	0.0	0.6994			0.0	0.20469		0.04257			0.03741	4.37087			0.01037	0.34155	2.64391	0.10529	0.0		0.37966	0.17623		6.58526	9.65363	0.56898		0.0		0.0	0.0			0.20289	0.0	23.86355		0.0	0.0	0.0	1.52163		0.10427	0.11187	2.44159		0.07084	0.0	CIBERSORTx	SRR13991101
2.74179	0.0	0.06857	0.0	0.0	0.0	0.13261	6.3016		0.0	0.0	0.0	0.0	0.17131	1.28987			1.22638	0.68355		0.0	4.99179	0.0	0.0	0.61394	1.1968	4.77869	0.22424	0.60542	0.29918	0.01483	0.01568		0.0	1.25831	0.0		0.0	0.0	2.10417	6.10196		0.0		0.82656	1.1828	0.0	0.0	0.0	5.83891	0.0	0.0			0.54786		6.76703	0.95209	0.70399			0.36059	0.09547		0.0			0.04355	2.56857			0.0	0.12916	2.01097	0.34362	0.0		0.35202	0.0		7.30761	3.62906	0.83737		0.0		0.0	0.0			0.0	0.0	27.53465		0.06145	0.0	0.0	0.98182		0.0	0.0	2.10413		0.0	0.0	CIBERSORTx	SRR13991005
2.49156	0.0	0.0	0.01684	0.0	0.0	0.17111	3.79212		0.0	0.02509	0.28855	0.0	0.43707	0.94294			1.59561	0.82901		0.0	4.85108	0.0	0.0	0.8463	0.0	6.4806	0.22359	1.23704	0.04338	0.00649	0.0		0.0	0.36841	0.0		0.0	0.34127	1.78007	5.04286		0.5735		0.94858	3.57675	0.0	0.0	0.0	16.34801	0.0	0.0			0.18198		6.27912	0.249	0.54001			0.0	0.17348		0.0			0.0	3.18135			0.0	0.0	1.6463	0.13582	0.0		0.05157	0.0		3.42969	2.05306	1.00724		0.0		0.0	0.0			0.35826	0.0	23.53845		0.23796	0.0	0.0	0.61376		0.0	0.0	3.0651		0.0	0.0	CIBERSORTx	SRR13991007
2.69383	0.0	0.0	0.05807	0.0	0.0	0.0	6.87875		0.0	0.0	0.0	0.0	0.94187	1.10644			1.35604	0.89664		0.0	6.629	0.0	0.0	0.82693	0.00227	6.55986	0.43031	0.18153	0.20156	0.02972	0.0		0.0	1.53655	0.0		0.0	0.0	1.37684	3.655		0.0		0.0	0.144	0.0	0.00381	0.0	2.35685	0.4655	0.10592			0.31187		6.97721	0.1024	0.83602			0.2283	0.12013		0.0			0.01112	4.1024			0.0	0.08745	2.84817	0.30896	0.0		0.54628	0.0		6.14777	2.8726	0.93177		0.0		0.0	0.0			0.07804	0.0	29.39796		0.19436	0.0	0.0	2.49177		0.0	0.0	2.9681		0.0	0.0	CIBERSORTx	SRR13990808
1.60306	0.0	0.05834	0.0	0.0	0.0	0.0	6.83019		0.0	0.17713	0.0	0.0	0.89964	1.15008			1.42391	0.87446		0.0	7.17739	0.0	0.0	0.44814	0.0	6.73943	0.63754	0.39434	0.67017	0.01803	0.0072		0.0	0.92068	0.0		0.0	0.0	0.0	5.49265		0.0		0.10287	2.59715	0.0	0.0	0.0	8.51287	0.0	0.03572			0.32975		5.513	0.31398	0.98314			0.24503	0.0		0.0			0.0	4.5079			0.00336	0.0	4.31559	0.18456	0.0		0.68528	0.0		3.3769	5.37268	1.29259		0.0		0.0	0.0			0.16365	0.0	21.20599		0.63248	0.0	0.26955	1.31741		0.0	0.0	2.51616		0.0	0.0	CIBERSORTx	SRR13990971
0.17711	0.00494	0.02906	0.03157	0.0	0.0	0.26685	9.11113		0.0	0.07707	0.0	0.0	0.17155	0.45655			0.75029	0.0		0.0	2.56763	0.28473	0.0	0.62751	0.15667	8.03049	0.36891	0.0	0.17664	0.07372	0.0		0.0	0.46555	0.16285		0.04479	0.0	0.0	2.47278		0.0		0.02094	0.0	0.0	0.04542	0.0	8.54664	0.0	0.05852			0.10525		8.81437	0.22174	0.53777			0.16693	0.35599		0.01929			0.0	4.32241			0.0	0.20887	2.88839	0.04546	0.0		0.07247	0.09481		7.03336	12.75249	0.23839		0.0		0.0	0.0			0.0	0.0	24.46859		0.20729	0.01508	0.01458	0.0		0.0	0.44051	1.79601		0.0	0.0	CIBERSORTx	SRR13991102
