leukocyte	sebum secreting cell	myometrial cell	cd8-positive, alpha-beta thymocyte/thymocyte	mucus secreting cell/respiratory goblet cell	pancreatic ductal cell	hematopoietic stem cell	acinar cell of salivary gland	bladder urothelial cell	pancreatic d cell/type b pancreatic cell	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	large intestine goblet cell	ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	basal cell of prostate epithelium	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	schwann cell	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	pulmonary ionocyte	pancreatic a cell/pancreatic d cell/type b pancreatic cell	tissue-resident macrophage	mural cell/pericyte	erythrocyte/platelet	regular atrial cardiac myocyte/ventricular cardiac muscle cell	smooth muscle cell	intrahepatic cholangiocyte	colon endothelial cell	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	choroid plexus epithelial cell	luminal epithelial cell of mammary gland	duct epithelial cell/ionocyte	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	common myeloid progenitor/hematopoietic stem cell	myoepithelial cell	endothelial cell of arteriole/endothelial cell of venule	mesenchymal stem cell/tendon cell	type ii pneumocyte	pancreatic acinar cell	myo-medullary thymic epithelial cell	melanocyte	luminal cell of prostate epithelium	cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	oligodendrocyte	pancreatic a cell	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	serous cell of epithelium of trachea	capillary endothelial cell/endothelial cell of artery	cardiac endothelial cell	tracheal goblet cell	melanocyte/progenitor cell of mammary luminal epithelium	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	neutrophil	pancreatic stellate cell/smooth muscle cell	pulmonary ionocyte/respiratory goblet cell	pancreatic stellate cell	macrophage	club cell/type i pneumocyte	enterocyte of epithelium proper of duodenum	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	erythroid progenitor cell	OPC/astrocytes/oligodendrocytes	progenitor cell of mammary luminal epithelium	basophil/mast cell	taste receptor cell	neurons	basal cell/medullary thymic epithelial cell	myeloid dendritic cell	b cell	central nervous system macrophage	Bergmann glial cell/astrocyte/ependymal cell	neuron	neuro-medullary thymic epithelial cell	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	medullary thymic epithelial cell	duct epithelial cell/ionocyte/mucus secreting cell	langerhans cell	enteroendocrine cell of small intestine	innate lymphoid cell	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	mesothelial cell	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	fast muscle cell/slow muscle cell	type i pneumocyte	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	gamma-delta t cell	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	hepatocyte	mature nk t cell/natural killer cell	common myeloid progenitor/erythroid progenitor cell	plasma cell	epithelial cell of uterus	salivary gland cell	mesothelial cell/schwann cell	kidney epithelial cell	oligodendrocyte precursor cell	club cell	intestinal tuft cell/tuft cell of colon	stratified squamous epithelial cell	enteroglial cell	basal cell	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	microglia	serous cell of epithelium of bronchus	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	ciliated epithelial cell/epithelial cell of uterus	cd4-positive, alpha-beta thymocyte	Method	Sample
0.0	0.0	0.0	10.29031	0.0	0.0		0.0	0.0				0.0	0.23721		1.1156		0.4538	0.00047	0.0	1.89951	3.05981	0.0	0.26344	0.0	0.0	0.0		0.0684	0.10838	0.54108	1.90195	0.0	0.04074	0.04058	0.00186	0.00153	0.10785	0.12036	0.0	0.0			0.0388	0.00226	1.49005	0.0	0.02162			3.80244			0.0	0.0		0.56909	0.0	0.0	0.07724	0.0	0.02755	0.0	1.9102		5.82352	14.45287				0.0		0.0		0.0	0.11518	0.0		0.10216	17.50401	0.00181	0.22256		0.0	0.0	0.3407	15.50945		0.0	0.0	0.62223		0.73143		0.0		0.0	0.0	0.09462	0.34739	2.90074	0.01773	13.02148		0.0	CIBERSORTx	SRR10192355
0.0	0.18967	0.0	7.46685	0.09613	0.0		0.0	0.0				0.0	1.86204		1.13934		0.0	0.0	0.0	1.96627	1.40021	0.0	0.99095	1.00248	0.0	0.0		0.0	0.13619	0.11621	1.96341	0.09034	0.0	0.75064	0.0	0.01557	0.01473	0.0	0.0	0.0			0.0	0.0	0.0	5.88662	0.02549			0.0			0.0	0.0		0.89649	0.0	0.0	0.38899	1.7603	0.07174	1.10674	1.01655		5.72975	5.87555				0.63111		0.0		0.08186	0.0	0.0		0.84357	22.98891	0.00468	0.09855		0.0	0.06524	0.0	11.66039		0.15161	0.0	1.12997		0.35863		0.0		0.0	0.0	0.0	2.02303	1.45768	0.0	16.5455		0.0	CIBERSORTx	SRR10192436
0.32761	0.0	0.0	5.16592	0.0	0.0		0.0	0.0				0.05533	1.30158		0.51025		0.16276	0.0	0.0	0.0	4.70634	0.0	2.70782	0.48963	0.0	0.0		0.0	0.11442	0.0	0.0	0.01411	0.12401	0.0	0.00422	0.00189	0.21988	0.05286	0.0	0.0			0.69038	0.0	0.0	8.44948	0.01925			2.08154			0.0	0.22363		0.25099	0.0	8.07763	0.0	0.02212	0.0	0.1278	0.45649		0.05059	6.49523				4.56534		0.0		0.0	0.0	0.0		0.44717	10.68475	0.0	0.20893		2.80061	0.22248	0.07151	18.16341		0.067	0.07876	1.29706		0.02569		0.0		0.0	0.0	0.0158	2.17798	0.0	0.0	16.26978		0.0	CIBERSORTx	SRR10192291
0.0	0.23087	0.0	8.11173	0.0836	0.00338		0.0	0.0				0.0	1.77195		0.72808		0.0	0.0	0.0	1.25557	1.80812	0.0	0.50739	0.68099	0.0	0.0		0.0	0.16656	0.0	0.0	0.0	0.2724	0.52201	0.0	0.00291	0.10647	0.0	0.0	0.0			0.0	0.0	0.0	6.00103	0.01906			0.0			0.0	0.0		1.24422	0.0	5.0631	0.38094	1.3171	0.0331	1.18521	0.93771		3.58852	11.38299				0.28874		0.0		0.0	0.0	0.0		0.53668	17.47072	0.0	0.15273		0.0	0.04947	0.0	8.97448		0.20191	0.0	0.67979		0.22157		0.0		0.0	0.0	0.0	2.73594	1.52526	0.0	19.75769		0.0	CIBERSORTx	SRR10192354
0.34515	0.0	0.0	13.41096	0.0	0.0		0.0	0.03184				0.0	0.71536		0.48082		0.03612	0.00881	0.0	0.83906	2.09737	0.0	0.93954	0.32876	0.0	0.0		0.0	0.48317	0.0	0.0	0.0	0.22599	0.05325	0.00113	0.00713	0.08943	0.02556	0.0	0.0			0.54655	0.0706	1.92741	2.84026	0.21718			1.30725			0.0	0.0		0.34925	0.0	6.37658	0.04634	0.15295	0.0	0.2532	2.34831		0.0	8.4767				0.46656		0.03265		0.0	0.0	0.0		0.28309	17.6293	0.0	0.02581		0.3491	0.00138	0.00501	16.07385		0.0	0.15413	1.20923		0.12767		0.00403		0.0	0.0	0.0	0.82811	3.74837	0.0	14.02967		0.0	CIBERSORTx	SRR10192437
0.0	0.09429	0.0	6.65467	0.08415	0.0		0.0	0.0				0.0	2.14888		0.59082		0.0	0.0	0.0	1.72717	2.31943	0.0	1.22698	0.62337	0.0	0.0		0.0	0.12709	0.03651	1.64218	0.69573	0.0	0.40918	0.0	0.00615	0.25838	0.0	0.0	0.0			0.0	0.0	0.0	7.68936	0.0			3.75781			0.0	0.0		0.92654	0.0	4.74438	0.146	1.57965	0.07871	1.07921	1.23578		3.4478	4.81406				0.0		0.0		0.0	0.0	0.0		0.7474	21.79444	0.00329	0.0		0.14435	0.05217	0.0	8.23686		0.14177	0.18188	0.53147		0.34291		0.0		0.0	0.0	0.0	5.49936	1.44029	0.0	12.73955		0.0	CIBERSORTx	SRR10192479
0.23616	0.20802	0.0	5.8545	0.12078	0.0		0.0	0.0				0.0	2.26056		0.91651		0.0	0.0	0.0	2.72517	1.10024	0.0	1.81174	1.11983	0.0	0.0		0.0	0.24613	0.05512	0.0	0.14494	1.01005	1.98182	0.0	0.00818	0.09671	0.0	0.0	0.0			3.62581	0.0	0.0	8.39214	0.04985			0.2586			0.0	0.0		1.49139	0.0	6.48405	0.00857	0.87423	0.0963	0.92136	1.03505		0.0	7.23385				2.59572		0.0		0.0	0.0	0.0		1.07404	17.53069	0.00577	0.11506		0.96959	0.0	0.0	7.12118		0.47348	0.34302	1.29323		0.14691		0.0		0.0	0.0	0.29772	4.93163	1.80218	0.0	10.93209		0.0	CIBERSORTx	SRR10192431
0.0	0.42249	0.0	4.38709	0.1334	0.0		0.0	0.0				0.0	2.31357		0.64761		0.0	0.0	0.0	0.84624	1.88684	0.0	0.72998	0.55253	0.10461	0.0		0.0	0.37675	0.0	0.0	0.00902	0.0	0.20539	0.0	0.00827	0.0518	0.0	0.0	0.0			0.12812	0.33364	1.11406	6.66538	0.0			0.0			0.0	0.0		1.11984	0.0	4.88938	0.0	1.07235	0.02776	0.78771	0.39113		0.9075	4.98486				3.03578		0.0		0.0	0.0	0.0		1.4637	18.31194	0.01295	0.14472		0.37242	0.0439	0.0	18.29506		0.43575	0.0	1.03407		0.15751		0.0		0.0	0.0	0.0	3.24902	0.55239	0.0	17.79348		0.0	CIBERSORTx	SRR10192276
0.0	0.00693	0.0	9.01766	0.0	0.0		0.02177	0.0				0.00437	0.41291		0.52715		0.04631	0.00075	0.0	0.61069	3.23676	0.0	1.98736	0.85615	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.2164	0.10945	0.03913	0.00728	0.01221	0.0	0.0	0.0			0.0	0.01534	0.72034	3.87996	0.03251			0.60502			0.0	0.0		0.06691	0.0	10.0793	0.00098	0.0	6e-05	0.01432	1.04891		2.89014	3.27934				1.80784		0.01633		0.0	0.0	0.0		0.00215	19.337	0.00378	0.0		0.05461	0.01278	0.0	14.61102		0.17593	0.0	0.50003		0.42565		0.0		0.00358	0.0	0.0	1.36668	0.45379	0.00215	21.48026		0.0	CIBERSORTx	SRR10192441
0.0	0.21806	0.0	8.24849	0.10513	0.0		0.0	0.0				0.0	1.76444		0.45371		0.0	0.0	0.0	1.69399	2.03083	0.0	0.49887	0.64894	0.0	0.0		0.0	0.23252	0.0	0.0	0.0	0.61512	0.54924	0.0	0.00743	0.22177	0.0	0.0	0.0			0.0	0.0	0.0	5.99554	0.0			0.0			0.0	0.0		1.76996	0.0	8.33512	0.17856	1.28027	0.03081	1.00818	1.0843		0.0	7.11692				0.83446		0.0		0.0	0.0	0.0		0.58254	17.14528	0.0	0.33207		0.0	0.0	0.0	12.91626		0.13943	0.12892	1.16769		0.34539		0.0		0.0	0.0	0.0	3.03009	1.83608	0.0	17.45359		0.0	CIBERSORTx	SRR10192413
0.78232	0.28842	0.0	3.01859	0.03811	0.0		0.0	0.0				0.0	2.44679		0.58529		0.04605	0.0	0.0	1.03471	4.79212	0.0	1.2736	0.8039	0.0	0.0		0.0	0.14284	0.02361	0.0	0.20179	0.0	0.41261	0.0	0.00661	0.0	0.0	0.0	0.0			0.0	0.13117	1.32627	8.86103	0.08365			7.8143			0.0	0.0		1.34271	0.0	5.46281	0.0	0.83153	0.03455	0.4978	0.44448		2.34632	4.80767				1.26689		0.0		0.0	0.0	0.0		1.80294	17.9296	0.0067	0.39216		0.76192	0.04382	0.0	7.37915		0.28448	0.00073	0.39558		0.05522		0.0		0.0	0.0	0.0	3.25664	0.998	0.0	15.54453		0.0	CIBERSORTx	SRR10192347
0.0	0.0	0.0	7.24068	0.0	0.0		0.0	0.0				0.20046	0.68702		0.84369		0.01116	0.0	0.0	0.51627	5.28387	0.0	2.27385	0.011	0.0	0.0		0.0	0.02887	0.00022	0.0	0.15335	0.0	0.27267	0.01143	0.00203	0.18	0.06131	0.0	0.0			0.0	0.61431	0.0	6.73353	0.0			0.0			0.0	0.63455		1.90288	0.0	16.38073	0.0	0.0	0.06205	0.08774	2.6222		0.0	3.9996				2.01939		0.0		0.0	0.02937	0.0		1.39551	4.63625	0.00042	0.06434		0.0	0.0	0.18797	20.27878		0.01378	0.00951	2.40134		0.10341		0.0		0.30885	0.0	0.05	9.13773	1.03705	0.00049	7.51034		0.0	CIBERSORTx	SRR10192318
