ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	serous cell of epithelium of bronchus	pancreatic stellate cell/smooth muscle cell	bladder urothelial cell	microglia	neurons	luminal cell of prostate epithelium	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	common myeloid progenitor/erythroid progenitor cell	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	erythrocyte/platelet	large intestine goblet cell	capillary endothelial cell/endothelial cell of artery	pancreatic acinar cell	mural cell/pericyte	regular atrial cardiac myocyte/ventricular cardiac muscle cell	cd4-positive, alpha-beta thymocyte	luminal epithelial cell of mammary gland	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	oligodendrocyte	langerhans cell	intrahepatic cholangiocyte	serous cell of epithelium of trachea	oligodendrocyte precursor cell	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	type ii pneumocyte	mature nk t cell/natural killer cell	ciliated epithelial cell/epithelial cell of uterus	melanocyte/progenitor cell of mammary luminal epithelium	salivary gland cell	cd8-positive, alpha-beta thymocyte/thymocyte	OPC/astrocytes/oligodendrocytes	acinar cell of salivary gland	leukocyte	cardiac endothelial cell	endothelial cell of arteriole/endothelial cell of venule	kidney epithelial cell	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	mesothelial cell	pulmonary ionocyte	schwann cell	myo-medullary thymic epithelial cell	intestinal tuft cell/tuft cell of colon	epithelial cell of uterus	mesothelial cell/schwann cell	pancreatic a cell	myoepithelial cell	stratified squamous epithelial cell	central nervous system macrophage	melanocyte	enterocyte of epithelium proper of duodenum	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	pancreatic a cell/pancreatic d cell/type b pancreatic cell	colon endothelial cell	basal cell of prostate epithelium	enteroendocrine cell of small intestine	myometrial cell	basal cell/medullary thymic epithelial cell	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	medullary thymic epithelial cell	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	sebum secreting cell	club cell	mesenchymal stem cell/tendon cell	erythroid progenitor cell	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	pulmonary ionocyte/respiratory goblet cell	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	type i pneumocyte	duct epithelial cell/ionocyte	club cell/type i pneumocyte	taste receptor cell	hepatocyte	enteroglial cell	gamma-delta t cell	pancreatic d cell/type b pancreatic cell	basal cell	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	tracheal goblet cell	hematopoietic stem cell	common myeloid progenitor/hematopoietic stem cell	plasma cell	choroid plexus epithelial cell	myeloid dendritic cell	neuron	pancreatic stellate cell	neuro-medullary thymic epithelial cell	duct epithelial cell/ionocyte/mucus secreting cell	b cell	tissue-resident macrophage	smooth muscle cell	mucus secreting cell/respiratory goblet cell	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	Bergmann glial cell/astrocyte/ependymal cell	pancreatic ductal cell	macrophage	fast muscle cell/slow muscle cell	progenitor cell of mammary luminal epithelium	cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	basophil/mast cell	neutrophil	innate lymphoid cell	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	Method	Sample
0.0	0.06093		0.29083	1.63995	1.47929	0.0			25.95839	2.21468		0.0	0.0008	0.86714	1.17246	0.0	0.2404			0.0	0.13888	0.59678			0.0	7.58462			0.96207	9.79102	0.26681	0.00642	0.0	3.00511	0.13044	1.01757	0.0	1.89818	0.4675	0.47605	0.03685		0.87484			0.93077	0.0		0.0	0.64097	0.0	0.00603	0.14009	0.94805	0.0	0.0			0.0		0.0324	0.0	0.89344	0.0			12.12465	0.0	0.0		1.97836	0.0	0.0	0.0		0.0		0.0		7.70709	0.0		5.2824		0.0	0.12662		1.02947	0.0	0.67345	0.0	0.0	0.37479	0.46248		0.0	0.0	0.02757	1.58893	0.85921	1.95327	1.04192	0.0	0.0	CIBERSORTx	262245_1
0.35132	0.0		0.28838	1.69908	1.44783	0.0			17.93077	0.89264		0.0	0.00338	1.45886	0.45649	0.0	0.43712			1.04454	0.28091	0.54424			0.0	6.73019			1.5098	12.48728	0.13347	0.01906	0.0	3.40706	0.32339	1.38882	0.0	0.57513	0.63965	0.60536	0.07673		0.51661			0.90139	0.0		0.0	0.51363	0.0	0.00465	0.0	1.47668	0.0	0.0			0.0		0.0	0.0	0.92242	0.0			12.46341	0.0	0.0		2.52361	0.0	0.0	0.3912		0.0		0.0		12.34858	0.0		1.20496		0.0	0.0		2.10198	0.0	0.76082	0.08685	0.0	0.46918	1.57391		0.0	0.1677	0.00874	2.99687	1.0623	2.35761	0.41541	0.0	0.0	CIBERSORTx	167961_1
0.0	0.00837		0.0	1.58188	0.4545	0.0			28.84949	1.10683		0.0	0.0	0.2125	0.1147	0.0	0.26947			0.20417	0.0	0.0			0.0	6.4638			0.6038	5.03847	0.35489	0.00605	0.0	3.15488	0.11456	1.41445	0.0	0.19143	0.0	0.49282	0.06314		0.21311			0.02442	0.0		0.20142	0.0	0.0	0.0	0.15256	0.85128	0.0	0.0			0.0		0.0	0.0	0.13956	2.64078			17.80745	0.02687	0.0		0.26976	0.0	0.0	0.0		0.0		0.0		5.20938	0.0		1.50142		0.0	0.22194		11.39285	0.0	0.62643	0.01873	0.0	0.0	1.28539		0.0	0.0	0.0	2.79417	0.0	0.90301	3.00444	0.0	0.01478	CIBERSORTx	166490_1
0.11428	0.0		0.0	1.66	0.89376	0.0			18.36317	0.75699		0.0	0.00015	1.57815	0.12714	0.0	0.6243			0.78795	0.16969	1.15048			0.0	6.06077			1.60516	11.10261	0.07991	0.0	0.0	2.23477	0.27676	0.63492	0.0	0.59587	0.35178	0.98648	0.15367		0.0			0.80059	0.0		0.0	0.70464	0.0	0.00274	0.22627	1.38792	0.0	0.0			0.0		0.0354	0.0	0.99424	0.0			15.59218	0.0	0.0		2.04549	0.0	0.0	0.0		0.0		0.0		8.01242	0.0		0.90162		0.0	0.42144		3.67243	0.0	0.42363	0.086	0.0	0.33487	0.7768		0.0	0.0	0.00766	1.70855	2.56	3.03274	5.96361	0.0	0.0	CIBERSORTx	393370_2
0.29294	0.0		0.15422	1.18523	1.68946	0.0			16.12984	0.5401		0.0	0.01877	1.43667	0.27973	0.0	0.50917			1.41747	0.19974	0.70689			0.0	6.09168			1.31686	11.86056	0.22225	0.00123	0.0	4.22458	0.92915	1.3207	0.0	1.15013	0.59391	0.6141	0.02738		0.02351			1.13581	0.0		0.0	0.30971	0.0	0.0073	0.0	0.90073	0.0	0.0			0.0		0.0421	0.0	0.8612	0.0			14.12001	0.0	0.0		2.6627	0.04326	0.0	0.0		0.0		0.0		11.64156	0.0		1.00096		0.0	0.22162		3.49575	0.0	0.62871	0.11651	0.0	0.3623	0.87783		0.0	0.0	0.01089	2.73474	0.80746	3.30732	1.77525	0.0	0.0	CIBERSORTx	412304_2
0.36021	0.0		0.13904	1.41217	1.92239	0.0			17.81614	0.61443		0.0	0.00651	1.48436	0.33226	0.0	0.84868			1.71654	0.08245	1.10753			0.0	7.20171			1.64376	12.24832	0.03131	0.0	0.0	3.45495	0.0	1.36019	0.0	0.96101	0.60708	0.5292	0.31089		0.19623			1.19102	0.0		0.0	0.45883	0.0	0.00608	0.02917	0.86516	0.0	0.0			0.0		0.04105	0.0	1.11164	0.0			13.67151	0.0	0.0		2.37265	0.00204	0.0	0.8945		0.0		0.0		11.23645	0.0		0.0		0.0	0.14827		1.70566	0.0	0.47925	0.10113	0.0	0.25933	1.22728		0.0	0.0	0.00343	1.91408	2.34973	2.39132	1.15302	0.0	0.0	CIBERSORTx	178534_1
0.0	0.0		0.0	7.18506	1.8911	0.0			12.23957	31.18316	0.0	0.0	0.0	0.0	0.0	0.0	2.91431			1.20021	0.0	0.0			0.0	0.0			0.0	4.43176	0.0	0.0	0.0	7.23155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.78538	0.0		0.0	0.0	0.0		0.0	0.0	0.0	3.50897			0.0		0.0	0.0	0.0	0.0			0.0	5.2285	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0		10.18368		0.0	1.88254		0.0	0.0	2.79765	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	7.33657	0.0	0.0	NNLS	739041_3
0.0	0.0		0.0	3.83037	1.90276	0.0			12.44376	38.54775	0.0	0.0	0.0	0.0	0.0	0.0	2.92022			3.28199	0.0	0.0			0.0	0.0			0.0	10.39073	0.0	0.0	0.0	4.2547	0.0	0.0	0.0	0.0	0.0	4.1941	0.0	0.0	0.0		0.0	1.04603	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0			0.0		0.0	0.0	0.0	0.0			0.0	3.49148	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0		6.84296		0.0	0.0		0.0	0.0	5.4155	0.0	0.0		0.0		0.0	1.38374	0.0	0.05391	0.0	0.0	0.0	0.0	0.0	NNLS	569467_2
0.0	0.0		0.0	3.29631	0.91272	0.0			7.53951	56.57601	0.0	0.0	0.0	0.0	0.0	0.0	0.28733			7.2934	0.0	0.0			0.0	0.0			0.0	5.34156	0.0	0.0	0.0	7.51816	0.0	0.0	0.0	0.0	0.0	4.46914	0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.56841			0.0		0.0	0.0	0.0	0.0			0.0	2.93464	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0		0.0		0.0	0.0		0.0	0.0	1.88306	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.37977	0.0	0.0	NNLS	597312_3
0.0	0.0		0.0	8.72292	4.40176	0.0			2.92962	10.83076	0.0	0.0	0.0	0.0	0.0	0.0	0.0			19.32288	0.0	0.0			0.0	2.48764			0.0	0.0	0.0	0.0	0.0	19.61649	0.0	0.0	0.0	0.0	0.0	9.19008	0.0	0.0	0.0		0.07959	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	4.37718			0.0		0.0	0.0	0.0	0.0			0.0	7.74949	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.7015	0.0	0.0	0.0	0.0	9.5901	0.0	0.0	NNLS	450582_2
