	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
cfrna_kd_277.trimmed	0.0	0.0	0.0	0.0	0.0	4.64	7.18	0.12	52.45	0.0	0.0	0.0	1.62	0.0	0.0	0.1	0.0	0.0	0.01	3.78	0.0	0.0	0.0	0.0	0.0	8.69	0.0	0.32	0.0	21.06	BayesPrism
cfrna_kd_281.trimmed	0.0	0.0	0.01	0.0	1.01	2.34	0.03	0.02	45.27	0.01	0.0	0.71	0.01	0.0	0.0	0.05	5.2	0.0	0.01	1.79	0.0	0.01	0.01	0.0	0.0	20.84	0.0	0.79	0.0	21.87	BayesPrism
cfrna_kd_241.trimmed	0.0	0.0	0.0	0.0	8.2	3.33	5.4	0.87	47.46	0.0	0.0	0.52	0.0	0.0	3.55	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.02	0.73	8.2	0.01	2.33	0.0	19.33	BayesPrism
cfrna_kd_312.trimmed	0.0	0.0	0.03	0.01	1.53	4.78	3.05	0.0	51.15	0.01	0.01	0.63	0.0	0.0	0.01	0.02	0.09	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.02	31.25	0.0	1.0	0.0	6.35	BayesPrism
cfrna_kd_256.trimmed	0.0	0.04	0.0	0.0	0.01	0.01	0.03	1.29	31.49	0.0	0.0	0.0	8.84	0.04	0.17	0.14	0.0	0.06	0.19	7.21	0.0	1.62	1.11	0.03	1.24	0.04	0.03	10.59	0.68	35.15	BayesPrism
cfrna_kd_314.trimmed	0.0	0.0	0.0	0.0	0.01	4.86	12.51	1.35	43.49	0.0	0.01	0.32	0.01	0.0	0.0	0.01	0.01	0.0	0.0	2.29	0.0	0.0	0.0	0.02	0.0	8.03	0.0	0.84	0.0	26.22	BayesPrism
cfrna_kd_292.trimmed	0.0	0.0	0.0	0.0	0.0	0.0	17.46	5.93	28.64	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.01	0.0	5.95	0.0	0.67	0.0	0.16	0.02	3.27	0.0	1.63	0.07	35.64	BayesPrism
cfrna_kd_313.trimmed	0.0	0.0	0.0	0.0	0.0	0.01	1.2	2.23	38.0	0.0	0.0	0.0	7.26	0.0	0.0	0.12	0.0	0.01	0.05	7.75	0.0	0.22	0.02	0.01	0.15	13.06	0.0	3.41	0.04	26.43	BayesPrism
cfrna_kd_250.trimmed	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.02	49.35	0.0	0.0	0.0	15.95	0.0	14.3	0.01	0.0	0.0	0.01	0.03	0.0	0.09	0.0	0.0	0.0	0.01	0.0	0.93	0.0	19.27	BayesPrism
cfrna_kd_251.trimmed	0.0	0.0	0.0	0.0	0.0	0.01	0.01	1.67	34.5	0.0	0.0	0.01	1.1	0.0	0.3	0.04	0.01	0.0	0.01	7.1	0.0	0.04	0.0	0.01	0.01	22.24	0.0	0.62	0.02	32.28	BayesPrism
cfrna_kd_293.trimmed	0.0	0.0	0.16	0.0	2.53	0.0	12.1	2.25	50.55	0.0	0.0	2.27	0.0	0.0	0.0	0.04	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	19.37	0.0	1.4	0.0	9.3	BayesPrism
cfrna_kd_285.trimmed	0.0	0.0	0.0	0.0	0.0	0.0	24.88	0.0	71.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	1.61	0.0	2.26	BayesPrism
prevail_cu_cfrna_422.trimmed	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	25.51	0.0	0.0	0.0	1.85	0.17	0.0	0.59	0.0	0.91	0.39	4.58	0.04	3.55	3.77	0.41	2.69	13.5	0.09	25.77	1.98	14.16	BayesPrism
prevail_cu_cfrna_413.trimmed	0.0	0.0	0.3	0.01	4.85	10.96	3.86	0.62	44.77	0.25	0.01	0.01	0.0	0.0	0.0	0.25	0.91	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	23.08	0.0	1.61	0.0	8.48	BayesPrism
prevail_cu_cfrna_417.trimmed	0.01	0.0	0.0	0.0	5.56	7.99	0.92	0.43	31.19	0.01	0.0	0.88	0.0	0.01	1.02	0.09	7.54	0.0	0.01	2.98	0.0	0.0	0.0	0.0	0.07	17.6	0.0	0.72	0.0	22.93	BayesPrism
prevail_cu_cfrna_418.trimmed	1.6	0.0	16.82	0.0	6.18	0.0	0.0	1.96	18.72	2.29	0.0	0.02	0.0	0.0	0.0	0.08	16.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.98	0.0	34.34	BayesPrism
prevail_cu_cfrna_415.trimmed	0.0	0.0	0.0	0.0	0.0	28.38	1.3	0.0	47.65	0.0	0.03	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.11	7.7	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.23	0.0	13.14	BayesPrism
prevail_cu_cfrna_410.trimmed	0.0	0.0	0.0	0.0	2.86	0.0	0.0	1.07	38.87	0.01	0.0	0.51	0.93	0.02	0.0	0.2	1.02	0.13	0.18	4.22	0.0	0.29	2.0	0.15	1.03	20.52	0.05	13.52	0.56	11.83	BayesPrism
prevail_cu_cfrna_412.trimmed	3.41	0.0	2.82	0.01	15.68	0.0	0.0	0.26	29.77	0.01	0.01	8.89	0.0	0.0	1.59	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.01	12.49	0.0	1.08	0.0	21.73	BayesPrism
cfrna_kd_94	0.0	0.0	2.23	0.0	0.0	0.0	3.44	0.0	81.85	0.0	0.0	0.0	0.77	0.0	0.0	0.12	0.98	0.01	0.01	0.82	0.04	0.0	0.0	0.01	0.0	3.7	0.0	3.94	0.0	2.07	MuSiC
cfrna_kd_10	0.0	0.0	3.91	0.0	0.0	0.0	0.45	0.0	63.78	0.0	0.0	0.0	0.25	0.0	0.0	0.0	5.61	0.0	0.0	2.74	0.0	0.0	0.0	0.01	0.0	15.01	0.0	5.05	0.0	3.19	MuSiC
cfrna_kd_33	0.01	0.0	9.21	0.0	0.0	0.0	0.0	0.0	68.89	0.0	0.0	0.0	0.43	0.0	0.0	0.18	2.26	0.04	0.04	3.51	0.01	0.04	0.0	0.07	0.0	6.56	0.0	7.34	0.0	1.42	MuSiC
cfrna_kd_18	0.14	0.0	6.59	0.0	0.0	0.0	1.56	0.0	65.75	0.0	0.0	0.0	1.16	0.0	0.0	0.02	5.34	0.0	0.04	2.47	0.01	0.0	0.0	0.0	0.0	5.62	0.0	7.84	0.01	3.46	MuSiC
cfrna_kd_9	5.96	0.0	0.76	0.0	1.97	1.47	0.03	0.0	53.57	3.64	0.0	0.0	0.27	0.0	0.0	0.02	10.44	0.0	0.03	1.02	0.0	0.0	0.0	0.04	0.01	11.5	0.01	4.94	0.0	4.3	MuSiC
