Matrix,Method,GeneRemoval,Pearson_r,R_squared,p_value
500,BayesPrism,top_0,0.6075966683352303,0.36917371137207183,0.0
500,MuSiC,top_0,0.20014797805631626,0.040059213120031655,3.191127000713909e-158
500,ReDeconv,top_0,0.6500442377117956,0.4225575109823095,0.0
500,CIBERSORTx,top_0,0.42448476381820527,0.1801873147137975,0.0
500,NNLS,top_0,0.22183976176975229,0.04921287990206045,6.093126178941252e-134
500,QP,top_0,0.26982179589619604,0.07280380154064847,3.1094761441099386e-243
500,nuSVR,top_0,0.5708691614520214,0.325891599496934,0.0
500,BayesPrism,top_10,0.6245988137617727,0.3901236781526137,0.0
500,MuSiC,top_10,0.19497843527030126,0.03801659022045506,1.1257420752282028e-150
500,ReDeconv,top_10,0.6431850617556247,0.4136870236655868,0.0
500,CIBERSORTx,top_10,0.4423962846719306,0.19571447269152786,0.0
500,NNLS,top_10,0.22593422827513815,0.051046275506282233,2.9764622645530987e-140
500,QP,top_10,0.27156408487426564,0.07374705219359735,7.584280386288625e-247
500,nuSVR,top_10,0.5577115481647834,0.3110421709563595,0.0
500,BayesPrism,top_20,0.647646438273243,0.41944590900801754,0.0
500,MuSiC,top_20,0.19727406766807626,0.03891705777430873,2.133072378199054e-155
500,ReDeconv,top_20,0.6470513990766043,0.41867551304699097,0.0
500,CIBERSORTx,top_20,0.439147719175339,0.19285071925690242,0.0
500,NNLS,top_20,0.2279348958283601,0.05195431673628537,5.482364290792799e-143
500,QP,top_20,0.27275456195709674,0.07439505106840773,3.363453464120145e-249
500,nuSVR,top_20,0.5689957253053346,0.3237561354157438,0.0
500,BayesPrism,top_30,0.662246098964887,0.43856989559421083,0.0
500,MuSiC,top_30,0.1876196804053578,0.035201144475408605,2.4244624190865247e-142
500,ReDeconv,top_30,0.6432285445590298,0.4137429605355278,0.0
500,CIBERSORTx,top_30,0.4193858487102956,0.17588449009845494,0.0
500,NNLS,top_30,0.2274497531174271,0.05173339019317854,1.2272450743071295e-142
500,QP,top_30,0.26853548194295057,0.07211130506233274,1.3384090644842963e-239
500,nuSVR,top_30,0.5744166137509444,0.3299544461531017,0.0
500,BayesPrism,top_40,0.682151851798421,0.4653311489120149,0.0
500,MuSiC,top_40,0.1595166512058737,0.025445562011936363,3.111541543279626e-102
500,ReDeconv,top_40,0.6397965190449842,0.4093395857820789,0.0
500,CIBERSORTx,top_40,0.4022764570671953,0.16182634791053502,0.0
500,NNLS,top_40,0.22939170323102884,0.052620553511232404,5.08036519779921e-146
500,QP,top_40,0.2700805698561114,0.07294351421380187,6.775677581226063e-244
500,nuSVR,top_40,0.5716585136008402,0.32679345617232197,0.0
