	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
SRR13991008	0.0	0.0	4.73	0.0	0.0	0.0	14.14	0.0	43.39	0.0	0.0	0.0	1.78	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	2.53	0.0	0.0	0.0	33.16	MuSiC
SRR13991104	0.0	0.0	2.11	0.0	0.0	0.0	9.26	0.0	58.7	0.0	0.0	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	28.51	MuSiC
SRR13990972	0.0	0.0	4.09	0.0	0.0	0.0	10.98	0.0	62.53	0.0	0.0	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.03	0.0	0.0	0.09	0.0	0.04	0.0	0.0	0.0	21.04	MuSiC
SRR13990983	0.0	0.0	0.0	0.0	0.26	0.0	18.37	0.0	50.19	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	30.47	MuSiC
SRR13990675	0.0	0.0	2.13	0.0	0.0	0.0	14.47	0.0	64.8	0.0	0.0	0.0	1.33	0.0	0.0	0.0	0.14	0.0	0.0	0.13	0.0	0.0	0.0	0.31	0.0	2.09	0.0	0.0	0.0	14.6	MuSiC
SRR13990806	0.0	0.0	0.59	0.0	0.0	0.0	17.87	0.0	55.32	0.0	0.0	0.0	1.35	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	24.15	MuSiC
SRR13990974	0.0	0.0	4.78	0.0	0.0	0.0	8.74	0.0	53.83	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	31.89	MuSiC
SRR13990880	0.0	0.0	0.04	0.0	0.04	0.0	15.43	0.0	47.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	36.75	MuSiC
SRR13990978	0.0	0.0	13.91	0.0	0.0	0.0	3.4	0.0	56.46	0.0	0.0	0.0	1.15	0.0	0.0	0.0	3.55	0.0	0.13	0.0	0.0	0.0	0.0	0.27	0.0	0.13	0.0	0.0	0.0	21.0	MuSiC
SRR13990807	0.0	0.0	0.8	0.0	0.0	0.0	17.82	0.0	53.63	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.92	0.0	0.0	0.06	0.01	0.0	0.0	0.72	0.0	0.17	0.0	0.0	0.0	25.87	MuSiC
SRR13991095	0.0	0.0	2.73	0.0	0.0	0.0	11.85	0.0	62.67	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.21	0.0	0.01	0.0	0.52	0.06	0.0	0.41	0.0	0.64	0.0	0.16	0.0	19.8	MuSiC
