basal cell of prostate epithelium	endothelial cell of arteriole/endothelial cell of venule	pancreatic ductal cell	duct epithelial cell/ionocyte	innate lymphoid cell	pancreatic stellate cell	capillary endothelial cell/endothelial cell of artery	erythrocyte/platelet	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	enteroglial cell	tracheal goblet cell	enterocyte of epithelium proper of duodenum	hepatocyte	intrahepatic cholangiocyte	myoepithelial cell	ciliated epithelial cell/epithelial cell of uterus	central nervous system macrophage	mural cell/pericyte	taste receptor cell	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	myo-medullary thymic epithelial cell	macrophage	gamma-delta t cell	myometrial cell	microglia	epithelial cell of uterus	mature nk t cell/natural killer cell	kidney epithelial cell	luminal epithelial cell of mammary gland	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	fast muscle cell/slow muscle cell	leukocyte	club cell/type i pneumocyte	pulmonary ionocyte	langerhans cell	stratified squamous epithelial cell	pancreatic stellate cell/smooth muscle cell	club cell	mesenchymal stem cell/tendon cell	cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	b cell	melanocyte/progenitor cell of mammary luminal epithelium	regular atrial cardiac myocyte/ventricular cardiac muscle cell	neuron	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	common myeloid progenitor/hematopoietic stem cell	type ii pneumocyte	pancreatic acinar cell	plasma cell	cd4-positive, alpha-beta thymocyte	cd8-positive, alpha-beta thymocyte/thymocyte	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	intestinal tuft cell/tuft cell of colon	pancreatic a cell	neurons	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	bladder urothelial cell	neuro-medullary thymic epithelial cell	pancreatic d cell/type b pancreatic cell	mesothelial cell/schwann cell	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	mucus secreting cell/respiratory goblet cell	choroid plexus epithelial cell	acinar cell of salivary gland	pulmonary ionocyte/respiratory goblet cell	hematopoietic stem cell	serous cell of epithelium of bronchus	cardiac endothelial cell	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	large intestine goblet cell	pancreatic a cell/pancreatic d cell/type b pancreatic cell	type i pneumocyte	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	sebum secreting cell	melanocyte	duct epithelial cell/ionocyte/mucus secreting cell	schwann cell	ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	common myeloid progenitor/erythroid progenitor cell	neutrophil	erythroid progenitor cell	mesothelial cell	Bergmann glial cell/astrocyte/ependymal cell	myeloid dendritic cell	oligodendrocyte precursor cell	serous cell of epithelium of trachea	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	basal cell/medullary thymic epithelial cell	OPC/astrocytes/oligodendrocytes	medullary thymic epithelial cell	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	basophil/mast cell	luminal cell of prostate epithelium	basal cell	colon endothelial cell	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	salivary gland cell	smooth muscle cell	progenitor cell of mammary luminal epithelium	oligodendrocyte	enteroendocrine cell of small intestine	tissue-resident macrophage	Method	Sample
2.63507	0.0	0.0238	0.0669	0.0	0.0	0.0	2.20138		0.17709	0.10223	0.2422	0.0	0.21604	0.84979			1.06801	0.57229		0.0	5.3194	0.0	0.0	0.9167	0.09344	6.01983	0.39498	0.26102	0.0	0.00711	0.00237		0.0	1.42066	0.0		0.0	0.0	0.25574	2.89945		0.0		0.0	0.0	0.0	0.00144	0.0	2.35347	1.5645	0.09257			0.15808		5.44077	0.0	0.12119			0.12503	0.07467		0.0			0.0	1.50059			0.00301	0.03945	0.8653	0.25843	0.0		0.0	0.0		16.47043	9.23941	0.53433		0.0		0.0	0.0			0.0	0.0	31.58219		0.08913	0.0	0.0	2.0728		0.0	0.0	1.66771		0.0	0.0	CIBERSORTx	SRR13991029
2.72881	0.0	0.0	0.0	0.0	0.0	0.93421	2.58669		0.0	0.0	0.0	0.0	0.67126	1.22726			0.85871	0.4718		0.0	3.98957	0.0	0.0	1.15273	0.96579	12.78633	0.59806	0.24735	0.0	0.00775	0.0		0.0	1.82905	0.0		0.0	0.0	0.0	4.16188		0.0		0.03225	0.0	0.0	0.00761	0.0	4.88872	0.0	0.0			0.20946		16.7397	0.0	0.6135			1.32478	0.08029		0.0			0.00429	1.42667			0.0	0.0039	1.0647	0.16838	0.0		0.10342	0.0		3.5886	5.81126	0.57611		0.0		0.0	0.0			0.0	0.0	22.88075		0.22444	0.0	0.0	2.36122		0.0	0.0	2.67267		0.0	0.0	CIBERSORTx	SRR13990642
2.66025	0.0	0.0	0.02052	0.0	0.0	1.1242	2.91413		0.0	0.21231	0.0	0.0	0.31221	0.73347			1.07331	0.32012		0.0	4.59911	0.0	0.0	0.8789	1.10467	13.53058	0.43337	0.29199	0.0	0.00855	0.0		0.0	2.01242	0.0		0.0	0.1287	0.0	4.38326		0.0		0.04318	0.0	0.0	0.0	0.0	6.74846	0.0	0.00138			0.25174		14.01808	0.0	0.1175			0.1139	0.06867		0.0			0.0	1.76882			0.0	0.0	0.68113	0.25952	0.0		0.40258	0.0		3.44642	6.61404	0.56682		0.0		0.0	0.0			0.0	0.0	22.72295		0.05721	0.0	0.0	2.76283		0.0	0.0	2.61271		0.0	0.0	CIBERSORTx	SRR13990641
0.10525	0.0	0.0	0.01452	0.0	0.0	0.0	6.8548		0.0	0.35177	0.26186	0.0017	0.18147	0.0			0.00078	0.0595		0.00292	0.0	1.25293	0.0	0.4523	0.0	6.68257	0.04712	0.0624	0.06139	0.00124	0.0		0.0	0.14104	0.0		0.0	0.03144	1.64693	18.31696		0.0		0.0	3.59583	0.0	0.00185	0.0	0.0	0.02619	0.00065			0.1292		7.24228	0.0	0.05648			0.0	0.0		0.0			0.0	1.10959			0.00072	0.16991	9.17574	0.00192	0.0		0.05354	0.0		2.40431	14.35561	0.00636		0.4595		0.03916	0.0			0.09436	0.0	20.51766		0.0008	0.0	0.04027	0.0		0.0069	1.05254	2.82964		0.0981	0.0	CIBERSORTx	SRR13990760
2.02554	0.0	0.0	0.0	0.0	0.0	0.49224	1.58278		0.0	0.09838	0.0	0.0	0.64503	0.01398			0.31304	0.92222		0.0	2.84302	0.0	0.0	0.87528	0.55524	9.73647	1.56605	0.0	0.12763	0.00646	0.0		0.0	1.13331	0.0		0.0	0.19094	0.0	5.25689		0.01971		0.0	1.13258	0.0	0.0	0.0	8.2532	0.0	0.11502			0.2076		14.09474	0.19419	0.08059			0.27277	0.08188		0.0			0.0	3.10204			0.00299	0.10873	3.53438	0.18255	0.0		0.49872	0.0		2.90439	9.64494	0.97173		0.0		0.0	0.0			0.08784	0.0	20.80451		0.05473	0.0	0.0	1.43106		0.43161	1.37821	2.0248		0.0	0.0	CIBERSORTx	SRR13990668
1.88392	0.0	0.3594	0.0	0.0	0.0	0.67578	3.29783		0.0	0.27692	0.16303	0.0	0.68292	0.52252			0.77143	0.9026		0.0	3.295	0.0	0.0	0.80397	0.18985	10.37068	1.53901	0.0	0.17562	0.00897	0.0		0.0	1.43121	0.0		0.0	0.23357	0.0	6.5028		0.00875		0.0	1.20386	0.0	0.0	0.0	9.5985	0.0	0.16849			0.16013		11.93668	0.334	0.43771			0.40016	0.0		0.0			0.0	3.03722			0.00242	0.0	2.43504	0.22186	0.0		0.08788	0.0		2.3003	7.74396	1.01437		0.0		0.0	0.0			0.0	0.0	19.09582		0.04469	0.0	0.17989	2.43906		0.0	0.93562	2.12655		0.0	0.0	CIBERSORTx	SRR13990669
0.36156	0.0	0.00387	0.82786	0.0	0.78782	0.0	3.81443		0.0	0.4965	0.3934	1.15227	0.0	0.0			0.24507	0.03621		0.038	1.03003	0.0819	0.0	0.91885	0.06958	6.7767	0.0	0.05197	0.0	0.00604	0.0		0.0	0.0	0.01778		0.00243	0.23105	0.0	16.50784		0.03865		0.36681	0.0	0.00265	0.00105	0.0	2.84885	0.0	0.0			0.06663		11.11556	0.0	0.01805			0.0	0.0		0.0			0.0	0.40866			0.00051	1.09012	6.61628	0.0	0.13998		0.26521	0.0		0.43629	30.00447	1.32513		3.01862		0.17631	0.0			0.38249	0.0	5.55944		0.0	0.0	0.0	0.0		0.26408	0.55111	1.42987		0.022	0.0	CIBERSORTx	SRR13991027
0.51162	0.0	0.0	0.0	0.0	0.0	1.74759	5.52141		0.0	0.0	0.30834	0.0	0.31054	0.3468			0.0	0.12321		0.0	3.57007	2.62545	0.0	0.88132	0.0	9.37901	0.11927	0.30308	0.95798	0.0	0.0		0.0	0.22624	0.0		0.0	0.0	0.0	4.54941		0.0		0.21781	0.0	0.0	0.01546	0.0	8.02155	0.0	0.0			0.04228		11.34045	0.0	0.02086			0.0	0.0		0.0			0.0799	4.84634			0.00098	0.13086	2.72397	0.0	0.0		0.09924	0.0		0.0	23.60549	1.43521		0.0		0.0	0.0			0.0	0.0	12.49962		0.25519	0.0	0.94415	0.0		0.0	0.551	1.68829		0.0	0.0	CIBERSORTx	SRR13990911
0.47277	0.0	0.0	0.0	0.0	0.0	0.0	4.36924		0.0	0.04287	0.23484	0.0	0.13515	0.21455			0.43462	0.2031		0.0	1.06821	1.80303	0.0	0.0	0.0	10.48266	0.07405	0.19603	0.0149	0.02121	0.18534		0.0	0.77757	0.0		0.0	0.05455	0.0	7.85962		0.0		0.1669	0.0	0.0	0.0154	0.0	6.76423	0.50113	0.0			0.03859		8.19311	0.02508	0.00676			0.0	0.00775		0.0			0.00391	3.51502			0.00162	0.0419	4.46788	0.16355	0.0		0.17273	0.0		0.0	35.88324	1.06471		0.0		0.0	0.0			0.02634	0.0	8.45111		0.0	0.0	0.14279	0.0		0.26169	0.91661	0.52362		0.0	0.0	CIBERSORTx	SRR13991028
0.48959	0.0	0.00356	0.0	0.0	0.0	0.0	3.85206		0.0	0.0	0.18147	0.85819	1.83286	0.05972			0.30142	0.04972		0.01609	0.66673	0.94804	0.0	1.30087	0.06067	7.00509	0.21592	0.0	1.31886	0.00192	0.0		0.0	0.35572	0.00052		0.00435	0.2942	0.0	5.7283		0.0		0.0	0.1198	6e-05	0.0	0.0	0.34907	0.58692	0.19357			0.08084		14.34262	0.0	1.39011			1.68885	0.0		0.15306			0.0	8.69819			0.00038	0.0	1.96133	0.0	0.33863		0.17175	0.02797		7.98315	11.76029	1.6832		0.0		0.0	0.0			0.12359	0.0	18.23256		0.03833	0.0	0.11299	0.0		0.18464	0.90472	3.32752		0.0	0.0	CIBERSORTx	SRR13991081
