	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
SRR10192268	1.46	0.0	4.86	0.0	1.4	0.74	0.0	5.07	13.36	1.33	5.21	1.08	0.0	0.0	0.0	0.0	0.0	6.31	0.0	0.03	0.66	0.0	0.0	0.6	0.0	7.0	0.0	2.44	0.05	48.41	ReDeconv
SRR10192177	7.8	0.0	5.97	0.0	1.03	2.69	0.0	3.71	16.47	1.45	7.38	1.09	2.13	0.01	0.0	0.0	0.55	2.31	0.0	0.2	0.53	0.0	0.3	0.37	0.0	5.18	0.0	3.28	0.0	37.55	ReDeconv
SRR10192385	0.0	0.0	3.35	0.62	0.92	6.69	0.0	0.05	12.81	0.09	7.59	0.0	3.34	0.0	0.3	0.05	3.03	0.0	0.59	0.0	0.0	0.06	0.0	0.35	0.0	3.19	0.0	2.39	0.0	54.6	ReDeconv
SRR10192378	0.75	0.0	3.35	0.0	0.64	0.22	0.0	2.32	13.36	0.0	15.3	2.95	1.42	0.0	0.0	0.11	0.0	2.78	0.0	0.0	0.0	0.14	0.44	0.02	0.0	3.43	0.0	1.62	0.0	51.15	ReDeconv
SRR10192400	3.58	0.0	7.02	1.27	1.87	0.0	0.0	3.05	10.23	0.0	8.34	0.84	0.84	0.0	0.02	0.04	0.72	3.3	0.0	0.0	0.21	0.0	0.12	0.26	0.0	5.07	0.0	4.09	0.0	49.14	ReDeconv
SRR10192390	0.0	0.0	7.09	0.0	1.65	3.68	0.0	0.79	5.6	0.0	8.51	1.99	1.75	0.1	0.03	0.06	0.34	0.53	0.0	0.05	0.0	0.0	0.88	0.23	0.0	2.44	0.0	1.69	0.15	62.45	ReDeconv
SRR10192462	6.52	0.0	5.42	4.4	1.76	0.0	0.0	3.44	16.1	2.09	3.44	0.0	0.18	0.0	0.01	0.0	0.51	6.42	0.0	0.0	0.0	0.0	0.0	0.33	2.83	4.39	0.0	3.66	0.0	38.53	ReDeconv
SRR10192185	0.0	0.0	9.09	0.0	1.93	5.47	0.0	1.17	14.77	0.0	12.27	4.3	4.34	0.0	0.0	0.08	0.78	0.23	0.0	0.31	0.0	0.0	0.94	0.47	0.0	3.17	0.0	2.89	0.26	37.54	ReDeconv
SRR10192429	0.0	0.0	7.06	0.0	1.77	5.22	0.0	1.22	10.94	0.0	9.31	0.0	2.03	0.2	0.05	0.01	1.55	1.33	0.0	1.22	0.0	0.0	0.64	0.54	0.0	3.1	0.0	3.06	0.24	50.51	ReDeconv
SRR10192394	0.14	0.0	3.74	0.05	0.66	5.92	0.0	5.29	13.83	0.34	10.07	0.39	3.91	0.03	0.0	0.04	1.71	1.16	0.0	0.28	1.14	0.0	0.0	0.89	0.0	3.84	0.0	2.24	0.54	43.78	ReDeconv
SRR10192411	1.88	0.0	4.37	0.0	0.6	10.28	0.0	1.17	22.49	5.78	7.23	0.0	3.36	0.42	0.0	0.13	2.74	0.33	0.0	0.0	0.0	0.63	0.0	0.49	0.0	7.75	0.0	1.97	0.0	28.36	ReDeconv
SRR10192386	0.0	0.0	4.05	0.0	0.08	7.83	0.0	0.0	21.91	0.0	8.51	0.0	2.98	0.0	0.0	0.01	1.05	0.0	0.06	0.86	0.0	0.03	0.05	0.4	0.0	3.92	0.0	1.7	0.28	46.28	ReDeconv
SRR10192401	5.7	0.0	5.64	0.0	1.56	0.0	0.0	7.4	7.39	0.0	10.37	1.58	0.0	0.34	0.57	0.02	0.0	6.96	0.0	0.0	0.0	0.0	0.0	0.48	0.0	4.2	0.0	3.74	0.45	43.61	ReDeconv
SRR10192496	7.77	0.0	6.71	2.32	1.85	0.0	0.0	5.75	7.38	1.59	4.38	0.0	0.89	0.0	1.1	0.07	0.0	3.99	0.0	0.26	0.0	0.0	0.04	0.39	0.0	2.99	0.0	3.66	0.52	48.36	ReDeconv
SRR10192184	0.0	0.14	4.7	1.44	1.2	9.53	0.0	0.58	17.27	0.0	15.98	0.0	2.17	0.12	0.0	0.01	2.2	0.0	0.0	0.26	0.0	0.0	0.0	0.93	0.0	5.44	0.0	2.25	0.16	35.63	ReDeconv
