	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
prevail_cu_cfrna_151	9.03	0.0	4.04	0.0	10.24	0.65	0.0	3.59	3.41	0.0	5.8	11.91	3.12	1.59	3.76	0.06	0.0	6.32	0.0	0.0	0.0	0.0	7.69	0.66	1.04	4.69	0.0	5.89	0.64	15.86	ReDeconv
prevail_cu_cfrna_170	19.43	0.0	9.82	0.0	3.48	0.0	0.0	2.7	3.57	0.0	8.28	3.21	0.44	4.28	2.39	0.09	0.0	5.42	0.0	0.0	0.0	0.0	1.94	0.41	0.0	4.14	0.0	6.11	0.0	24.29	ReDeconv
prevail_cu_cfrna_148	22.99	0.0	9.11	0.0	8.26	0.0	0.0	1.29	3.45	0.0	3.6	5.57	1.16	0.19	4.69	0.0	0.0	10.31	0.0	0.0	0.0	0.0	4.51	0.11	0.0	2.75	0.14	2.22	0.0	19.65	ReDeconv
prevail_cu_cfrna_149	25.35	0.0	13.39	0.0	9.05	0.0	0.0	1.59	5.03	0.0	2.39	0.27	0.0	0.0	0.58	0.0	0.0	2.56	0.0	0.0	0.14	0.0	4.05	0.01	0.45	0.49	0.0	4.2	0.0	30.45	ReDeconv
prevail_cu_cfrna_164	27.73	0.0	10.73	0.0	7.92	0.0	0.0	0.93	4.22	0.0	14.87	0.67	0.0	0.32	1.64	0.0	0.0	4.01	0.0	0.0	0.21	1.0	0.0	0.0	0.0	2.43	0.0	4.14	0.0	19.18	ReDeconv
prevail_cu_cfrna_165	12.42	1.89	9.07	0.0	8.08	0.0	0.0	5.36	1.94	0.0	1.29	2.89	1.62	1.33	1.21	0.0	0.0	14.76	0.0	0.0	0.46	0.0	1.07	1.1	0.0	4.11	0.02	8.24	0.32	22.83	ReDeconv
prevail_cu_cfrna_171	13.82	3.28	7.9	11.83	5.56	0.0	0.0	0.0	8.36	0.0	0.95	0.0	0.89	0.0	0.0	0.03	3.31	3.67	0.0	0.0	1.0	0.47	7.89	2.44	0.36	7.12	2.41	11.54	1.1	6.06	ReDeconv
prevail_cu_cfrna_152	16.36	0.0	18.66	0.0	7.45	0.0	0.0	2.27	2.67	0.0	3.12	1.85	0.0	0.4	1.12	0.0	0.0	4.0	0.0	0.21	0.0	0.0	5.07	0.1	0.0	2.84	3.06	5.3	0.0	25.53	ReDeconv
prevail_cu_cfrna_174	9.59	1.42	1.92	0.0	5.96	0.0	0.0	3.38	6.69	0.0	13.72	0.0	0.0	4.46	2.14	0.42	0.0	11.91	0.0	5.32	0.0	0.02	4.41	0.0	0.0	7.31	3.17	4.56	1.27	12.32	ReDeconv
prevail_cu_cfrna_181	13.8	2.79	0.0	0.0	3.64	0.0	0.0	0.0	11.0	0.54	0.0	0.0	0.0	0.59	1.06	0.25	1.88	13.93	0.0	0.0	0.0	0.72	2.24	4.9	14.84	4.68	10.94	1.99	2.97	7.25	ReDeconv
prevail_cu_cfrna_183	3.64	5.53	11.29	0.0	0.32	0.0	0.0	0.0	5.42	0.0	7.53	0.0	1.84	10.64	0.68	0.52	0.0	10.88	0.0	7.35	0.02	5.32	2.99	2.08	4.57	3.12	0.0	9.75	0.57	5.93	ReDeconv
