cd4-positive, alpha-beta t cell/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell	cd8-positive, alpha-beta t cell/naive thymus-derived cd8-positive, alpha-beta t cell	ciliated columnar cell of tracheobronchial tree/lung ciliated cell	cardiac endothelial cell	colon endothelial cell	basophil/mast cell	mesothelial cell/schwann cell	Bergmann glial cell/astrocyte/ependymal cell	cd4-positive, alpha-beta t cell/cd4-positive, alpha-beta thymocyte/cd8-positive, alpha-beta thymocyte/naive thymus-derived cd4-positive, alpha-beta t cell/regulatory t cell/thymocyte	endothelial cell of arteriole/endothelial cell of venule	classical monocyte/intermediate monocyte/monocyte/myeloid dendritic cell/non-classical monocyte	ciliated columnar cell of tracheobronchial tree/ciliated epithelial cell/lung ciliated cell	taste receptor cell	serous cell of epithelium of bronchus	neurons	fast muscle cell/slow muscle cell	plasma cell	b cell	salivary gland cell	enteroglial cell	intestinal crypt stem cell of small intestine/paneth cell of epithelium of small intestine	pancreatic a cell	hematopoietic stem cell	duct epithelial cell/ionocyte	adventitial cell/fibroblast/mesenchymal stem cell of adipose tissue/stromal cell	pulmonary ionocyte/respiratory goblet cell	luminal cell of prostate epithelium	microglia	kidney epithelial cell	capillary endothelial cell/endothelial cell of artery	endothelial cell/endothelial cell of arteriole/endothelial cell of lymphatic vessel/endothelial cell of venule/vein endothelial cell	basal cell	neutrophil	leukocyte	duct epithelial cell/ionocyte/mucus secreting cell	neuron	type ii pneumocyte	choroid plexus epithelial cell	serous cell of epithelium of trachea	cd8-positive, alpha-beta t cell/innate lymphoid cell/naive thymus-derived cd8-positive, alpha-beta t cell	schwann cell	best4+ intestinal epithelial cell, human/enterocyte of epithelium proper of small intestine/small intestine goblet cell/transit amplifying cell of small intestine	intestinal tuft cell/large intestine goblet cell/tuft cell of colon	large intestine goblet cell	basal cell/medullary thymic epithelial cell	hepatocyte	enteroendocrine cell of small intestine	innate lymphoid cell	endothelial cell/endothelial cell of lymphatic vessel/vein endothelial cell	cd8-positive, alpha-beta thymocyte/thymocyte	basal cell of prostate epithelium	gamma-delta t cell	mature nk t cell/natural killer cell	pancreatic stellate cell	melanocyte/progenitor cell of mammary luminal epithelium	type i pneumocyte	capillary endothelial cell/cardiac endothelial cell/endothelial cell of artery	pulmonary ionocyte	myo-medullary thymic epithelial cell	pancreatic stellate cell/smooth muscle cell	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/gamma-delta t cell/t cell	bladder urothelial cell	common myeloid progenitor/hematopoietic stem cell	tissue-resident macrophage	mural cell/pericyte	ciliated epithelial cell/epithelial cell of uterus	medullary thymic epithelial cell	macrophage	pancreatic a cell/pancreatic d cell/type b pancreatic cell	mesenchymal stem cell/tendon cell	central nervous system macrophage	activated cd4-positive, alpha-beta t cell/activated cd8-positive, alpha-beta t cell/t cell	myoepithelial cell	classical monocyte/intermediate monocyte/monocyte/non-classical monocyte	progenitor cell of mammary luminal epithelium	mesothelial cell	epithelial cell of uterus	langerhans cell	sebum secreting cell	club cell/type i pneumocyte	myeloid dendritic cell	intestinal tuft cell/tuft cell of colon	acinar cell of salivary gland	tracheal goblet cell	mucus secreting cell/respiratory goblet cell	common myeloid progenitor/erythroid progenitor cell	smooth muscle cell	pancreatic ductal cell	erythroid progenitor cell	luminal epithelial cell of mammary gland	pancreatic d cell/type b pancreatic cell	pancreatic acinar cell	cd4-positive, alpha-beta thymocyte	melanocyte	neuro-medullary thymic epithelial cell	intrahepatic cholangiocyte	myometrial cell	regular atrial cardiac myocyte/ventricular cardiac muscle cell	club cell	enterocyte of epithelium proper of duodenum	stratified squamous epithelial cell	erythrocyte/platelet	oligodendrocyte	OPC/astrocytes/oligodendrocytes	oligodendrocyte precursor cell	Method	Sample
0.0	27.46569		3.33911	0.0	0.00086				0.14464		0.01072	0.00656	0.0	0.22242	0.00168	0.0	13.46753	0.00061	0.0	0.03088			0.0	0.04058		0.0142	1.63238	0.05077	0.0		0.0	1.95278	0.0			0.00672		0.0		0.03268	0.01686	0.02388			0.0	0.00956	0.0	0.15098	0.92448	0.0	0.19248	1.04531	0.0		0.0		0.03171	0.0			0.13392	2.52169	0.0	0.30419		0.08033	0.0	0.08591	0.1179		0.0	0.0	25.54532	1.65381	0.01464	0.0	0.17553	0.0035		0.0		0.0	0.05793	0.0		0.0	0.0	2.31603	0.33339		0.0069	4.61746	0.0	0.03867	0.01364	0.0	0.0	0.013	0.03866	0.0	11.07469		0.03684		CIBERSORTx	525989_2
0.20451	4.39517		5.06919	0.0	0.65177				0.39484		0.0	0.27387	0.0	0.39165	0.0	0.0	3.84014	0.60461	0.0	0.0			0.0	0.11664		0.03234	0.7177	0.19259	0.0		0.0	2.78025	0.0			0.00019		1.36726		0.0	0.3198	0.08962			0.0	0.0	0.0	0.75637	5.03094	0.0	1.97091	2.57978	0.0		0.0		0.91791	0.02938			0.08434	6.62638	0.0	0.96891		0.0	0.0	0.0	0.19335		0.0	0.11177	46.78271	0.34422	0.05424	0.0	0.70837	0.00403		0.0		0.03128	0.0	0.0		0.0	0.0	0.0	0.14896		0.00422	0.0	0.0	0.51851	0.15888	0.0	0.0	0.0	0.0	0.0	10.5324		0.0		CIBERSORTx	884755_2
0.38635	14.8316		3.24146	0.0	0.0004				0.39463		0.01146	0.0	0.00143	0.05623	0.0	0.0	20.63735	0.0	0.0	0.0			0.0	0.0		0.0	0.64103	0.60243	0.0		0.0	2.72439	0.0			0.00513		0.0		0.10707	0.07686	0.06973			0.0	0.0	0.0	1.23773	1.14691	0.15252	0.19255	0.32695	0.0		0.00639		0.09044	0.0219			0.0	1.89069	0.0	0.1046		0.0	0.0	0.04403	0.00255		0.0	0.0	16.5784	3.69358	0.12707	0.00298	0.0	0.0		1.63086		0.01774	0.01325	0.03455		0.19691	0.0	16.64077	0.06871		0.00171	6.78586	0.10693	0.02986	0.11025	0.0	0.38999	0.00272	0.0	0.00315	4.46696		0.09296		CIBERSORTx	905498_2
1.35134	18.28093		2.71656	0.0	2.28072				0.40186		0.0	1.49039	0.0	0.60701	0.0108	0.0	11.86053	0.0	0.0	0.17338			0.0575	0.0		0.0	1.10687	0.36137	0.0		0.0	0.9105	0.0			0.0		0.0		0.3233	0.08841	0.06512			0.0	0.0	0.0	2.47074	2.84525	0.60456	0.0	5.37056	0.0		0.0		0.0	0.24107			0.53821	9.94335	0.0	2.16701		0.0	0.0	0.0	1.22269		0.0	0.43676	19.83004	2.79115	0.74281	0.0	0.37959	0.0		1.68706		0.0	0.05131	0.10934		0.16796	0.0	0.0	1.08958		0.0	0.0	0.71135	0.08554	0.62001	0.0	0.0026	0.0	0.21576	0.0	3.14202		0.44712		CIBERSORTx	629773_2
1.75293	27.8933		0.86989	0.0	0.35482				0.19773		0.0	1.22307	0.01345	0.62252	0.00179	0.02871	3.40584	1.16662	0.0	0.0			0.06768	0.0		0.0	1.96397	0.0	0.0		0.0	0.0	0.0			0.0		0.90711		0.22528	0.03044	0.11061			0.0	0.0	0.0	0.35431	15.46985	1.84704	0.0	7.94834	0.0		0.0		0.0	0.08047			0.0	0.0	0.0	0.50455		0.0	0.0	0.0	0.06241		0.0	0.03029	28.47118	0.5481	0.31198	0.0	0.0	0.0		1.07841		0.0	0.0	0.0		0.52528	0.0	0.0	0.20802		0.0085	0.0	0.0	0.48604	0.32594	0.0	0.0	0.0	0.48482	0.0	0.26835		0.15036		CIBERSORTx	571092_1
1.43351	11.80751		2.36484	0.0	0.02467				0.0		0.0	0.0	0.00041	0.14074	0.0002	0.0	18.52192	0.0	0.0	0.0			0.02334	0.0		0.0	0.81163	0.96241	0.0		0.04422	3.85445	0.0			0.00014		0.0		0.22777	0.00159	0.00189			0.0	0.00418	0.0	1.22858	1.18528	0.00504	0.0	2.17076	0.0		0.01114		0.0	0.00531			0.0	3.25813	0.0	0.03247		0.0	0.6678	0.00066	0.06003		0.0	0.0	24.62149	2.23137	0.17463	0.00028	0.28657	0.0		0.0		0.0	0.0207	2e-05		0.05494	0.00227	13.34777	0.25798		0.00149	2.43449	0.21536	0.02781	0.01874	0.0	0.00313	0.00069	0.0	0.00123	7.44621		0.00222		CIBERSORTx	582739_3
3.04198	10.88747		4.4502	0.0	1.88042				1.44685		0.39174	2.08023	0.0	1.67089	0.0254	0.0	2.46719	1.55207	0.0	0.0			0.28755	0.0		0.0	1.28879	1.89549	0.0		0.0	3.13984	0.0			0.0		1.15195		0.44774	0.0	0.51037			0.0	0.0	0.0	0.60627	10.31533	1.77491	0.0	9.37855	0.0		0.0		0.68279	0.08409			0.01321	8.28042	0.0	1.0127		0.0	0.32089	0.00633	1.05911		0.0	1.03816	14.96191	2.51182	0.80713	0.02647	1.06298	0.05938		1.9946		0.00966	0.0	0.08253		1.29244	0.0	1.17298	0.0		0.01158	0.0	0.0	0.44065	0.24031	0.0	0.22003	0.0	0.33743	0.0	1.49325		0.08589		CIBERSORTx	702116_3
0.28568	16.34987		3.72419	0.0	1.89858				0.0		0.0	1.12994	0.0	0.85115	0.01523	0.0	9.92701	0.07781	0.0	0.0			0.0	0.0		0.0	1.23213	0.9106	0.0		0.0	5.23187	0.0			0.0		0.0		0.4738	0.08006	0.0			0.0	0.0	0.0	2.01142	5.10719	1.26435	0.0	4.2143	0.0		0.0		0.0	0.12927			0.33116	2.24116	0.0	1.2878		0.0	0.0	0.0	1.0562		0.0	0.0	19.04214	2.91497	0.97319	1.53157	0.37889	0.0		3.23501		0.0	0.0	0.0		1.44578	0.0	5.02994	0.75795		0.02295	0.0	0.4531	0.0	0.39494	0.0	0.20455	0.0	0.0	0.0	3.72589		0.05837		CIBERSORTx	740015_3
0.27621	16.04029		3.04924	1.00779	1.51323				0.23803		0.0	1.23915	0.0	0.77772	0.01146	0.0	6.29861	0.77752	0.04189	0.0			0.0	0.0		0.0	1.32118	1.42467	0.0		0.0	5.56506	0.0			0.0		0.0		0.70721	0.06047	0.12522			0.0	0.0	0.0	1.08669	5.53131	2.27906	0.0	4.44369	0.0		0.0		0.18035	0.10949			0.22495	3.71628	0.0	0.97803		0.0	0.0	0.0	0.85273		0.0	0.0472	23.21282	2.5904	0.60024	1.20715	0.42351	0.0		3.97803		0.0	0.02926	0.0		2.39273	0.0	1.8936	0.68219		0.01343	0.0	0.36956	0.32495	0.17677	0.0	0.20197	0.0	0.0	0.0	1.73163		0.24702		CIBERSORTx	683266_3
0.78808	20.93833		2.13492	0.0	0.55752				0.0		0.0	1.77133	0.0	0.8187	0.0	0.0	12.28792	0.63744	0.0	0.0			0.17617	0.0		0.0	1.34057	0.01639	0.0		0.0	4.47514	0.0			0.0		0.85817		0.56408	0.0691	0.04372			0.0	0.0	0.0	2.93251	8.8799	1.17973	0.0	4.52334	0.0		0.0		0.0	0.41146			0.0	0.43092	0.0	1.4961		0.0	0.0	0.0	0.13868		0.0	0.26402	21.26499	1.5129	0.6804	0.45064	0.82175	0.0		1.05508		0.0	0.0	0.12305		0.71557	0.0	1.41543	0.49492		0.00907	0.0	0.28217	0.17532	0.20089	0.0	0.0	0.0	0.39945	0.0	2.6641		0.0		CIBERSORTx	709690_3
0.09108	11.9356		4.8516	0.0	0.84082				0.0		0.0	1.89276	0.0	0.79372	0.06511	0.0	16.4751	0.0	0.0	0.4538			0.33772	0.0		0.0	0.69473	1.07978	0.0		0.0	0.0	0.00165			0.07869		0.0		0.61405	0.0	0.15171			0.02297	0.0	0.0	3.70906	2.76207	0.90618	0.0	0.0	0.0		0.0		0.0	0.16021			0.293	14.48505	0.0	2.77624		0.0	1.65549	0.00549	0.46897		0.0	0.96536	19.86354	2.41079	0.9997	0.0	0.97601	0.0		0.0		0.0	0.0	0.14822		0.0	0.19752	0.0	2.19114		0.0	0.0	0.41192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.10148		0.13169		CIBERSORTx	512025_2
1.27477	16.2187		3.30901	0.0	1.92792				0.07995		0.12314	1.07098	0.02602	0.906	0.00519	0.0	8.36676	0.05711	0.0	0.0			0.0	0.0		0.0	1.29476	1.85123	0.0		0.0	2.8353	0.0			0.0		0.0		0.69213	0.08029	0.0			0.0	0.0	0.0	2.59593	7.05564	1.12029	0.0	2.37021	0.0		0.0		0.0	0.06951			0.27552	5.58046	0.0	2.12553		0.0	0.0	0.0	1.12736		0.0	0.0	16.3815	3.50184	0.51393	0.75798	0.77685	0.0		4.49695		0.0	0.0	0.07464		0.34932	0.0	3.47636	1.06541		0.02932	0.0	0.47888	0.0	0.51188	0.0	0.35189	0.0	0.0	0.0	4.59631		0.19725		CIBERSORTx	500915_3
